N	3gram	Ircho_Kome_1	Tragedij
1	то же время	4	5
2	в то же	4	5
3	в отличие от	1	2
4	и в дальнейшем	1	2
5	в данном случае	1	2
6	бросается в глаза	1	2
7	о том что	3	2
8	в том что	9	2
9	а между тем	1	1
10	в обоих случаях	1	1
11	всяком случае что	1	1
12	предстает перед нами	1	1
13	том что он	4	1
14	и что же?	1	1
15	сам по себе	1	1
16	в той же	1	1
17	что он не	1	1
18	и т п	5	1
19	одном из своих	1	1
20	что все это	1	1
21	в применении к	1	1
22	этим объясняется и	1	1
23	во всяком случае	2	1
24	в высшей степени	1	1
25	в конце концов	4	1
26	смысле этого слова	1	1
27	ответа на вопрос	1	1
28	в чем же	1	1
29	но при этом	1	1
30	обстоит дело с	1	1
31	тем не менее	1	1
32	сравнивает его с	1	1
33	в одном из	4	1
34	с самого начала	1	1
35	несмотря на всю	3	1
36	могут быть отнесены	1	1
37	после того как	3	1
38	к тому что	1	1
39	на всю ее	1	1
40	может быть в	1	1
41	как и в	2	1
42	в разговоре с	1	1
