N	2gram	Vinokur_Vv_1	Problemy
1	и в	27	46
2	и не	13	27
3	может быть	24	23
4	не может	13	19
5	как бы	5	19
6	в нем	13	17
7	в этом	34	16
8	не только	21	14
9	и т.п	1	14
10	слова в	1	13
11	как мы	9	12
12	но и	5	12
13	как и	5	12
14	и на	3	11
15	точки зрения	7	11
16	в одном	4	11
17	а не	3	11
18	не в	8	10
19	между ними	2	10
20	и к	1	9
21	в самом	12	9
22	с точки	2	9
23	слово не	1	9
24	и все	1	9
25	в его	10	9
26	в том	31	9
27	вовсе не	6	9
28	прежде всего	8	9
29	достоевского в	1	8
30	до сих	5	8
31	сих пор	5	8
32	или в	1	8
33	в сущности	3	7
34	еще не	4	7
35	в себе	4	7
36	и с	2	7
37	по себе	9	7
38	как раз	4	7
39	устную речь	1	7
40	слова и	1	7
41	то же	8	6
42	никогда не	3	6
43	хотя и	3	6
44	но в	10	6
45	слово в	1	6
46	в каждом	4	6
47	но это	1	6
48	на свой	1	6
49	и его	5	6
50	что он	4	6
51	только в	13	6
52	есть в	1	6
53	все это	6	6
54	в котором	4	5
55	ведь и	1	5
56	во всех	2	5
57	по отношению	4	5
58	так сказать	1	5
59	при этом	3	5
60	это не	8	5
61	в жизни	1	5
62	рядом с	2	5
63	в то	5	5
64	в самой	1	5
65	если же	2	5
66	и сам	2	5
67	о том	15	5
68	же время	5	5
69	к нему	2	5
70	мы находим	1	5
71	так как	13	5
72	у него	1	5
73	отношению к	4	5
74	жизни и	2	5
75	например в	2	4
76	самом деле	6	4
77	в их	11	4
78	мы не	2	4
79	но не	7	4
80	как в	1	4
81	все же	8	4
82	кроме того	1	4
83	все эти	3	4
84	таким образом	19	4
85	видеть и	1	4
86	он и	2	4
87	том что	26	4
88	в этих	3	4
89	своего рода	3	4
90	том же	2	4
91	любовь к	4	4
92	этих двух	1	4
93	во всем	2	4
94	потому что	14	4
95	слова но	1	4
96	здесь не	2	4
97	в себя	1	4
98	так и	1	4
99	по мере	4	4
100	в виду	4	4
101	и других	3	4
102	можно сказать	3	4
103	уже не	5	4
104	уже в	5	4
105	к ним	1	4
106	мы можем	2	4
107	еще и	3	4
108	до конца	3	4
109	превращается в	1	4
110	себе самому	1	4
111	да и	4	4
112	должно быть	2	4
113	то что	17	4
114	совершенно не	1	4
115	что в	11	4
116	одним из	5	3
117	также и	16	3
118	человека и	1	3
119	сам по	1	3
120	и это	6	3
121	и до	2	3
122	мы уже	1	3
123	той же	4	3
124	мы имеем	3	3
125	всех его	1	3
126	и о	1	3
127	так чтобы	3	3
128	то это	3	3
129	отношение к	3	3
130	себе и	2	3
131	отличие от	3	3
132	в центре	4	3
133	в той	7	3
134	в своем	3	3
135	из этих	5	3
136	в этой	3	3
137	имеем в	1	3
138	как он	6	3
139	на то	1	3
140	направлено на	1	3
141	не к	2	3
142	на этом	3	3
143	они должны	1	3
144	было бы	5	3
145	но если	3	3
146	и при	2	3
147	в своей	4	3
148	в отличие	3	3
149	не как	3	3
150	установка на	1	3
151	но он	1	3
152	в отношении	2	3
153	правда в	1	3
154	дело в	3	3
155	но здесь	1	3
156	слова как	2	3
157	у меня	1	3
158	между словами	1	3
159	не могут	5	3
160	быть более	1	3
161	и этим	1	3
162	здесь нет	4	3
163	если бы	2	3
164	и т.д	4	3
165	никак не	1	3
166	и что	4	3
167	в различных	2	3
168	отличается от	1	3
169	себя в	2	3
170	первостепенное значение	1	3
171	только на	3	3
172	ведь это	1	3
173	в конце	3	3
174	что и	3	3
175	тем что	6	3
176	и даже	5	3
177	с другой	8	3
178	более того	1	3
179	жизнь в	1	3
180	с помощью	1	3
181	него в	2	3
182	так же	3	3
183	жизнь и	1	3
184	что же	3	3
185	по существу	2	3
186	но для	1	3
187	и для	4	3
188	бы в	1	3
189	еще более	1	3
190	другой стороны	5	3
191	того же	3	3
192	и другие	1	3
193	уже после	3	3
194	а между	1	2
195	смысле слова	7	2
196	отношения к	1	2
197	же как	3	2
198	словом как	1	2
199	связи между	4	2
200	а как	3	2
201	вопрос о	8	2
202	не была	1	2
203	себе что	3	2
204	и говорить	1	2
205	меньшей степени	1	2
206	не нужно	2	2
207	он сам	3	2
208	как если	1	2
209	к слову	1	2
210	в общем	12	2
211	нет и	1	2
212	сама по	3	2
213	в произведениях	1	2
214	в одной	1	2
215	не входят	1	2
216	с этим	2	2
217	стороны и	3	2
218	и как	9	2
219	двух разных	1	2
220	не было	1	2
221	его к	2	2
222	увидим что	1	2
223	от этого	5	2
224	бы и	2	2
225	но ведь	4	2
226	широком смысле	8	2
227	время и	1	2
228	должна быть	2	2
229	на том	3	2
230	свое время	2	2
231	но дело	3	2
232	но все	3	2
233	об этом	5	2
234	лишь в	1	2
235	хотя бы	5	2
236	на почве	5	2
237	он есть	1	2
238	этом смысле	11	2
239	и тем	5	2
240	к области	1	2
241	все равно	1	2
242	строгом смысле	3	2
243	и прямо	1	2
244	автора и	1	2
245	что такое	10	2
246	почти не	1	2
247	в которых	6	2
248	мысли и	2	2
249	и другого	1	2
250	не менее	8	2
251	не могли	2	2
252	в атмосфере	1	2
253	того как	3	2
254	одна из	2	2
255	не могло	1	2
256	следовательно и	1	2
257	ничего не	2	2
258	своей природе	3	2
259	отношении к	2	2
260	и является	1	2
261	этих случаях	2	2
262	у нас	2	2
263	языка в	4	2
264	могут быть	4	2
265	к тому	4	2
266	той или	1	2
267	без всякого	1	2
268	языка и	12	2
269	и совершенно	2	2
270	в другом	3	2
271	можно было	7	2
272	времени и	4	2
273	не место	1	2
274	с ним	1	2
275	только так	2	2
276	все в	1	2
277	лишь как	2	2
278	между тем	8	2
279	в языке	1	2
280	тему о	1	2
281	возникает вопрос	2	2
282	здесь в	1	2
283	все время	1	2
284	единого и	2	2
285	большей или	2	2
286	но с	4	2
287	этот вопрос	4	2
288	явления в	1	2
289	том или	1	2
290	по данному	1	2
291	и так	1	2
292	так что	5	2
293	раз в	1	2
294	слова не	1	2
295	речь в	4	2
296	слово но	1	2
297	для него	1	2
298	в известной	3	2
299	даже к	1	2
300	а в	5	2
301	о которых	2	2
302	именно как	3	2
303	или иной	1	2
304	для этого	3	2
305	или меньшей	2	2
306	он только	1	2
307	на этот	4	2
308	в руках	1	2
309	что так	1	2
310	что мы	2	2
311	в одно	1	2
312	вместе с	6	2
313	в строгом	3	2
314	в духе	1	2
315	в данном	11	2
316	имеют первостепенное	1	2
317	в первой	1	2
318	этого слова	2	2
319	романов достоевского	2	2
320	например у	1	2
321	в результате	3	2
322	о котором	8	2
323	слов с	1	2
324	в большей	7	2
325	не дает	1	2
326	на части	1	2
327	в системе	1	2
328	сказать что	5	2
329	есть и	4	2
330	в свое	2	2
331	значение в	2	2
332	во всяком	3	2
333	все что	1	2
334	они не	1	2
335	и замкнутого	1	1
336	я и	1	1
337	сущности лишь	1	1
338	чтобы не	1	1
339	не признать	3	1
340	и то	5	1
341	этом пункте	1	1
342	на самом	1	1
343	в средние	1	1
344	и есть	3	1
345	из самых	1	1
346	оно было	1	1
347	в какой-то	1	1
348	от которых	2	1
349	собственном смысле	2	1
350	видеть в	1	1
351	определяется в	1	1
352	сравнению с	3	1
353	а уж	1	1
354	нуждаются в	1	1
355	входит в	2	1
356	уже более	1	1
357	язык как	3	1
358	не вполне	4	1
359	на тему	2	1
360	из того	2	1
361	в некотором	1	1
362	соответствующим образом	1	1
363	в каждой	2	1
364	в ней	3	1
365	в xix	1	1
366	литературы и	1	1
367	целое и	2	1
368	которую можно	1	1
369	между собой	1	1
370	в широком	7	1
371	время в	2	1
372	от себя	3	1
373	этой почве	2	1
374	возможности и	1	1
375	иного рода	1	1
376	то мы	1	1
377	различия между	1	1
378	из изображенных	1	1
379	письменной форме	1	1
380	могло быть	1	1
381	системы языка	1	1
382	но как	2	1
383	а только	8	1
384	в новом	1	1
385	и речи	1	1
386	форме и	1	1
387	заключено в	1	1
388	в собственном	2	1
389	каждая из	1	1
390	на которое	1	1
391	как к	1	1
