N	2gram	Tiupa_Vved_1	Problemy
1	и не	12	31
2	и в	13	29
3	в его	4	24
4	может быть	18	24
5	в этом	21	22
6	а не	15	22
7	в нем	5	19
8	точки зрения	1	19
9	как бы	4	19
10	для него	3	18
11	не только	20	15
12	то что	6	15
13	то же	5	14
14	не как	2	14
15	и его	5	14
16	но и	19	14
17	в пределах	2	13
18	уже не	5	13
19	точка зрения	3	12
20	таким образом	4	12
21	как и	11	12
22	не может	7	12
23	в самом	2	10
24	этом смысле	1	10
25	в то	4	10
26	только в	6	10
27	в одном	1	10
28	героя и	3	10
29	все эти	1	9
30	все же	6	9
31	это не	6	9
32	если бы	7	9
33	в единство	1	9
34	же время	3	9
35	но не	5	9
36	в романе	6	9
37	по отношению	7	8
38	что в	3	8
39	по себе	2	8
40	в том	10	8
41	что он	1	8
42	потому что	5	8
43	до конца	3	8
44	в своем	5	8
45	в своей	5	8
46	отношению к	7	8
47	а как	1	7
48	и на	3	7
49	но в	6	7
50	в себе	5	7
51	входит в	1	7
52	с другими	1	7
53	том что	7	7
54	не в	6	7
55	вовсе не	1	7
56	так и	8	7
57	в форме	1	7
58	прежде всего	7	7
59	мира и	2	7
60	а в	6	7
61	одним из	5	6
62	самом деле	3	6
63	так же	1	6
64	в одной	2	6
65	как в	4	6
66	в целом	3	6
67	что она	1	6
68	в мире	8	6
69	несмотря на	1	6
70	могут быть	4	6
71	к нему	1	6
72	в конце	1	6
73	как раз	2	6
74	и потому	1	6
75	все это	1	6
76	на самом	4	5
77	должна быть	2	5
78	в зависимости	1	5
79	той же	1	5
80	зависимости от	1	5
81	у него	1	5
82	с их	1	5
83	перед нами	6	5
84	он не	3	5
85	было бы	4	5
86	он и	2	5
87	автора и	1	5
88	мир и	1	5
89	в сущности	1	5
90	и о	1	5
91	еще не	7	5
92	с ним	3	5
93	между тем	1	5
94	и др	1	5
95	мира в	8	5
96	во всяком	1	5
97	идет о	1	4
98	поэтому и	1	4
99	и самого	1	4
100	в едином	3	4
101	и наконец	2	4
102	бы и	4	4
103	в этой	1	4
104	так сказать	2	4
105	перестает быть	1	4
106	человека в	1	4
107	о герое	1	4
