N	2gram	Potebnia_M_4	BTomashe
1	у нас	2	3
2	и не	18	2
3	все это	5	2
4	в ней	2	2
5	можно было	2	2
6	не то	5	2
7	крайней мере	5	1
8	художественного произведения	1	1
9	за пределы	1	1
10	тем более	5	1
11	также что	1	1
12	говорить о	5	1
13	бы только	2	1
14	об этом	2	1
15	и в	23	1
16	не вполне	2	1
17	и о	4	1
18	в речи	3	1
19	к ней	2	1
20	следовало бы	1	1
21	что все	4	1
22	с другой	2	1
23	в своей	1	1
24	значение слова	5	1
25	на самом	3	1
26	на которой	1	1
27	как будто	1	1
28	не следует	2	1
29	и нет	1	1
30	было бы	8	1
31	все же	1	1
32	всяком случае	3	1
33	по этим	1	1
34	а о	1	1
35	кроме того	3	1
36	между ними	4	1
37	меньше чем	1	1
38	было и	2	1
39	еще не	3	1
40	и на	3	1
41	в пределах	1	1
42	по меньшей	1	1
43	стоит на	1	1
44	одной из	1	1
45	должна быть	1	1
46	прежде всего	1	1
47	для которой	1	1
48	в данном	4	1
49	и во	1	1
50	так и	6	1
51	не было	12	1
52	его не	1	1
53	является только	1	1
54	из своей	1	1
55	далеко не	1	1
56	было говорить	2	1
57	пожалуй и	1	1
58	почти совершенно	1	1
59	а не	12	1
60	в научном	1	1
61	что в	17	1
62	в области	2	1
63	другой стороны	1	1
64	меньшей мере	1	1
65	не все	1	1
66	по крайней	5	1
67	таким образом	24	1
68	вопрос о	2	1
69	и более	4	1
70	и потому	10	1
71	нас по	1	1
72	не только	10	1
73	значительной степени	2	1
74	во всяком	5	1
