N	2gram	Tiupa_Disk_1	UchenyiS
1	и в	16	14
2	а не	22	10
3	не только	28	10
4	и не	11	8
5	прежде всего	11	8
6	в этом	15	7
7	не может	9	7
8	то что	5	7
9	может быть	17	6
10	то же	7	5
11	хотя бы	3	5
12	художественного творчества	1	5
13	в их	5	4
14	что такое	1	4
15	конечном счете	1	4
16	с другой	10	4
17	в конечном	1	4
18	но и	14	4
19	в этой	2	4
20	в россии	1	4
21	в своей	5	3
22	все же	3	3
23	не как	4	3
24	в то	3	3
25	же время	4	3
26	или точнее	1	3
27	в частности	9	3
28	другой стороны	3	3
29	очевидно что	1	3
30	не следует	2	3
31	в области	1	3
32	для него	4	3
33	но в	8	3
34	не о	1	3
35	и то	1	3
36	было бы	1	3
37	истории литературы	1	3
38	и т.д	4	3
39	это не	3	3
40	как и	16	3
41	в системе	1	2
42	не столько	1	2
43	одним из	2	2
44	этого термина	2	2
45	сводится к	5	2
46	для всех	1	2
47	в себе	7	2
48	к области	2	2
49	бы и	1	2
50	из материала	1	2
51	или иных	1	2
52	не случайно	1	2
53	в противном	1	2
54	нас в	1	2
55	по себе	3	2
56	мы и	1	2
57	но не	11	2
58	с его	4	2
59	очевидно не	1	2
60	как таковой	1	2
61	при таком	1	2
62	этом смысле	1	2
63	тем что	3	2
64	о чем	2	2
65	и является	1	2
66	не все	1	2
67	вопроса о	1	2
68	т.е в	1	2
69	крайней мере	2	2
70	что она	1	2
71	это было	2	2
72	что он	4	2
73	в том	23	2
74	только в	7	2
75	между тем	4	2
76	а о	2	2
77	таким образом	3	2
78	это уже	1	2
79	более чем	2	2
80	по композиции	5	2
81	меньшей степени	1	2
82	что и	3	2
83	по крайней	2	2
84	всех этих	1	2
85	в его	7	2
86	тех или	1	2
87	сих пор	1	2
88	в буквальном	1	2
89	если бы	1	2
90	как раз	1	2
91	в противовес	1	2
92	могут быть	4	2
93	словесного творчества	1	2
94	не в	7	2
95	его и	1	2
96	же самое	2	2
97	не приходится	2	2
98	в самом	3	2
99	самом деле	1	2
100	мы не	1	2
101	а как	1	2
102	в сторону	4	2
103	этом отношении	1	2
104	в конце	1	2
105	противном случае	1	2
106	но это	1	2
107	а его	1	2
108	не есть	2	2
109	том что	19	2
110	не могут	1	2
111	до сих	1	2
112	всего лишь	1	1
113	то и	1	1
114	которое мы	1	1
115	в процессе	5	1
116	о литературе	2	1
117	и что	2	1
118	объекта и	1	1
119	в которой	1	1
120	до конца	1	1
121	в качестве	34	1
122	эстетики словесного	1	1
123	смысле можно	1	1
124	он не	1	1
125	в первую	1	1
126	вообще в	1	1
127	заданность и	1	1
128	об этом	2	1
129	литературного жанра	2	1
130	в современном	2	1
131	отнюдь не	8	1
132	в словах	1	1
133	не обладает	1	1
134	научного мышления	3	1
135	лирических стихотворений	1	1
136	приводит к	2	1
137	в значительной	2	1
138	на его	4	1
139	с тем	1	1
140	первую очередь	1	1
141	в различных	2	1
142	что было	1	1
143	при более	1	1
144	бы это	2	1
145	в свое	1	1
146	героя не	1	1
147	в виду	2	1
148	этот процесс	1	1
