N	2gram	Savitsky_P_1	Istorich
1	т е	3	29
2	и т	3	19
3	не только	17	18
4	т д	1	18
5	может быть	5	17
6	и в	14	15
7	никогда не	1	15
8	но и	6	14
9	так же	1	13
10	знаем что	1	12
11	что в	4	12
12	то что	4	12
13	а в	4	12
14	в этом	10	11
15	в этих	1	11
16	мы знаем	1	11
17	и не	12	11
18	то же	9	10
19	его в	1	10
20	еще не	1	9
21	все же	1	9
22	с тем	3	9
23	и здесь	1	9
24	потому что	3	9
25	мы можем	1	8
26	мы видим	1	8
27	в нем	3	7
28	том что	4	7
29	не в	5	7
30	и пр	5	7
31	вместе с	1	7
32	связана с	1	6
33	но в	9	6
34	что это	1	6
35	и что	1	6
36	в его	2	6
37	что и	1	6
38	наряду с	3	6
39	как бы	4	6
40	в том	9	6
41	только в	7	6
42	же как	1	5
43	и есть	2	5
44	представляет собой	1	5
45	с этим	2	5
46	было бы	6	5
47	в котором	4	5
48	в иной	1	5
49	в русской	4	5
50	что при	1	5
51	она не	1	5
52	прежде всего	3	5
53	а не	2	5
54	не может	4	5
55	в ней	6	4
56	и на	1	4
57	в себе	3	4
58	в этой	1	4
59	и с	2	4
60	вопрос о	1	4
61	не будем	2	4
62	для нас	2	4
63	с одной	3	4
64	как она	1	4
65	мы должны	4	4
66	к этой	1	4
67	и другие	1	4
68	они не	1	4
69	в русских	1	3
70	мы не	3	3
71	он был	1	3
72	из этих	1	3
73	на то	1	3
74	и это	2	3
75	в себя	1	3
76	того что	2	3
77	в качестве	9	3
78	в других	1	3
79	представляют собой	1	3
80	одной стороны	3	3
81	она всегда	1	3
82	что мы	3	3
83	все это	2	3
84	между прочим	2	3
85	также что	1	2
86	например в	2	2
87	хотя бы	8	2
88	и то	1	2
89	в которых	5	2
90	во всех	2	2
91	но не	3	2
92	не все	1	2
93	не просто	1	2
94	пути в	2	2
95	к чему	2	2
96	в которой	1	2
97	возможно что	1	2
98	или его	1	2
99	не могла	1	2
100	главным образом	2	2
101	в силу	2	2
102	и если	4	2
103	и по	1	2
104	момент когда	1	2
105	а затем	1	2
106	из них	2	2
107	на этой	1	2
108	это не	3	2
109	есть и	1	2
110	в жизни	2	2
111	как и	1	2
112	нисколько не	1	2
113	в эту	2	2
114	и ее	1	2
115	не столько	2	2
116	и эти	1	2
117	и более	1	2
118	что происходит	1	2
119	тем самым	3	2
120	с которой	1	2
121	одна из	2	2
122	и именно	1	2
123	материалы и	1	2
124	в русском	2	2
125	другой стороны	1	2
126	могут быть	3	2
127	того чтобы	1	2
128	с ее	1	2
129	совершенно ясно	1	2
130	на нее	1	2
131	живет в	1	2
132	одно из	1	2
133	находится в	1	2
134	с другой	5	2
135	а также	4	2
136	что эта	1	2
137	также в	1	2
138	в свете	1	2
139	с ними	3	2
140	уже в	1	2
141	и только	1	2
142	не было	2	2
143	именно в	2	2
144	а с	1	2
145	но есть	1	2
146	нет ничего	1	2
147	в сборнике	1	2
148	и пусть	2	2
149	в мир	1	2
150	в тот	2	2
151	да и	2	2
152	в основном	1	2
153	которые были	1	2
154	чтобы понять	1	2
155	о смысле	1	2
156	все еще	1	2
157	в северной	2	2
158	можно говорить	1	1
159	века но	1	1
160	выражается в	1	1
161	есть не	2	1
162	и о	5	1
163	бы что	1	1
164	этом не	1	1
165	себя воздух	1	1
166	говорить о	2	1
167	на себя	1	1
168	но чтобы	1	1
169	их не	1	1
170	вопрос об	1	1
171	в отличие	1	1
172	должны здесь	1	1
173	что его	1	1
174	с его	1	1
175	родителей и	1	1
176	должна была	1	1
177	на основе	1	1
178	но как	1	1
179	отличие от	1	1
180	из важнейших	2	1
181	каждый в	2	1
182	отнюдь не	2	1
183	в истории	1	1
184	тем больше	1	1
185	вот как	1	1
186	как к	1	1
187	и где	1	1
188	власть и	1	1
189	вопросом о	1	1
190	и как	3	1
191	что по	1	1
192	и к	4	1
193	е с	6	1
194	духа и	2	1
195	и этим	1	1
196	живых и	1	1
197	и и	2	1
198	но на	1	1
199	как оно	1	1
200	по-видимому не	2	1
201	ей в	3	1
202	к миру	1	1
203	значение которого	1	1
204	как ненужные	1	1
205	с собой	1	1
206	связанные с	1	1
207	за то	1	1
208	она оказывается	1	1
209	е к	1	1
210	для них	2	1
211	из нее	1	1
212	в них	2	1
213	далеко не	1	1
214	не будут	1	1
215	прийти к	1	1
216	как одна	1	1
217	эта не	1	1
218	что было	1	1
219	по себе	4	1
220	и очень	1	1
221	и чистоте	1	1
222	одна сторона	1	1
223	не менее	2	1
224	или что	1	1
225	в то	7	1
226	подошел к	2	1
227	наука и	1	1
228	казалось бы	1	1
229	этих двух	1	1
230	не вполне	1	1
231	именно потому	1	1
232	в каком	1	1
233	с другом	1	1
234	есть у	1	1
235	только мы	1	1
236	со стороны	2	1
237	если он	1	1
238	относиться к	1	1
239	в эти	1	1
240	можно судить	1	1
241	том мире	1	1
242	в пределах	8	1
243	идет речь	1	1
244	особенно в	1	1
245	является в	2	1
246	о котором	1	1
247	приобщается к	1	1
248	вопроса необходимо	1	1
249	мире в	1	1
250	сводится к	3	1
251	время в	2	1
252	ли или	1	1
253	восходит к	1	1
254	связь между	1	1
255	к поздним	1	1
256	есть с	1	1
257	вслед за	3	1
258	и иных	1	1
259	так будет	1	1
260	в частности	2	1
261	тот же	3	1
262	жизни она	1	1
263	традиции в	1	1
264	в какой	1	1
265	должен быть	1	1
266	одних и	2	1
267	именно на	1	1
268	переходит в	1	1
269	если мы	1	1
270	только на	1	1
271	на этих	2	1
272	и других	2	1
273	взять на	1	1
274	в прошлом	1	1
275	е и	3	1
276	друг друга	1	1
277	входят в	1	1
278	каждый из	1	1
279	да в	1	1
280	следует понимать	1	1
281	эти явления	1	1
282	именно как	2	1
283	нужно было	2	1
284	в исторической	1	1
285	не были	1	1
286	ней и	1	1
287	он живет	1	1
288	связаны с	1	1
289	в природе	1	1
290	что не	1	1
291	в лесах	1	1
292	них и	1	1
293	у д	1	1
294	смерти но	1	1
295	в одно	1	1
296	говорится о	1	1
297	и потому	4	1
298	в европе	2	1
299	поскольку они	1	1
300	xix века	6	1
301	к жизни	1	1
302	друг с	1	1
303	ведет к	1	1
304	и дети	2	1
305	отдельности и	1	1
306	там где	1	1
307	к следующему	1	1
308	в это	1	1
309	чтобы из	1	1
310	на пути	4	1
311	к обожествлению	1	1
312	пр в	1	1
313	быть именно	1	1
314	есть знак	1	1
315	кто не	1	1
316	случаях когда	1	1
