N	3gram	Savitsky_P_1	FransuaR
1	то же время	7	5
2	в то же	7	5
3	с одной стороны	3	4
4	в большинстве случаев	1	4
5	одной стороны и	2	2
6	с точки зрения	3	2
7	и то что	1	2
8	но и в	2	2
9	с другой стороны	1	2
10	прежде всего мы	1	2
11	в том что	4	2
12	том что в	1	1
13	о котором говорит	1	1
14	есть как бы	1	1
15	более или менее	1	1
16	и как раз	2	1
17	в настоящее время	1	1
18	и не только	2	1
19	в эту эпоху	1	1
20	совершенно ясно что	1	1
21	в значительной мере	2	1
22	мы не будем	1	1
23	вместе с тем	1	1
24	было бы неправильно	1	1
25	но в то	1	1
26	настоящее время в	1	1
27	в xix веке	1	1
28	большей степени чем	1	1
29	для того чтобы	1	1
30	не может быть	1	1
31	одно из важнейших	1	1
32	заключается в том	2	1
33	та или иная	1	1
34	не только в	4	1
35	за то что	1	1
36	что уже в	1	1
37	только в ее	1	1
