N	2gram	Potebnia_M_2	Vvedenie
1	и т	6	42
2	т д	3	36
3	и в	24	32
4	в том	18	31
5	в этом	8	30
6	том что	8	26
7	может быть	23	26
8	не только	15	22
9	для того	5	21
10	того чтобы	2	20
11	таким образом	11	19
12	то что	20	16
13	потому что	49	15
14	так как	10	15
15	не может	12	14
16	в самом	4	13
17	в нем	9	13
18	о том	5	13
19	со стороны	3	13
20	в их	1	12
21	в общем	2	12
22	в его	2	12
23	того что	7	12
24	только в	11	12
25	и не	19	12
26	как на	3	12
27	как мы	1	11
28	в ее	1	11
29	что такое	2	11
30	языка и	3	10
31	что в	16	10
32	то же	12	9
33	в истории	1	9
34	и как	6	9
35	но в	4	9
36	по себе	15	9
37	между тем	6	9
38	в той	1	9
39	этом смысле	2	9
40	а только	8	8
41	это не	3	8
42	не в	13	8
43	тем не	6	8
44	не менее	5	8
45	с другой	6	8
46	именно в	1	8
47	самом деле	2	7
48	вопрос о	2	7
49	но не	12	7
50	все же	5	7
51	было бы	13	7
52	уже и	1	7
53	в применении	1	7
54	дело с	1	7
55	как нечто	1	7
56	прежде всего	7	7
57	смысле этого	3	7
58	о котором	2	7
59	в большей	1	7
60	только как	6	7
61	и это	2	6
62	из этих	4	6
63	как он	4	6
64	том чтобы	1	6
65	его в	3	6
66	с тем	4	6
67	как и	7	6
68	представить себе	1	6
69	вовсе не	9	6
70	в то	6	6
71	же время	2	6
72	тем что	7	6
73	не могут	7	6
74	один из	2	6
75	и его	2	6
76	до сих	4	6
77	но и	9	6
78	а именно	1	6
79	применении к	1	6
80	сих пор	4	6
81	все это	2	6
82	хотя бы	2	6
83	одним из	1	5
84	мере в	1	5
85	а как	1	5
86	в целом	3	5
87	или вообще	1	5
88	с их	1	5
89	приходим к	1	5
90	так например	3	5
91	об этом	1	5
92	и тем	3	5
93	в них	5	5
94	но если	2	5
95	в которых	1	5
96	по языку	1	5
97	сказать что	2	5
98	могут быть	8	5
99	с течением	1	5
100	имеет дело	1	5
101	быть в	1	5
102	как например	3	5
103	так что	10	5
104	уже в	5	5
105	не есть	6	5
106	т п	3	5
107	что не	5	5
108	а не	18	5
109	она есть	2	5
110	в течение	1	5
111	как бы	9	5
112	той мере	1	5
113	другой стороны	2	5
114	есть и	1	5
115	в какой	2	5
116	вместе с	11	5
117	и то	3	4
118	как это	2	4
119	связи между	1	4
120	той же	3	4
121	смотреть на	1	4
122	по отношению	2	4
123	независимо от	9	4
124	от этого	1	4
125	уже не	4	4
126	в себе	10	4
127	в котором	4	4
128	по сравнению	1	4
129	по крайней	5	4
130	не имеет	6	4
131	нельзя не	1	4
132	только с	1	4
133	в каждом	2	4
134	это только	1	4
135	на вопрос	3	4
136	времени и	1	4
137	внимание на	2	4
138	и что	4	4
139	крайней мере	5	4
140	как она	1	4
141	еще не	4	4
142	что он	4	4
143	с одной	4	4
144	одно из	3	4
145	всяком случае	7	4
146	само по	2	4
147	даже и	2	4
148	в особенности	1	4
149	одной стороны	3	4
150	по мере	5	4
151	быть названо	2	4
152	видит в	1	4
153	сравнению с	1	4
154	с этой	1	4
155	этом случае	1	4
156	и для	3	4
157	только что	3	4
158	а в	8	4
159	взгляда на	2	4
160	во всяком	7	4
161	которых не	1	3
162	и есть	2	3
163	собственном смысле	1	3
164	что уже	1	3
165	то это	3	3
166	и на	8	3
167	в чем	7	3
168	совсем не	2	3
169	ответ на	1	3
170	сама по	2	3
171	стороны и	1	3
172	однако не	1	3
173	хотя и	3	3
174	сливается с	1	3
175	бы и	1	3
176	что это	3	3
177	все эти	2	3
178	в известном	1	3
179	что она	3	3
180	как оно	2	3
181	при этом	13	3
182	если бы	11	3
183	не как	3	3
184	отношений между	3	3
185	смысле как	2	3
186	на этом	2	3
187	на нее	1	3
188	заключается в	1	3
189	отчет в	1	3
190	в прямом	1	3
191	и уже	5	3
192	мы видели	1	3
193	чем в	1	3
194	в этих	3	3
195	от себя	2	3
196	тогда когда	10	3
197	дело в	1	3
198	связи с	6	3
199	в каком	3	3
200	но все	2	3
201	себе что	1	3
202	должен быть	1	3
203	в ней	3	3
204	в собственном	2	3
205	на том	1	3
206	что может	2	3
207	во второй	1	3
208	и вообще	3	3
209	чтобы понять	1	3
210	язык и	1	3
211	можно сказать	1	3
212	времени в	1	3
213	что с	2	3
214	или как	1	3
215	к нему	1	3
216	при помощи	1	3
217	и других	2	3
218	из них	5	3
219	в известной	1	3
220	в одном	6	3
221	что и	11	3
222	отношение к	1	3
223	может служить	1	3
224	но что	2	3
225	он мог	1	3
226	а потому	5	3
227	или меньшей	1	3
228	только по	3	3
229	на основании	1	3
230	зависит от	2	3
231	так же	2	3
232	что же	1	3
233	большей или	1	3
234	но с	1	3
235	к тому	1	3
236	том виде	1	3
237	к этому	2	3
238	могут не	1	2
239	вряд ли	3	2
240	не иначе	1	2
241	как говорят	1	2
242	и до	1	2
243	должна быть	1	2
244	что мы	11	2
245	мы уже	1	2
246	есть не	5	2
247	мы не	11	2
248	что если	6	2
249	которое в	1	2
250	того же	14	2
251	в создании	3	2
252	значение и	2	2
253	тогда как	10	2
254	себе и	1	2
255	стороны языка	1	2
256	что нет	2	2
257	его к	1	2
258	в этот	1	2
259	бы с	1	2
260	всего к	1	2
261	что к	1	2
262	находящееся в	1	2
263	не следует	1	2
264	о которой	3	2
265	одно целое	4	2
266	и совершенно	1	2
267	не к	1	2
268	это должен	1	2
269	но вместе	2	2
270	какой бы	1	2
271	одной и	2	2
272	подобно тому	4	2
273	объяснить его	1	2
274	и наоборот	5	2
275	такого же	2	2
276	же касается	1	2
277	в другом	2	2
278	и с	1	2
279	них не	3	2
280	входит в	1	2
281	о которых	3	2
282	этого не	2	2
283	во внимание	1	2
284	ни с	2	2
285	должно быть	2	2
286	и тогда	3	2
287	из того	1	2
288	и при	3	2
289	самом своем	1	2
290	с точки	1	2
291	состоит в	2	2
292	мы называем	3	2
293	не столько	2	2
294	как совокупность	2	2
295	мысли и	1	2
296	и той	2	2
297	том же	1	2
298	тому что	2	2
299	что чем	1	2
300	с теми	2	2
301	на котором	1	2
302	того как	7	2
303	одна из	4	2
304	например что	2	2
305	никогда не	4	2
306	ничего не	1	2
307	невозможно но	2	2
308	находятся в	1	2
309	до того	1	2
310	от того	5	2
311	у нас	2	2
312	к таким	2	2
313	к отдельным	1	2
314	когда мы	2	2
315	есть только	6	2
316	понять что	1	2
317	рядом с	3	2
318	то она	1	2
319	и сам	1	2
320	так и	5	2
321	не с	3	2
322	так называемую	1	2
323	мог бы	3	2
324	не исчерпывается	1	2
325	к языку	4	2
326	в содержании	1	2
327	и здесь	2	2
328	по их	1	2
329	связь между	2	2
330	во всех	7	2
331	ее от	1	2
332	во втором	1	2
333	в языке	3	2
334	своему значению	1	2
335	вообще и	2	2
336	тем более	1	2
337	народов и	1	2
338	если это	2	2
339	отдать себе	1	2
340	здесь не	1	2
341	по времени	3	2
342	и так	1	2
343	для нее	2	2
344	именно на	1	2
345	сильнее чем	1	2
346	каждый из	1	2
347	только на	1	2
348	нужно знать	2	2
349	мы можем	12	2
350	могло бы	1	2
351	языка или	1	2
352	и чем	1	2
353	и др	1	2
354	обратить внимание	1	2
355	них и	1	2
356	не было	6	2
357	было сказано	1	2
358	в связи	2	2
359	виде в	1	2
360	мы говорим	3	2
361	с чисто	1	2
362	с этим	7	2
363	а если	1	2
364	этого слова	6	2
365	тому как	4	2
366	это есть	1	2
367	своего содержания	1	2
368	но это	3	2
369	разумеется с	1	2
370	которые были	1	2
371	в более	1	2
372	это уже	1	2
