N	3gram	Bakhtin_KF_1	Myshleni
1	с точки зрения	9	21
2	для того чтобы	1	18
3	в том что	2	13
4	к тому что	1	6
5	по отношению к	22	5
6	то же самое	1	5
7	вместе с тем	1	4
8	слова и его	1	4
9	не может быть	11	4
10	и тем самым	1	4
11	на то что	1	4
12	и то что	1	3
13	мы не можем	1	3
14	не совпадает с	1	3
15	в первом случае	1	3
16	смысле этого слова	1	3
17	тем не менее	2	3
18	нет и не	1	2
19	на самом деле	3	2
20	в известном смысле	1	2
21	в лучшем случае	1	2
22	по своей структуре	1	2
23	в большинстве случаев	1	2
24	оба эти момента	2	2
25	же самое что	1	2
26	в свою очередь	1	2
27	в конечном счете	1	2
28	в себе в	1	2
29	несмотря на то	1	1
30	дело здесь не	2	1
31	ни о каких	1	1
32	а следовательно и	1	1
33	и в своей	2	1
34	но только не	1	1
35	своего развития оно	1	1
36	не содержит в	1	1
37	в соответствии с	2	1
38	в этом смысле	3	1
39	в том же	1	1
40	только по отношению	2	1
41	только в том	1	1
42	в смысле общих	2	1
43	в зависимости от	1	1
44	мы не имеем	1	1
45	него и для	1	1
46	по отношению ко	4	1
47	вследствие того что	1	1
48	не может жить	1	1
49	и во всех	1	1
50	здесь не в	1	1
51	отношению ко всему	3	1
52	слово может быть	1	1
53	говорить ни о	1	1
54	при таком положении	1	1
55	во всех остальных	1	1
56	в одном случае	1	1
57	между ним и	1	1
58	можно сказать только	1	1
59	в целом и	2	1
60	и в этом	3	1
61	во всех этих	2	1
62	никогда не может	1	1
63	не имеет места	1	1
64	потому что в	1	1
65	для него и	1	1
66	само по себе	1	1
67	не может возникнуть	1	1
68	во всяком случае	1	1
69	к которой мы	1	1
70	в основе единства	1	1
71	на этом пути	1	1
72	вместо того чтобы	1	1
73	и всякий другой	1	1
74	к той же	1	1
75	в моем сознании	2	1
76	но для того	1	1
77	включает в себя	2	1
78	это отнюдь не	1	1
79	той или иной	2	1
80	в процессе ее	1	1
81	заключать в себе	1	1
82	и вследствие этого	1	1
83	данный момент в	1	1
84	имеют в виду	1	1
85	можно ли отсюда	1	1
86	то что этот	1	1
87	в то же	2	1
88	в этом ее	1	1
89	во всем его	2	1
90	и только по	1	1
91	что и в	1	1
92	только тогда когда	1	1
93	и вопрос о	1	1
