N	3gram	Savitsky_E_1	Istorich
1	и т д	1	24
2	так же как	5	12
3	же как и	3	4
4	с другой стороны	2	4
5	не может быть	2	4
6	приводит нас к	2	4
7	в данном случае	2	3
8	в некоторых случаях	1	3
9	по сравнению с	2	3
10	мы видели что	1	3
11	на то что	2	3
12	как мы видели	2	3
13	не только в	4	2
14	смысле этого слова	1	2
15	в тех случаях	1	2
16	так и в	2	2
17	тех случаях когда	1	2
18	в связи с	1	2
19	мы увидим что	1	2
20	на этот вопрос	1	2
21	этот вопрос мы	1	1
22	но так как	1	1
23	между прочим и	2	1
24	как это мы	1	1
25	в том числе	1	1
26	но и во	1	1
27	и не только	1	1
28	что в этом	1	1
29	что как бы	1	1
30	в северной америке	2	1
31	или иначе говоря	1	1
32	быть речи о	1	1
33	но и в	1	1
34	независимо от того	1	1
35	может быть речи	1	1
36	так и с	1	1
37	и в этих	1	1
38	может быть и	1	1
39	то время как	1	1
40	чтобы ответить на	1	1
41	по большей части	1	1
42	не могут быть	1	1
43	во всех этих	1	1
44	это мы видим	1	1
45	вовсе не в	1	1
46	мы не можем	1	1
47	в то время	1	1
48	и тем самым	1	1
49	в других случаях	1	1
50	можно сказать что	3	1
51	ответить на этот	1	1
52	не только это	1	1
53	в большинстве случаев	2	1
54	к тому что	1	1
55	в исторической перспективе	1	1
56	всех этих случаях	1	1
57	только тогда когда	1	1
