N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	26
2	и не	7	14
3	и его	6	12
4	к тому	2	12
5	так и	5	12
6	может быть	7	11
7	в том	2	11
8	в этом	9	10
9	но и	4	10
10	столь же	2	9
11	том что	4	9
12	вместе с	1	9
13	что в	4	9
14	и на	7	7
15	не только	8	7
16	на себя	1	7
17	что и	2	7
18	еще не	4	6
19	в своем	3	6
20	о том	2	6
21	в нем	4	6
22	iii в	3	6
23	таким образом	1	6
24	в то	5	6
25	того чтобы	1	6
26	потому что	2	6
27	и здесь	2	6
28	в двух	1	6
29	наряду с	1	6
30	то что	4	6
31	в которой	1	5
32	с его	2	5
33	что он	6	5
34	так что	2	5
35	в истории	1	5
36	а затем	1	5
37	ни в	2	5
38	с тем	2	5
39	и с	7	5
40	один из	3	5
41	уже в	3	4
42	более чем	1	4
43	в самом	2	4
44	что это	5	4
45	в целом	4	4
46	это было	1	4
47	в них	1	4
48	как и	5	4
49	тому что	1	4
50	не менее	1	4
51	судя по	1	4
52	как будто	3	4
53	как мы	1	4
54	можно было	1	4
55	за то	1	4
56	еще в	2	4
57	его в	2	4
58	восходит к	1	4
59	между тем	1	4
60	в его	3	4
61	только в	1	4
62	у него	6	4
63	на этот	1	4
64	прежде всего	4	4
65	в частности	2	4
66	как это	3	4
67	о его	2	4
68	все же	5	4
69	и от	1	4
70	например в	1	3
71	в котором	1	3
72	то же	5	3
73	той же	1	3
74	вопрос о	2	3
75	в ней	1	3
76	во всех	1	3
77	но не	1	3
78	как в	3	3
79	но в	6	3
80	со своей	1	3
81	в этой	4	3
82	как он	1	3
83	но все	2	3
84	но если	1	3
85	в обоих	1	3
86	не имеет	2	3
87	того как	1	3
88	в самой	1	3
89	же время	6	3
90	связи с	1	3
91	что на	1	3
92	и сам	3	3
93	в поле	3	3
94	в образе	6	3
95	к нему	3	3
96	дело с	1	3
97	и их	1	3
98	никто не	3	3
99	друг друга	2	3
100	тем что	2	3
101	до начала	1	3
102	даже не	1	3
103	не было	1	3
104	о чем	3	3
105	в связи	1	3
106	и особенно	1	3
107	с этой	1	3
108	все это	4	3
109	для нас	1	3
110	в период	1	3
111	в своей	1	3
112	по поводу	2	3
113	не может	5	3
114	также что	1	2
115	и т	1	2
116	одним из	1	2
117	а из	1	2
118	и есть	1	2
119	в первом	2	2
120	и за	2	2
121	из самых	2	2
122	не вполне	1	2
123	х годов	1	2
124	в виду	1	2
125	он был	2	2
126	№ и	1	2
127	в ее	2	2
128	отличие от	2	2
129	тут же	2	2
130	отнюдь не	3	2
131	и я	2	2
132	что именно	1	2
133	имеет в	2	2
134	и хотя	1	2
135	бы и	2	2
136	роль в	1	2
137	и если	1	2
138	что она	2	2
139	три года	1	2
140	он не	2	2
141	и еще	1	2
142	на этом	1	2
143	же не	1	2
144	об этом	4	2
145	в глазах	2	2
