N	2gram	Vinokur_Ku_1	StatiiOP
1	и в	24	44
2	в том	30	36
3	что в	17	30
4	и т	33	30
5	том что	21	29
6	т д	14	21
7	в этом	14	21
8	вовсе не	10	19
9	то что	9	18
10	не только	10	18
11	а в	5	17
12	о том	9	17
13	было бы	15	17
14	и не	12	16
15	а не	8	16
16	т е	38	15
17	может быть	13	15
18	в области	7	14
19	в данном	4	14
20	как в	4	13
21	можно было	6	13
22	не в	11	12
23	у нас	10	11
24	точки зрения	14	11
25	того чтобы	17	11
26	в этой	3	11
27	самом деле	9	11
28	но и	6	10
29	для того	16	10
30	ясно что	3	10
31	только в	11	10
32	но в	2	10
33	что он	6	10
34	как и	2	9
35	т п	18	9
36	того что	9	9
37	в его	12	9
38	во второй	1	9
39	если бы	9	9
40	в то	2	9
41	также и	2	9
42	с другой	7	9
43	так и	7	9
44	но также	2	9
45	все же	12	8
46	не может	7	8
47	пушкина но	1	8
48	во всех	1	8
49	например в	5	8
50	с точки	9	8
51	и его	5	8
52	это не	7	8
53	но ведь	2	8
54	из них	4	8
55	таким образом	12	7
56	что они	4	7
57	этом отношении	5	7
58	прежде всего	9	7
59	сих пор	4	7
60	до сих	4	7
61	для нас	2	7
62	в самом	10	7
63	сказать что	1	7
64	так например	2	7
65	другой стороны	6	7
66	я не	2	7
67	во всяком	5	6
68	хотя бы	10	6
69	так что	4	6
70	в своей	2	6
71	для него	1	6
72	потому что	23	6
73	именно в	6	6
74	что же	6	6
75	на самом	2	6
76	что и	4	6
77	из этих	4	6
78	в той	5	6
79	дело в	1	6
80	всяком случае	5	6
81	со стороны	4	6
82	но это	1	6
83	все эти	6	5
84	жизни и	1	5
85	в целом	4	5
86	так же	4	5
87	не менее	7	5
88	в нем	4	5
89	в которых	6	5
90	там где	4	5
91	данном отношении	2	5
92	совершенно не	1	5
93	никогда не	2	5
94	и даже	3	5
95	ср в	2	5
96	тем что	8	5
97	в слове	2	5
98	той же	3	5
99	то же	8	5
100	думаю что	2	5
101	в котором	3	5
102	вряд ли	1	5
103	могут быть	1	5
104	все это	6	5
105	была бы	3	5
106	и то	3	5
107	так как	9	5
108	что мы	1	5
109	и по	1	5
110	столь же	1	4
111	является не	1	4
112	в которой	6	4
113	в частности	4	4
114	же время	2	4
115	вопрос о	2	4
116	по словам	1	4
117	даже не	1	4
118	это слово	3	4
119	не было	3	4
120	гораздо более	3	4
121	на то	4	4
122	на эту	2	4
123	как раз	8	4
124	что у	1	4
125	к которому	3	4
126	что это	5	4
127	дело не	2	4
128	как это	3	4
129	бы и	2	4
130	того или	4	4
131	мы находим	1	4
132	но все	2	4
133	в ее	1	4
134	но если	2	4
135	том как	3	4
136	в новом	1	4
137	не имеет	2	4
138	языка и	8	4
139	в качестве	7	4
140	это и	4	4
141	и сейчас	1	4
142	и что	5	4
143	еще более	1	4
144	можно ли	2	4
145	же и	2	4
146	представление о	3	4
147	тем более	2	4
148	или иного	3	4
149	в россии	1	4
150	речь идет	2	4
151	что она	3	4
152	заключается в	2	4
153	как будто	1	4
154	как бы	7	4
155	этот вопрос	1	4
156	разумеется совершенно	1	4
157	во втором	2	4
158	здесь совершенно	1	3
159	не является	2	3
160	но с	2	3
161	не значит	1	3
162	еще не	5	3
163	должны быть	2	3
164	же это	1	3
165	видно что	2	3
166	говорит о	1	3
167	в двух	1	3
168	того же	4	3
169	и тем	2	3
170	пушкина на	1	3
171	и для	2	3
172	для себя	1	3
173	должна быть	3	3
174	что не	5	3
175	это просто	1	3
176	конечно и	1	3
177	в какой	6	3
178	и так	1	3
179	даже в	3	3
180	связанные с	1	3
181	в тех	4	3
182	если это	1	3
183	в конце	1	3
184	и без	1	3
185	а на	2	3
186	ничего общего	1	3
187	и с	5	3
188	с одной	1	3
189	но не	5	3
190	и только	1	3
191	ни в	2	3
192	а именно	2	3
193	с этой	2	3
194	что касается	2	3
195	культуры в	1	3
196	в начале	1	3
197	в таком	3	3
198	не трудно	7	3
199	сто лет	1	3
200	пушкина а	1	3
201	по отношению	8	3
202	в словаре	1	3
203	между тем	5	3
204	общего с	1	3
205	лишь в	2	3
206	в г	3	3
207	в применении	1	3
208	в чем	1	3
209	своего рода	1	3
210	не все	2	3
211	с этим	4	3
212	во многих	2	3
213	да и	1	3
214	в результате	5	3
215	к сожалению	1	3
216	в истории	3	3
217	а с	3	3
218	так называемая	2	3
219	это можно	1	3
220	что для	1	3
221	то это	3	3
222	вопроса о	1	3
223	об этом	1	3
224	в каждом	2	3
225	внимание на	4	3
226	точку зрения	1	3
227	будто бы	1	3
228	же как	1	3
229	тому что	3	3
230	из истории	1	3
231	в деле	1	3
232	поэтому в	1	3
233	как к	1	3
234	же касается	4	3
235	отношению к	9	3
236	ведь и	1	3
237	е с	1	3
238	на этот	2	3
239	в ней	6	3
240	в каком	2	3
241	должен быть	4	3
242	обстоятельство что	8	3
243	что оно	3	3
244	я уже	1	3
245	что так	3	3
246	за то	1	3
247	без всякой	1	3
248	применении к	1	3
249	эта книга	1	2
250	так называемой	2	2
251	утверждать будто	1	2
252	как правило	1	2
253	не знает	1	2
254	ii и	1	2
255	первую очередь	2	2
256	есть в	4	2
257	наших глазах	1	2
258	в наших	1	2
259	в свое	2	2
260	говорить о	1	2
261	но он	1	2
262	не всегда	2	2
263	о котором	2	2
264	что нет	1	2
265	не знаю	2	2
266	история литературы	2	2
267	от этого	2	2
268	в первую	4	2
269	этот раз	1	2
270	этой статьи	1	2
271	еще и	5	2
272	и все	2	2
273	разница между	1	2
274	не хочет	1	2
275	думать что	1	2
276	и их	1	2
277	а то	2	2
278	более что	1	2
279	в сторону	2	2
280	в себе	3	2
281	бы что	1	2
282	большое значение	2	2
283	то обстоятельство	8	2
284	в сознании	1	2
285	нужно было	2	2
286	свое время	2	2
287	и во	1	2
288	при этом	6	2
289	справедливо указывает	2	2
290	бы не	1	2
291	будто на	1	2
292	нисколько не	3	2
293	если в	2	2
294	в случае	1	2
295	когда речь	1	2
296	и те	1	2
297	которая была	1	2
298	убедиться в	1	2
299	ли не	3	2
300	ответа на	1	2
301	а потому	5	2
302	ли в	2	2
303	если не	3	2
304	одно из	2	2
305	его в	1	2
306	совсем не	1	2
307	смысле этого	3	2
308	иных случаях	2	2
309	д и	2	2
310	тем самым	4	2
311	или же	1	2
312	превращается в	2	2
313	отношение к	1	2
314	свидетельствует о	2	2
315	должно было	1	2
316	дело с	1	2
317	стр но	1	2
318	до недавнего	1	2
319	этой категории	1	2
320	в истинности	1	2
321	в иных	2	2
322	в этих	4	2
323	сам в	1	2
324	этом случае	2	2
325	многих случаях	1	2
326	в числе	2	2
327	что этот	1	2
328	и сам	1	2
329	которые в	1	2
330	идет о	2	2
331	в других	1	2
332	при его	1	2
333	точно и	1	2
334	дело что	1	2
335	с историей	2	2
336	что на	1	2
337	крайней мере	5	2
338	в сущности	3	2
339	с которыми	1	2
340	но на	1	2
341	и потому	4	2
342	ничего не	2	2
343	не надо	1	2
344	русского языка	9	2
345	в первом	3	2
346	ср с	1	2
347	том смысле	1	2
348	тем не	4	2
349	даже и	3	2
350	стр ср	1	2
351	мы имеем	6	2
352	могло бы	1	2
353	без всякого	1	2
354	ни один	1	2
355	втором случае	2	2
356	между прочим	2	2
