N	2gram	Voloshinov_1	BTomashe
1	у нас	2	3
2	и не	26	2
3	все это	3	2
4	в ней	4	2
5	можно было	2	2
6	по теории	1	1
7	же не	1	1
8	за пределы	5	1
9	не укладывается	1	1
10	и полнее	1	1
11	говорить о	1	1
12	бы только	1	1
13	и в	19	1
14	выходит за	1	1
15	к ней	1	1
16	что все	2	1
17	по отдельным	1	1
18	с другой	5	1
19	в своей	3	1
20	значение слова	1	1
21	на самом	3	1
22	и полно	1	1
23	не следует	1	1
24	как всякий	1	1
25	было бы	4	1
26	от значения	1	1
27	все же	8	1
28	всяком случае	2	1
29	кроме того	6	1
30	такое определение	1	1
31	между ними	4	1
32	точке зрения	2	1
33	еще не	4	1
34	и на	4	1
35	в пределах	6	1
36	достаточно точно	1	1
37	одной из	3	1
38	должна быть	2	1
39	в значительной	1	1
40	прежде всего	13	1
41	в данном	4	1
42	и во	2	1
43	так и	11	1
44	о них	1	1
45	не было	3	1
46	то как	2	1
47	его не	1	1
48	является только	1	1
49	как часть	1	1
50	совершенно не	3	1
51	далеко не	4	1
52	не о	1	1
53	всего в	1	1
54	до конца	5	1
55	а не	7	1
56	что в	4	1
57	в области	3	1
58	другой стороны	6	1
59	творчества и	1	1
60	говорить об	1	1
61	и ее	3	1
62	не все	2	1
63	отнюдь не	6	1
64	короче говоря	1	1
65	таким образом	17	1
66	вопрос о	4	1
67	и более	2	1
68	самостоятельная и	1	1
69	и потому	5	1
70	не только	8	1
71	значительной степени	1	1
72	не учтен	1	1
73	во всяком	5	1
