N	2gram	Berdyaev_V_1	RusskieA
1	и в	16	29
2	что в	3	22
3	в том	3	22
4	том что	2	22
5	как бы	5	18
6	и другие	1	14
7	может быть	1	13
8	так как	9	13
9	как и	4	11
10	в этом	4	11
11	одна из	2	11
12	и с	1	10
13	все это	5	10
14	не только	2	10
15	а в	2	9
16	на части	1	9
17	но и	5	8
18	ее в	2	8
19	как в	1	7
20	в день	1	7
21	для нас	2	6
22	еще не	8	6
23	мы не	2	6
24	того чтобы	2	6
25	с тем	2	6
26	вместе с	1	6
27	и на	1	6
28	для того	1	6
29	на нее	1	6
30	т д	2	5
31	земли и	2	5
32	но не	2	5
33	к жизни	1	5
34	потому что	4	5
35	и т	2	5
36	это не	2	5
37	то что	9	5
38	будто бы	1	5
39	и что	3	5
40	на земле	7	5
41	но в	3	5
42	к этому	1	5
43	вопрос о	1	4
44	так же	1	4
45	и все	4	4
46	в виде	1	4
47	к нему	1	4
48	в другие	1	4
49	не в	3	4
50	как это	1	4
51	то и	1	4
52	то же	1	4
53	у нас	1	4
54	о чем	1	4
55	уже не	2	4
56	в них	3	4
57	их в	3	4
58	а не	7	4
59	в которых	1	4
60	все эти	3	3
61	как мы	1	3
62	связь с	1	3
63	в этой	1	3
64	на новый	1	3
65	что это	1	3
66	во всех	3	3
67	или даже	1	3
68	в ее	1	3
69	между тем	2	3
70	в этих	3	3
71	не имеет	3	3
72	где есть	1	3
73	и от	1	3
74	что от	2	3
75	тем что	2	3
76	не всегда	1	3
77	в котором	4	3
78	на этом	1	3
79	того что	5	3
80	живет в	1	3
81	она не	1	3
82	за ним	3	3
83	и по	1	3
84	в которой	1	2
85	день в	1	2
86	но она	1	2
87	в форме	2	2
88	церкви и	1	2
89	тогда как	1	2
90	говорит о	1	2
91	людей и	2	2
92	силы на	1	2
93	прежде всего	2	2
94	ее на	1	2
95	и для	3	2
96	не к	2	2
97	и ее	1	2
98	как можно	1	2
99	для них	2	2
100	после того	1	2
101	в своей	3	2
102	все же	1	2
103	жизни в	1	2
104	это в	1	2
105	с этой	1	2
106	мы указывали	1	2
107	ее к	1	2
108	это имеет	1	2
109	по этому	3	2
110	не был	1	2
111	у них	1	2
112	не с	2	2
113	что на	1	2
114	нам право	1	2
115	природы и	1	2
116	во всем	1	2
117	в руки	1	2
118	должно быть	3	2
119	а с	2	2
120	в их	1	2
121	ее от	1	2
122	в виду	1	2
123	а к	2	2
124	могут быть	2	2
125	того как	1	2
126	что и	3	2
127	один из	2	2
128	ее и	2	2
129	все в	1	2
130	в своих	1	2
131	с другой	1	2
132	в разные	1	2
133	никогда не	3	2
134	на себя	5	2
135	и то	2	2
136	не было	3	2
137	можно было	2	2
138	чтобы решить	1	2
139	в образе	4	2
140	за эти	1	1
141	он где	1	1
142	был в	1	1
143	в старой	2	1
144	во всяком	2	1
145	в одно	1	1
146	говорить о	4	1
147	мир и	2	1
148	от этого	3	1
149	что они	7	1
150	в состоянии	1	1
151	не будет	2	1
152	не помогают	1	1
153	не была	1	1
154	в духе	2	1
155	себя от	1	1
156	о своем	1	1
157	по пути	5	1
158	нас это	1	1
159	звучит в	1	1
160	с презрением	2	1
161	из всего	1	1
162	так и	4	1
163	существ которые	1	1
164	во что	1	1
165	к ее	1	1
166	и должна	1	1
167	в нем	4	1
168	и так	1	1
169	ней и	1	1
170	и во	2	1
171	и вообще	1	1
172	как дети	1	1
173	в конце	3	1
174	но с	1	1
175	стариков и	1	1
176	от него	2	1
177	если в	1	1
178	а между	2	1
179	человек на	1	1
180	из первого	3	1
181	и хлеб	1	1
182	и религию	1	1
183	значение в	1	1
184	но может	1	1
185	в одном	1	1
186	в ней	4	1
187	религии и	1	1
188	те которые	2	1
189	который он	1	1
190	и путем	1	1
191	его к	2	1
192	над ними	2	1
