N	2gram	Bakhtin_Fr_7	Problema
1	то есть	20	46
2	в его	12	43
3	и не	7	42
4	и в	41	38
5	не может	3	27
6	может быть	4	26
7	как бы	7	22
8	по отношению	2	21
9	отношению к	2	19
10	и с	4	17
11	и его	9	16
12	в этом	15	15
13	в нем	7	15
14	только в	6	13
15	прежде всего	11	13
16	но не	1	12
17	за пределы	1	12
18	во всех	3	11
19	в области	2	11
20	ни в	6	11
21	и для	5	11
22	отношение к	2	10
23	таким образом	19	10
24	в их	3	10
25	к нему	5	10
26	не только	5	9
27	не имеет	3	9
28	его в	3	9
29	имеет дело	2	9
30	но и	9	9
31	и как	2	8
32	было бы	4	8
33	точки зрения	5	8
34	место в	4	8
35	в том	11	8
36	и др	2	8
37	то что	8	8
38	еще не	2	7
39	в самом	1	7
40	в плане	5	7
41	как и	14	7
42	и становится	1	7
43	не в	9	7
44	как мы	11	7
45	между тем	1	7
46	слова в	1	7
47	с помощью	6	7
48	в своей	3	7
49	что в	9	7
50	отношения к	1	6
51	самом деле	1	6
52	и наконец	4	6
53	с точки	3	6
54	не есть	2	6
55	и этим	1	6
56	ничего не	4	6
57	дело с	1	6
58	человеческой культуры	2	6
59	все же	1	6
60	а в	5	6
61	отличие от	1	5
62	в своем	9	5
63	все эти	13	5
64	при этом	3	5
65	то же	13	5
66	это не	6	5
67	в них	7	5
68	рядом с	4	5
69	далеко не	2	5
70	так и	10	5
71	его целом	2	5
72	в основе	1	5
73	и о	1	5
74	никогда не	2	5
75	с ним	2	5
76	может иметь	2	5
77	и прежде	1	5
78	большинстве случаев	2	5
79	в большинстве	2	5
80	не на	3	5
81	а не	2	5
82	должно быть	4	5
83	все они	6	5
84	мы здесь	2	4
85	на самом	2	4
86	должна быть	1	4
87	конечно и	1	4
88	в виду	4	4
89	в ней	5	4
90	как в	5	4
91	но в	8	4
92	в нашем	1	4
93	в себе	11	4
94	в данном	2	4
95	не должна	1	4
96	но они	1	4
97	тем самым	3	4
98	в то	10	4
99	здесь не	1	4
100	в ее	1	4
101	данном случае	1	4
102	можно было	3	4
103	не с	1	4
104	о том	6	4
105	от всех	1	4
106	с ними	3	4
107	в других	1	4
108	в форме	3	4
109	к которому	1	4
110	в романе	7	4
111	более того	1	4
112	и потому	3	4
113	в более	4	4
114	лишь как	1	4
115	может и	1	4
116	между ними	1	4
117	сказать что	1	4
118	также и	2	3
119	например в	3	3
120	едва ли	1	3
121	которую мы	1	3
122	на них	3	3
123	сказать и	1	3
124	точка зрения	2	3
125	менее всего	1	3
126	иногда и	1	3
127	кроме того	3	3
128	и к	5	3
129	не будем	1	3
130	вследствие этого	1	3
131	к миру	1	3
132	он не	4	3
133	в мире	3	3
134	а как	1	3
135	может стать	2	3
136	и тем	1	3
137	в слове	1	3
138	несмотря на	3	3
139	том что	4	3
140	на него	1	3
141	как его	1	3
142	же время	9	3
143	или как	1	3
144	все то	3	3
145	как только	1	3
146	в применении	1	3
147	и это	5	3
148	хотя и	4	3
149	и от	8	3
150	в дальнейшем	1	3
151	дано в	1	3
152	мы в	2	3
153	но здесь	1	3
154	природы и	1	3
155	этом смысле	1	3
156	одной из	2	3
157	как вещи	1	3
158	мы увидим	1	3
159	как нечто	2	3
160	со всеми	2	3
161	момент не	1	3
162	в известной	1	3
163	входят в	2	3
164	и даже	1	3
165	оно не	2	3
166	его как	2	3
167	на фоне	1	3
168	связь с	1	3
169	только его	1	3
170	в область	3	3
171	применении к	1	3
172	и на	4	3
173	в тех	1	3
174	слова и	1	3
175	но это	3	3
176	все это	10	3
177	природу и	1	3
178	культуры и	1	3
179	она может	1	3
180	от него	1	3
181	и все	14	3
182	ни было	2	3
183	не знает	3	3
184	в таком	1	3
185	все что	4	3
186	они не	1	3
187	произведения но	1	2
188	он может	3	2
189	и есть	3	2
190	определить как	1	2
191	в котором	1	2
192	проникает в	3	2
193	его не	1	2
194	есть не	2	2
195	со всех	2	2
196	мы имеем	2	2
197	себя свою	1	2
198	но она	1	2
199	это отношение	1	2
200	я не	3	2
201	не остается	1	2
202	всех сторон	1	2
203	первый план	1	2
204	в чем	2	2
205	с его	2	2
206	а только	2	2
207	с совершенно	1	2
208	в едином	1	2
209	в истории	1	2
210	как к	1	2
211	я должен	1	2
212	и у	5	2
213	что это	4	2
214	нами в	1	2
215	и те	3	2
216	лица и	3	2
217	оно было	2	2
218	изобразительных искусствах	1	2
219	момента в	1	2
220	в корне	1	2
221	на этом	5	2
222	человека в	2	2
223	в каждом	1	2
224	момент и	1	2
225	материала и	1	2
226	и других	2	2
227	действительности в	1	2
228	форму и	1	2
229	эти моменты	1	2
230	переходим к	2	2
231	на первый	1	2
232	и при	1	2
233	нему и	1	2
234	том же	1	2
235	указанных нами	1	2
236	и вся	3	2
237	а иногда	1	2
238	она не	1	2
239	вне ее	1	2
240	дело в	2	2
241	одна из	4	2
242	в изобразительных	1	2
243	все стороны	1	2
244	во всем	1	2
245	связи с	1	2
246	здесь же	1	2
247	так называемый	2	2
248	этом отношении	2	2
249	у нас	1	2
250	к себе	1	2
251	не могут	1	2
252	есть только	1	2
253	же самое	1	2
254	должен быть	2	2
255	что все	2	2
256	нами выше	1	2
257	в себя	2	2
258	особенно в	2	2
259	и которые	1	2
260	здесь нет	2	2
261	том как	2	2
262	поэтому в	1	2
263	и здесь	4	2
264	в другом	1	2
265	другими словами	2	2
266	и что	1	2
267	в значительной	2	2
268	от них	1	2
269	и во	2	2
270	этот момент	1	2
271	в лучшем	1	2
272	в него	1	2
