N	2gram	Propp_Isto_7	VrazhdaK
1	не только	21	9
2	в этом	12	8
3	и в	24	8
4	и что	10	8
5	но и	11	7
6	и все	6	7
7	то что	7	7
8	что в	13	7
9	все же	9	6
10	но в	5	6
11	в нем	6	6
12	как и	6	6
13	в котором	2	6
14	и с	1	6
15	в начале	1	6
16	и даже	3	6
17	то же	8	5
18	об этом	6	5
19	на лету	1	5
20	в то	2	5
21	у него	10	5
22	и не	4	5
23	в ней	1	4
24	что он	21	4
25	при этом	4	4
26	это не	10	4
27	все это	8	4
28	во многом	1	4
29	с ним	5	4
30	о том	9	4
31	для нас	6	4
32	уже в	3	4
33	может быть	14	4
34	как бы	4	4
35	так же	6	4
36	одним из	1	3
37	который был	1	3
38	я не	1	3
39	он был	1	3
40	в чем	5	3
41	с его	3	3
42	в своем	1	3
43	и как	1	3
44	в этот	1	3
45	на то	3	3
46	его в	3	3
47	он не	6	3
48	далеко не	1	3
49	и уже	1	3
50	том что	10	3
51	но он	2	3
52	в русской	5	3
53	и его	3	3
54	связи с	3	3
55	и о	2	3
56	что у	4	3
57	и во	1	3
58	в его	1	3
59	в том	7	3
60	и у	2	3
61	в конце	3	3
62	тем что	6	3
63	в связи	2	3
64	эти слова	1	3
65	т е	16	3
66	к этому	2	3
67	отношения к	1	2
68	в русских	2	2
69	же как	4	2
70	и то	1	2
71	и он	3	2
72	ответ на	6	2
73	тогда как	3	2
74	он пишет	1	2
75	в известном	1	2
76	его на	2	2
77	в этой	1	2
78	что к	1	2
79	после этого	3	2
80	таким образом	7	2
81	в одну	2	2
82	об этой	2	2
83	в них	3	2
84	рядом с	1	2
85	а с	1	2
86	мы знаем	2	2
87	не мог	1	2
88	на первый	4	2
89	в эту	1	2
90	во время	6	2
91	точки зрения	4	2
92	в своей	1	2
93	и ее	2	2
94	с точки	1	2
95	людей уже	1	2
96	не менее	5	2
97	за год	1	2
98	одна из	7	2
99	никогда не	4	2
100	к себе	3	2
101	его с	1	2
102	и это	2	2
103	же не	1	2
104	на основе	1	2
105	так в	4	2
106	еще не	8	2
107	а также	1	2
108	там же	2	2
109	тем более	2	2
110	после смерти	3	2
111	пришел к	1	2
112	уже не	2	2
113	при помощи	3	2
114	из них	2	2
115	отношение к	5	2
116	к ним	2	2
117	и стал	3	2
118	о чем	1	2
119	начиная с	1	2
120	не может	14	2
121	вместе с	7	2
122	в него	1	2
123	довольно много	2	2
124	но это	3	2
125	что я	1	2
126	же в	1	2
127	а в	10	2
128	это в	1	2
129	широкое распространение	1	1
130	и рассказы	1	1
131	как известно	1	1
132	от этой	1	1
133	того же	2	1
134	не имел	1	1
135	и есть	1	1
136	ему не	1	1
137	он способен	1	1
138	не хочет	1	1
139	которую они	1	1
140	свое место	2	1
141	в их	4	1
142	по его	2	1
143	вы не	1	1
144	что уже	1	1
145	пока только	1	1
146	начинается с	4	1
147	еще до	1	1
148	ему в	1	1
149	один пример	1	1
150	сказал ему	1	1
151	собой в	1	1
152	влияния на	1	1
153	по своему	1	1
154	за него	4	1
155	совсем не	1	1
156	но не	6	1
157	о смерти	1	1
158	заметим что	1	1
159	не все	3	1
160	если в	2	1
161	как показал	1	1
162	некоторые черты	2	1
163	тут же	1	1
164	ничуть не	1	1
165	говорилось выше	1	1
166	что они	3	1
167	руку и	3	1
168	на стол	1	1
169	из которого	1	1
170	первый взгляд	4	1
171	же с	1	1
172	независимо от	1	1
173	как в	12	1
174	с этим	2	1
175	дает нам	1	1
176	некоторое время	1	1
177	по которому	2	1
178	и наконец	3	1
179	знаю что	2	1
180	каким-то образом	1	1
181	роль играет	1	1
182	поэтому он	1	1
183	в самом	2	1
184	что это	6	1
185	в целом	1	1
186	что же	1	1
187	еще один	2	1
188	рассказ о	2	1
189	во многих	2	1
190	как он	6	1
191	не могла	1	1
192	от которого	1	1
193	всех этих	6	1
194	и тотчас	1	1
195	прочим и	2	1
196	пор мы	1	1
197	в силу	2	1
198	из него	1	1
199	что ни	1	1
200	это конечно	2	1
201	не будет	2	1
202	из-за этого	1	1
203	было бы	2	1
204	задолго до	1	1
205	в жизни	1	1
206	не ясно	2	1
207	типичен для	1	1
208	этого не	2	1
209	не всегда	4	1
210	которой он	3	1
211	может идти	2	1
212	такой же	1	1
213	в этих	13	1
214	или вообще	1	1
215	в войне	1	1
216	и личные	1	1
217	и их	1	1
218	вспоминает о	1	1
219	можно найти	2	1
220	предполагать что	1	1
221	этому же	1	1
222	представление о	3	1
223	своего рода	4	1
224	тем не	4	1
225	доказывает что	5	1
226	есть еще	2	1
227	не могли	1	1
228	что этот	2	1
229	не самым	1	1
230	и титул	1	1
231	на три	1	1
232	вплоть до	2	1
233	но они	3	1
234	тем самым	1	1
235	что эта	1	1
236	от нас	1	1
237	это дает	1	1
238	не имеет	4	1
239	близок к	2	1
240	нет необходимости	2	1
241	из их	1	1
242	нельзя не	1	1
243	ничего не	5	1
244	того как	3	1
245	того в	1	1
246	в окно	1	1
247	ему и	1	1
248	потому что	9	1
249	что самые	1	1
250	до того	1	1
251	ли это	1	1
252	в бою	1	1
253	вот в	1	1
254	один раз	1	1
255	в мировой	1	1
256	просить чтобы	1	1
257	все ясно	2	1
258	отличается от	2	1
259	за что	1	1
260	этой легенды	1	1
261	взял в	1	1
262	он такой	1	1
263	не совсем	2	1
264	но при	2	1
265	это будет	1	1
266	имеет никаких	1	1
267	в ее	2	1
268	на той	1	1
269	но мы	1	1
270	то время	2	1
271	и сам	1	1
272	так и	5	1
273	на нее	1	1
274	не с	1	1
275	ясно что	1	1
276	живет в	1	1
277	платок и	1	1
278	во второй	1	1
279	том как	1	1
280	с героем	2	1
281	он вспоминает	1	1
282	второй половине	1	1
283	до сих	2	1
284	не стоит	2	1
285	как эта	1	1
286	вопросу о	1	1
287	к нему	7	1
288	доходит до	2	1
289	во всех	7	1
290	от них	1	1
291	во всей	1	1
292	в форме	2	1
293	можно проследить	1	1
