N	3gram	Losev_Dial_2	Sovremen
1	с точки зрения	8	5
2	в зависимости от	2	4
3	не может быть	3	4
4	не может не	3	3
5	с самого начала	2	3
6	вне времени и	1	2
7	тем не менее	2	2
8	друг с другом	1	2
9	во всяком случае	2	2
10	времени и пространства	2	2
11	может быть и	3	2
12	то же самое	2	2
13	точки зрения и	1	1
14	как мы это	2	1
15	и может быть	3	1
16	в том как	1	1
17	что иное как	3	1
18	и в этом	1	1
19	одной стороны и	1	1
20	по крайней мере	9	1
21	уже знаем что	1	1
22	не могут быть	2	1
23	а в конце	1	1
24	не в том	1	1
25	в связи с	4	1
26	но только не	1	1
27	все более и	1	1
28	или как он	2	1
29	сказать несколько слов	1	1
30	равно как и	1	1
31	одна и та	4	1
32	на самом деле	1	1
33	и до сих	1	1
34	но ведь это	2	1
35	в этом смысле	1	1
36	когда мы говорим	1	1
37	так же как	1	1
38	а не только	1	1
39	в свое время	1	1
40	из многих его	1	1
41	до сих пор	2	1
42	то же время	4	1
43	и в то	1	1
44	сами по себе	3	1
45	есть не что	2	1
46	бы то ни	1	1
47	и та же	4	1
48	это значит что	8	1
49	от всяких условий	1	1
50	значит что она	1	1
51	но все эти	1	1
52	более и более	1	1
53	и не может	1	1
54	в самом деле	3	1
55	той или иной	1	1
56	и прежде всего	2	1
57	но все же	1	1
58	мы говорим о	1	1
59	и это конечно	1	1
60	может быть только	2	1
61	в то же	3	1
62	не что иное	3	1
63	но мы уже	1	1
64	со всеми его	1	1
65	мы уже знаем	3	1
66	в том что	6	1
67	в данном случае	2	1
68	может быть в	3	1
69	она не может	1	1
70	в обоих случаях	1	1
71	ли он в	1	1
72	с одной стороны	1	1
73	именно в том	1	1
