N	3gram	Propp_Morf_1	FransuaR
1	с точки зрения	2	5
2	до сих пор	1	4
3	не может быть	9	4
4	в этом отношении	1	3
5	все же в	1	3
6	с одной стороны	1	3
7	о том что	1	3
8	с другой стороны	4	3
9	можно сказать что	1	2
10	в собственном смысле	3	2
11	до наших дней	2	2
12	во всяком случае	2	2
13	но все же	3	2
14	подобно тому как	5	2
15	и в начале	1	2
16	в подземное царство	1	1
17	потому что в	1	1
18	тому или другому	1	1
19	по отношению к	4	1
20	некоторые из этих	1	1
21	в настоящее время	3	1
22	и где начинается	1	1
23	одним из основателей	1	1
24	и там где	1	1
25	тех случаях когда	2	1
26	здесь не место	1	1
27	до известной степени	1	1
28	ни в коем	1	1
29	не входит в	1	1
30	они вступают в	1	1
31	то что в	2	1
32	к тому или	1	1
33	прежде всего о	1	1
34	с этого момента	2	1
35	этого нельзя утверждать	1	1
36	в коем случае	1	1
37	и до известной	1	1
38	еще тем что	1	1
39	едой и питьем	1	1
40	далеко не всегда	1	1
41	по существу и	1	1
42	один из наиболее	1	1
43	в чем же	1	1
44	в какой степени	1	1
45	друг с другом	1	1
46	то чего в	1	1
47	не могут быть	2	1
48	может быть названо	3	1
49	никак нельзя было	1	1
50	самом деле в	1	1
51	в тех случаях	2	1
52	вряд ли можно	1	1
53	а и в	1	1
54	но никто не	1	1
55	в тех же	4	1
56	в этом случае	8	1
57	на самом деле	4	1
58	они и в	1	1
59	человеческой природой и	1	1
60	более и более	1	1
61	мы будем говорить	1	1
62	или во всяком	1	1
63	мы имеем в	1	1
64	на то что	2	1
65	в большинстве случаев	3	1
66	после того как	1	1
67	для того чтобы	2	1
68	в том что	3	1
69	говорить не будем	1	1
70	как и в	2	1
71	все более и	1	1
