N	3gram	Vygotskiy__2	Tvorches
1	в том что	21	6
2	по нашему мнению	1	5
3	о том что	4	5
4	в конечном счете	4	4
5	дело в том	1	3
6	что все это	1	3
7	и все же	1	3
8	с самого начала	1	3
9	по сути дела	1	3
10	том что в	2	2
11	на самом деле	2	2
12	при этом он	1	2
13	точно так же	1	2
14	в данном случае	3	2
15	на протяжении всего	2	2
16	можно сказать что	1	2
17	заметим кстати что	1	1
18	этой проблемы в	1	1
19	не может не	1	1
20	имеем в виду	1	1
21	смысла но если	1	1
22	во времени по	1	1
23	то же самое	2	1
24	в том же	2	1
25	в отрыве от	1	1
26	все та же	1	1
27	в этом пункте	2	1
28	по отношению к	5	1
29	до сих пор	1	1
30	он приходит к	1	1
31	в своей книге	1	1
32	приводит нас в	1	1
33	хотя бы и	2	1
34	новую принципиально отличную	1	1
35	сами по себе	1	1
36	что он не	2	1
37	в отличие от	3	1
38	друг на друга	1	1
39	что как бы	1	1
40	что в одном	1	1
41	на самом же	1	1
42	но все это	1	1
43	только то что	1	1
44	не могут быть	1	1
45	то что в	1	1
46	а вместе с	1	1
47	бы то ни	1	1
48	за то что	1	1
49	то и другое	1	1
50	полном согласии с	1	1
51	все более и	1	1
52	все же и	1	1
53	то ни было	1	1
54	с одной стороны	7	1
55	в один ряд	1	1
56	представляет собой не	1	1
57	один ряд с	1	1
58	в известном смысле	1	1
59	с той же	1	1
60	в связи с	6	1
61	в действительной жизни	1	1
62	мы уже говорили	3	1
63	целый ряд других	1	1
64	мы все время	1	1
65	принципиально отличную от	1	1
66	самом же деле	1	1
67	говорили что в	1	1
68	у него в	1	1
69	мы находим у	1	1
70	заключается в том	7	1
71	и в самом	2	1
72	более и более	1	1
73	мысли и не	1	1
74	он не может	1	1
75	это все та	1	1
76	мы имеем в	1	1
77	с другой стороны	1	1
78	таким образом и	1	1
79	в полном согласии	1	1
80	как и в	1	1
81	дело не в	1	1
82	к тому же	1	1
