N	3gram	Tiupa_Lite_3	Istorich
1	и то что	1	5
2	с другой стороны	2	4
3	не может быть	3	4
4	что иное как	1	3
5	в данном случае	4	3
6	на то что	2	3
7	не что иное	1	3
8	о том что	4	2
9	начинается с того	1	2
10	то же самое	2	2
11	не только в	2	2
12	тем что он	2	2
13	содержит в себе	1	2
14	с того что	1	2
15	в связи с	1	2
16	тем не менее	1	2
17	не только по	1	1
18	подобно тому как	2	1
19	в том числе	3	1
20	имеется в виду	1	1
21	и не только	1	1
22	но и в	2	1
23	тому как в	1	1
24	и не всегда	1	1
25	может быть только	1	1
26	тогда как в	3	1
27	в этой связи	1	1
28	о том как	1	1
29	превращает его в	1	1
30	а не только	1	1
31	одного из них	1	1
32	по большей части	2	1
33	и вместе с	2	1
34	вместе с тем	1	1
35	берет на себя	2	1
36	как будто бы	1	1
37	но уже в	1	1
38	к такого рода	1	1
39	вообще не знает	1	1
40	а не просто	1	1
41	том что они	1	1
42	это и есть	1	1
43	ничего общего с	1	1
44	в целом и	2	1
45	и тем самым	2	1
46	к тому что	1	1
47	так чтобы он	1	1
