N	3gram	Bakhtin_fo_2	VLabPisa
1	и т д	3	15
2	в этом отношении	2	13
3	и т п	11	9
4	с другой стороны	1	8
5	не может быть	1	8
6	то же время	4	5
7	в то же	4	5
8	не было бы	2	4
9	в связи с	7	4
10	можно сказать что	1	4
11	равно как и	2	4
12	в том что	3	4
13	о том как	3	3
14	и в то	3	3
15	в значительной мере	1	3
16	вместе с тем	1	3
17	о том что	1	3
18	в одном из	1	3
19	к тому что	1	3
20	в другом месте	2	2
21	не может не	1	2
22	также и в	1	2
23	в том числе	3	2
24	как об этом	1	2
25	до сих пор	2	2
26	точном смысле слова	1	2
27	как пародия на	1	2
28	это мы наблюдаем	1	2
29	в этом процессе	1	2
30	с одной стороны	1	2
31	в конце концов	1	2
32	не могут не	1	2
33	они должны быть	1	2
34	во всех этих	3	2
35	в точном смысле	1	2
36	этой точки зрения	1	2
37	в частности в	1	2
38	том числе и	2	2
39	для того чтобы	7	2
40	бы не было	1	2
41	и в другом	1	2
42	в той или	1	1
43	только в пределах	1	1
44	другой стороны в	1	1
45	и в результате	1	1
46	же в этом	1	1
47	что должно быть	1	1
48	то время как	1	1
49	у него был	1	1
50	и в каждой	1	1
51	в том же	4	1
52	и в системе	1	1
53	как это обычно	1	1
54	с этой точки	1	1
55	и во всех	2	1
56	как и все	1	1
57	тот или иной	1	1
58	сами по себе	2	1
59	что он не	1	1
60	но и в	3	1
61	и др и	1	1
62	только в том	1	1
63	то что в	1	1
64	по аналогии с	1	1
65	прежде всего необходимо	1	1
66	все это мы	1	1
67	это вовсе не	1	1
68	вместе с этим	1	1
69	может быть и	2	1
70	в своем рассказе	1	1
71	со всех сторон	1	1
72	одно и то	1	1
73	в данном случае	1	1
74	но в то	1	1
75	не только в	5	1
76	таким образом и	1	1
77	то же самое	2	1
78	и то же	1	1
79	имеют громадное значение	1	1
80	по сравнению с	1	1
81	каждый из них	1	1
82	и в их	1	1
83	в большом количестве	1	1
84	в действительной жизни	1	1
85	могут быть сведены	1	1
86	об этом свидетельствует	1	1
87	именно в том	1	1
88	на основе этого	1	1
89	а вместе с	1	1
90	имеем в виду	3	1
91	в то время	1	1
92	и вместе с	1	1
93	в свою очередь	1	1
94	быть и речи	1	1
95	т д обычно	1	1
96	между ними нет	1	1
97	той или иной	1	1
98	лежит в основе	2	1
99	всего может быть	1	1
100	этой жизни и	1	1
