N	3gram	Potebnia_M_4	Vvedenie
1	и т д	3	36
2	для того чтобы	4	20
3	в том что	7	12
4	о том что	5	12
5	не может быть	5	8
6	тем не менее	4	8
7	до сих пор	4	6
8	то же время	3	6
9	в то же	3	6
10	том что такое	1	6
11	и т п	4	5
12	в том чтобы	1	5
13	с другой стороны	1	5
14	с течением времени	2	5
15	что иное как	2	4
16	по отношению к	8	4
17	в этом случае	5	4
18	в этом отношении	1	4
19	на этот вопрос	2	4
20	по крайней мере	5	4
21	в данном случае	2	4
22	и в этом	4	4
23	так или иначе	2	4
24	во всяком случае	3	4
25	может быть названо	1	4
26	само по себе	5	4
27	не что иное	2	4
28	с одной стороны	1	4
29	в том виде	1	3
30	с тем что	4	3
31	вместе с тем	3	3
32	вопрос о том	2	3
33	и в том	2	3
34	что может быть	1	3
35	заключается в том	1	3
36	и в самом	1	3
37	можно сказать что	4	3
38	в свое время	1	3
39	дело в том	1	2
40	и той же	1	2
41	по меньшей мере	1	2
42	подобно тому как	2	2
43	во второй половине	1	2
44	то же самое	4	2
45	что же касается	1	2
46	в течение многих	1	2
47	с точки зрения	3	2
48	что даже и	1	2
49	хотя бы и	2	2
50	что в нем	1	2
51	обратить внимание на	2	2
52	точно так же	1	2
53	может быть и	1	2
54	дело не с	1	2
55	смысле этого слова	1	2
56	второй половины xix	1	2
57	не могут быть	2	2
58	не в том	2	2
59	чтобы понять что	1	2
60	в связи с	1	2
61	есть не что	1	2
62	в этих случаях	2	2
63	одной и той	1	2
64	это однако не	1	2
65	но уже и	1	1
66	и того же	1	1
67	сплошь да рядом	1	1
68	а между тем	4	1
69	и есть то	1	1
70	но независимо от	1	1
71	тех пор пока	2	1
72	мы говорим о	1	1
73	только потому что	2	1
74	сказать что в	1	1
75	этот вопрос мы	1	1
76	наук относящихся к	1	1
77	мы имеем дело	2	1
78	потому что в	3	1
79	как один из	1	1
80	на самом деле	3	1
81	в настоящее время	1	1
82	в том же	2	1
83	тогда когда оно	2	1
84	том виде в	1	1
85	может быть назван	3	1
86	в языке и	3	1
87	то она есть	1	1
88	не менее не	1	1
89	при благоприятных условиях	1	1
90	смысле в каком	1	1
91	в таком случае	2	1
92	сам по себе	4	1
93	в том только	1	1
94	исследования но в	1	1
95	том что можно	1	1
96	но и в	1	1
97	не было бы	1	1
98	слово которое в	1	1
99	только в том	2	1
100	в следующем в	1	1
101	и это есть	2	1
102	заключает в себе	8	1
103	виде в каком	1	1
104	и говорить о	1	1
105	имеем дело с	1	1
106	сказанного ясно что	1	1
107	и др в	1	1
108	пока мы говорим	1	1
109	может быть только	1	1
110	и не в	1	1
111	и что это	1	1
112	не то что	3	1
113	и то что	4	1
114	самом деле есть	1	1
115	все то что	1	1
116	если же мы	1	1
117	быть названо зародышем	1	1
118	в ее основании	1	1
119	что чем больше	1	1
120	могут быть названы	1	1
121	можно говорить о	1	1
122	отношению к нему	1	1
123	большую или меньшую	1	1
124	и не нужно	1	1
125	в разной мере	1	1
126	только после того	1	1
127	что мы можем	1	1
128	уже и в	1	1
129	в одно целое	1	1
130	лишь в том	1	1
131	о котором мы	1	1
132	том что между	2	1
133	том смысле в	1	1
134	человеческой природы и	1	1
135	когда мы говорим	3	1
136	дает ей возможность	1	1
137	но если бы	1	1
138	лицом к лицу	1	1
139	на вопрос что	1	1
140	а в том	2	1
141	но какой бы	1	1
142	идет от действительности	1	1
143	может быть не	1	1
144	в них в	1	1
145	в греческом языке	2	1
146	до тех пор	6	1
147	в общих чертах	2	1
148	как уже сказано	1	1
149	от того что	3	1
150	таким образом мы	2	1
151	же самое что	1	1
152	очевидно что если	1	1
153	что это то	1	1
154	в свою очередь	1	1
155	всего того что	1	1
156	с самого начала	1	1
157	заключенное в нем	1	1
158	только тогда когда	4	1
159	одного и того	1	1
160	после того как	2	1
161	к тому что	1	1
162	того чтобы определить	1	1
163	только в этом	1	1
164	в сравнении с	1	1
165	по себе должно	1	1
166	ответа на этот	1	1
167	в них не	1	1
