N	3gram	Nazirov_Tr_1	Hudozhes
1	в том что	2	11
2	о том что	2	7
3	то же время	5	4
4	в то же	5	4
5	к тому что	1	4
6	а между тем	1	3
7	в самом деле	1	3
8	но при этом	1	3
9	не может быть	1	3
10	как и в	1	3
11	тем не менее	1	3
12	если можно так	1	2
13	и в этом	1	2
14	хотя бы и	1	2
15	и т п	1	2
16	можно так выразиться	1	2
17	в этой связи	1	2
18	в данном случае	2	2
19	что говорит о	1	2
20	за этими словами	1	2
21	не только не	1	2
22	а на другой	1	1
23	начнем с того	1	1
24	в ее душу	1	1
25	и не случайно	2	1
26	что я не	1	1
27	л н толстой	1	1
28	и все же	1	1
29	а как же	1	1
30	казалось что все	1	1
31	что он не	1	1
32	как же я	1	1
33	точно так же	2	1
34	и то что	1	1
35	он не любил	1	1
36	и при этом	1	1
37	в это же	1	1
38	все же не	1	1
39	как это часто	1	1
40	в этом случае	1	1
41	и в самом	2	1
42	с самого начала	1	1
43	с того что	1	1
44	в голову что	1	1
45	но все же	2	1
46	в последней главе	1	1
47	после того как	1	1
48	в одном из	1	1
49	в разговоре с	1	1
50	и в ходе	1	1
51	ее душу и	1	1
