N	3gram	Vinokur_Ku_2	Sotsiolo
1	в том что	10	2
2	дело не в	2	2
3	в конце концов	3	2
4	не в том	1	2
5	но только в	1	1
6	представить себе чтобы	1	1
7	в настоящее время	1	1
8	в том и	1	1
9	только то что	1	1
10	по крайней мере	6	1
11	в наше время	2	1
12	сама по себе	1	1
13	и что на	2	1
14	в конечном счете	2	1
15	не было бы	1	1
16	что он говорит	1	1
17	в то же	3	1
18	это вовсе не	1	1
19	в этой области	4	1
20	это дает нам	1	1
21	что все это	1	1
22	но как и	1	1
23	ничего не значат	1	1
24	в связи с	3	1
25	не выходит за	1	1
26	то же время	3	1
27	главным образом в	1	1
28	чуть ли не	1	1
29	они ни были	1	1
30	в противном случае	1	1
31	в лучшем случае	3	1
32	с одной стороны	1	1
33	дает нам право	1	1
34	во всяком случае	5	1
