N	3gram	Bakhtin_Fr_7	StatiiOP
1	в том что	3	11
2	то обстоятельство что	1	5
3	в этом смысле	1	4
4	с точки зрения	3	4
5	в этом отношении	2	4
6	во всяком случае	1	4
7	о том что	1	4
8	прежде всего в	4	3
9	в мировой литературе	1	3
10	с тем что	1	3
11	как писателя и	1	3
12	в конце концов	4	3
13	в связи с	1	3
14	то же время	9	3
15	не только в	1	3
16	в то же	9	3
17	потому что он	1	2
18	сделать так чтобы	1	2
19	но и в	1	2
20	и не в	1	2
21	и в этом	1	2
22	тем что в	1	2
23	с самого начала	1	2
24	по этому поводу	1	2
25	мы имеем в	2	2
26	тем более что	1	2
27	и может быть	1	1
28	то что был	1	1
29	как и всегда	1	1
30	и для самого	1	1
31	более или менее	2	1
32	и в ряде	1	1
33	на самом деле	1	1
34	то же самое	1	1
35	сам по себе	1	1
36	и во всяком	1	1
37	является одним из	1	1
38	так как его	1	1
39	начинается с самого	1	1
40	находит свое выражение	1	1
41	можно было бы	2	1
42	то что в	2	1
43	вместе с ним	1	1
44	мы здесь находим	1	1
45	это место в	1	1
46	в применении к	1	1
47	и то обстоятельство	1	1
48	и с его	1	1
49	в том же	1	1
50	в году в	1	1
51	в чем же	1	1
52	фазу своего развития	1	1
53	на котором он	1	1
54	он говорит что	1	1
55	до нас не	1	1
56	в свое время	2	1
57	до наших дней	1	1
58	проявляется в том	1	1
59	таким образом в	1	1
60	в центре этой	1	1
61	в свою очередь	3	1
62	ни для кого	1	1
63	свое отражение в	1	1
64	в одном из	1	1
65	в новую фазу	1	1
66	что у него	2	1
67	и в самом	1	1
68	в другом случае	1	1
69	но на самом	1	1
70	все они по	1	1
71	новую фазу своего	1	1
72	как мы видели	4	1
73	и в другом	1	1
