N	2gram	Potebnia_M_2	Problema
1	то есть	30	46
2	в его	2	43
3	и не	19	42
4	и в	24	38
5	и проч	10	28
6	не может	12	27
7	может быть	23	26
8	как бы	9	22
9	по отношению	2	21
10	и с	1	17
11	и его	2	16
12	в этом	8	15
13	в нем	9	15
14	и т	6	14
15	только в	11	13
16	т п	3	13
17	прежде всего	7	13
18	независимо от	9	13
19	но не	12	12
20	за пределы	2	12
21	в единстве	1	12
22	во всех	7	11
23	ни в	1	11
24	и для	3	11
25	отношение к	1	10
26	таким образом	11	10
27	в их	1	10
28	к нему	1	10
29	не только	15	9
30	не имеет	6	9
31	его в	3	9
32	имеет дело	1	9
33	но и	9	9
34	и как	6	8
35	входит в	1	8
36	было бы	13	8
37	место в	4	8
38	для нее	2	8
39	в том	18	8
40	и др	1	8
41	то что	20	8
42	еще не	4	7
43	в самом	4	7
44	как и	7	7
45	не в	13	7
46	содержание в	1	7
47	как мы	1	7
48	с другой	6	7
49	между тем	6	7
50	слова в	5	7
51	что в	16	7
52	отношения к	2	6
53	самом деле	2	6
54	там где	4	6
55	и наконец	1	6
56	для эстетического	1	6
57	не к	1	6
58	не всегда	1	6
59	с точки	1	6
60	не есть	6	6
61	ничего не	1	6
62	дело с	1	6
63	мы можем	12	6
64	все же	5	6
65	а в	8	6
66	только как	6	6
67	тем как	2	5
68	отличие от	1	5
69	все эти	2	5
70	при этом	13	5
71	то же	12	5
72	это не	3	5
73	в них	5	5
74	рядом с	3	5
75	далеко не	3	5
76	в отличие	1	5
77	так и	5	5
78	и о	1	5
79	никогда не	4	5
80	содержание как	1	5
81	с ним	5	5
82	может иметь	1	5
83	и прежде	1	5
84	конечно не	1	5
85	большинстве случаев	1	5
86	в большинстве	1	5
87	не на	2	5
88	а не	18	5
89	со словом	1	5
90	могут быть	8	5
91	быть только	2	5
92	должно быть	2	5
93	формы и	1	5
94	все они	1	5
95	имеет место	2	5
96	на самом	2	4
97	должна быть	1	4
98	содержания в	1	4
99	в ней	3	4
100	но конечно	1	4
101	относится к	3	4
102	как в	10	4
103	но в	4	4
104	в нашем	2	4
105	в себе	10	4
106	перестает быть	2	4
107	значение слова	1	4
108	не менее	5	4
109	тем самым	4	4
110	в то	6	4
111	известной степени	1	4
112	должны быть	4	4
113	здесь не	1	4
114	в ее	1	4
115	не с	3	4
116	о том	5	4
117	которых мы	3	4
118	от всех	1	4
119	с ними	3	4
120	в других	4	4
121	и только	6	4
122	к которому	2	4
123	что не	5	4
124	только по	3	4
125	и потому	2	4
126	в более	1	4
127	хотя бы	2	4
128	вне себя	2	4
129	может и	1	4
130	между ними	2	4
131	сказать что	2	4
132	другой стороны	2	4
133	ли мы	2	3
134	например в	3	3
135	есть форма	1	3
136	которую мы	1	3
137	на них	1	3
138	бы то	1	3
139	мы будем	1	3
140	значение имеет	1	3
141	значение для	1	3
142	помнить что	3	3
143	не будем	1	3
144	в целом	3	3
145	он не	1	3
146	то ни	1	3
147	а как	1	3
148	с другими	5	3
149	может стать	2	3
150	и тем	3	3
151	в слове	13	3
152	том что	8	3
153	почти совершенно	1	3
154	тем не	6	3
155	проч но	2	3
156	на него	3	3
157	же время	2	3
158	определенности и	2	3
159	или как	1	3
160	проч с	1	3
161	все то	1	3
162	слова но	2	3
163	в применении	1	3
164	и это	2	3
165	единстве человеческой	1	3
166	хотя и	3	3
167	и от	3	3
168	как содержание	2	3
169	мы в	3	3
170	если бы	11	3
171	на ее	1	3
172	содержания но	1	3
173	этом смысле	2	3
174	но с	1	3
175	как нечто	1	3
176	с одной	4	3
177	со всеми	1	3
178	в известной	1	3
179	входят в	3	3
180	оно не	3	3
181	себя и	2	3
182	одной стороны	3	3
183	его как	1	3
184	связь с	1	3
185	применении к	1	3
186	и на	8	3
187	слова и	3	3
188	но это	3	3
189	все это	2	3
190	природу и	1	3
191	за его	1	3
192	с содержанием	1	3
193	от него	4	3
194	и все	3	3
195	ни было	3	3
196	в таком	4	3
197	все что	3	3
198	они не	4	3
199	он может	1	2
200	и есть	2	2
201	в котором	4	2
202	его не	3	2
203	есть не	5	2
204	со всех	1	2
205	не во	2	2
206	единство и	1	2
207	но она	3	2
208	всех сторон	1	2
209	оно может	2	2
210	столь же	5	2
211	в чем	7	2
212	с его	2	2
213	но как	1	2
214	а только	8	2
215	смысле мы	1	2
216	не все	2	2
217	в истории	1	2
218	дает нам	1	2
219	как к	1	2
220	себе не	4	2
221	содержание не	1	2
222	к чему	1	2
223	и у	3	2
224	что это	3	2
225	бы не	5	2
226	нами в	1	2
227	на то	5	2
228	а к	2	2
229	не имеют	2	2
230	не следует	1	2
231	он должен	1	2
232	на этом	2	2
233	человека в	3	2
234	в каждом	2	2
235	лишь в	1	2
236	и других	2	2
237	о которых	3	2
238	и при	3	2
239	или точнее	1	2
240	все и	1	2
241	где оно	2	2
242	звукового материала	1	2
243	и более	1	2
244	том же	1	2
245	и вообще	3	2
246	случае мы	1	2
247	можем сказать	1	2
248	и вся	1	2
249	раз и	1	2
250	в таких	1	2
251	дело в	1	2
252	одна из	4	2
253	в единство	1	2
254	того чтобы	2	2
255	в самой	3	2
256	и весь	2	2
257	все стороны	1	2
258	во всем	2	2
259	связи с	6	2
260	у нас	2	2
261	представляется нам	5	2
262	к себе	1	2
263	не могут	7	2
264	есть только	6	2
265	отличается от	1	2
266	что оно	4	2
267	слова с	1	2
268	для того	5	2
269	как новое	1	2
270	должен быть	1	2
271	что все	2	2
272	только при	1	2
273	в себя	2	2
274	степени и	1	2
275	и которые	1	2
276	том как	3	2
277	форма но	1	2
278	поэтому в	1	2
279	при восприятии	1	2
280	движения и	2	2
281	и здесь	2	2
282	в другом	2	2
283	и что	4	2
284	делает возможным	1	2
285	от них	3	2
286	организма и	1	2
287	и во	3	2
288	будем называть	1	2
289	того что	7	2
290	предмета и	4	2
291	только единство	1	2
292	что он	4	2
293	в какой	2	2
294	не можем	6	2
295	в нашей	2	2
296	языка как	1	2
297	не дает	2	2
298	ни с	2	2
299	цели и	1	2
300	что и	11	2
301	вовсе не	9	2
302	содержание и	1	2
303	в некоторых	4	2
304	которые могут	4	2
305	тем что	7	2
