N	3gram	Bakhtin_Pr_1	Myshleni
1	с точки зрения	13	21
2	для того чтобы	1	18
3	в этом случае	1	14
4	в том что	6	13
5	не только не	1	9
6	с самого начала	1	7
7	так же как	1	7
8	по сравнению с	1	7
9	к тому что	1	6
10	то же самое	1	5
11	по отношению к	8	5
12	в данном случае	2	5
13	заключается в том	1	4
14	о том что	1	4
15	слова и его	1	4
16	этой точки зрения	1	4
17	потому что у	1	4
18	в самом деле	2	4
19	не может быть	4	4
20	можно сказать что	1	3
21	до сих пор	2	3
22	не совпадает с	1	3
23	в первом случае	1	3
24	как мы видели	1	3
25	но и не	2	3
26	в том и	1	3
27	в этом отношении	3	3
28	то и другое	1	3
29	на котором мы	1	2
30	в большинстве случаев	2	2
31	тем что оно	1	2
32	друг с другом	1	2
33	точно так же	1	2
34	в той же	2	2
35	же как и	1	2
36	то что для	1	2
37	на одно из	1	2
38	на самом деле	4	2
39	таким образом в	1	2
40	в лучшем случае	2	2
41	в известном смысле	1	2
42	потому что он	1	2
43	в свою очередь	1	2
44	то время как	1	2
45	в себе в	1	2
46	том что он	4	2
47	том и другом	1	2
48	в то время	1	2
49	подобно тому как	3	1
50	в высшей степени	1	1
51	даже если мы	1	1
52	с мыслью и	1	1
53	так и в	1	1
54	в одной плоскости	5	1
55	в то же	9	1
56	неразрывной связи с	1	1
57	имеют все же	1	1
58	лежащие в основе	2	1
59	и во всяком	1	1
60	совершенно в той	1	1
61	это и есть	1	1
62	мы уже говорили	1	1
63	тем что он	1	1
64	и в этом	5	1
65	но именно в	1	1
66	того что он	1	1
67	мы должны перейти	1	1
68	в конце концов	5	1
69	в какой бы	1	1
70	начала и до	2	1
71	к той же	1	1
72	благодаря этому возникает	1	1
73	в неразрывной связи	1	1
74	сравнить его с	1	1
75	сложном отношении к	1	1
76	не может найти	1	1
77	что и в	1	1
78	а следовательно и	1	1
79	она не может	1	1
80	как раз и	3	1
81	по ту сторону	2	1
82	друг к другу	1	1
83	и не может	2	1
84	выражение и в	1	1
85	было бы дать	1	1
86	можно было бы	2	1
87	дело идет о	3	1
88	мы должны были	1	1
89	что она не	3	1
90	идея может быть	1	1
91	как мы уже	1	1
92	не только в	2	1
93	но не для	1	1
94	и до конца	2	1
95	не могут быть	1	1
96	в зависимости от	5	1
97	в этом смысле	10	1
98	то что было	3	1
99	не служит выражением	1	1
100	но все же	2	1
101	сама по себе	1	1
102	в свете этого	1	1
103	есть то что	1	1
104	и есть то	1	1
105	в момент его	1	1
106	быть тем что	1	1
107	с другой стороны	3	1
108	но и он	1	1
109	том что это	1	1
110	из одного плана	1	1
111	так как в	1	1
112	на первом месте	1	1
113	само по себе	3	1
114	время как обычно	1	1
115	но именно этот	1	1
116	и что в	1	1
117	во всяком случае	3	1
118	таким образом все	2	1
119	только и могут	1	1
120	не только к	1	1
