N	3gram	Voloshinov_1	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	он не только	1	2
4	с точки зрения	10	2
5	но в то	3	2
6	не может быть	3	2
7	в том что	4	2
8	а между тем	1	1
9	а следовательно и	2	1
10	его в том	1	1
11	равно как и	1	1
12	в котором он	1	1
13	до сих пор	3	1
14	и не может	1	1
15	он и не	1	1
16	не было бы	1	1
17	в этом отношении	2	1
18	– это и	1	1
19	в этот период	3	1
20	но мы знаем	1	1
21	по крайней мере	1	1
22	во время сна	1	1
23	может быть и	1	1
24	одно и то	1	1
25	в высшей степени	2	1
26	на первый взгляд	1	1
27	ответ на это	1	1
28	и то же	1	1
29	но при этом	1	1
30	или по крайней	1	1
31	а с другой	1	1
32	что он сам	1	1
33	– одна из	1	1
34	но оказалось что	1	1
35	во всяком случае	3	1
36	мы знаем о	1	1
37	как бы в	1	1
38	тем не менее	2	1
39	в то время	1	1
40	его отношение к	2	1
41	в свою очередь	1	1
42	это и есть	1	1
43	о том что	1	1
44	с помощью которых	1	1
45	лет тому назад	1	1
46	в каком направлении	1	1
47	чтобы разобраться в	2	1
48	в глубине души	1	1
