N	3gram	Potebnia_M_4	PoTuStor
1	с точки зрения	3	6
2	на самом деле	3	4
3	с самого начала	1	4
4	до сих пор	4	3
5	по крайней мере	5	3
6	во всяком случае	3	3
7	не может быть	5	3
8	можно сказать что	4	3
9	в большинстве случаев	2	3
10	не могут быть	2	2
11	все то что	1	2
12	о том что	5	2
13	и в этом	4	2
14	даже тогда когда	1	1
15	и того же	1	1
16	что рано или	1	1
17	то что я	7	1
18	в следующем в	1	1
19	дело в том	1	1
20	подобно тому как	2	1
21	он может быть	1	1
22	одного и того	1	1
23	то же самое	4	1
24	другими словами мы	1	1
25	а потом и	1	1
26	которое достаточно для	1	1
27	довести до сознания	1	1
28	и та же	1	1
29	а может быть	1	1
30	в этом отношении	1	1
31	и потому мы	1	1
32	рано или поздно	2	1
33	и говорить о	1	1
34	со всех сторон	1	1
35	может быть только	1	1
36	вместе с тем	3	1
37	в каком отношении	1	1
38	что я в	1	1
39	в данном случае	2	1
40	что есть в	1	1
41	что может быть	1	1
42	с одной стороны	1	1
43	еще не имеет	1	1
44	в связи с	1	1
45	человека и все	1	1
46	как один из	1	1
47	какое значение для	1	1
48	имеем дело с	1	1
49	один из моментов	1	1
50	сказать что эти	1	1
51	и проч самый	1	1
52	все что не	1	1
53	в свое время	1	1
54	в том что	7	1
55	и таким образом	3	1
56	те же что	1	1
57	самом деле есть	1	1
58	мы не можем	3	1
59	на наших глазах	1	1
60	одна и та	1	1
61	что иное как	2	1
62	на чем держится	1	1
63	и ту же	1	1
64	и быть не	1	1
65	в том смысле	2	1
66	не что иное	2	1
67	на всю жизнь	1	1
68	нам в голову	1	1
69	быть не может	1	1
70	для того чтобы	4	1
71	одну и ту	1	1
72	частей тела и	1	1
73	на первый взгляд	1	1
74	можем сказать что	2	1
75	представлений и слов	1	1
