N	2gram	Tiupa_Lite_1	EvropaiC
1	таким образом	3	32
2	в том	16	31
3	и в	8	24
4	том что	14	20
5	все эти	2	19
6	не может	5	18
7	то что	10	17
8	может быть	13	15
9	все же	4	15
10	точки зрения	6	13
11	самом деле	2	12
12	в своем	11	12
13	до сих	1	12
14	в этом	12	12
15	сих пор	1	12
16	между тем	2	11
17	во всех	1	10
18	по отношению	3	10
19	культуры и	1	10
20	так и	4	10
21	мы знаем	1	10
22	как бы	7	10
23	отношению к	2	10
24	культуры в	4	10
25	все что	1	10
26	того же	2	9
27	на то	1	9
28	при этом	19	9
29	как и	6	9
30	с другом	1	9
31	что в	3	9
32	в самом	3	8
33	с точки	2	8
34	не в	8	8
35	если бы	1	8
36	и все	1	8
37	на самом	1	7
38	из этих	2	7
39	в силу	4	7
40	не менее	7	7
41	по существу	1	7
42	по своей	3	7
43	к тому	2	7
44	для этого	4	7
45	о том	2	7
46	и что	1	7
47	что он	5	7
48	но и	17	7
49	и не	12	7
50	из этого	1	7
51	должна быть	2	6
52	еще не	4	6
53	и на	1	6
54	в общем	1	6
55	тогда как	13	6
56	в этой	4	6
57	в мире	2	6
58	в сознании	2	6
59	несмотря на	3	6
60	что и	1	6
61	того что	6	6
62	только в	8	6
63	все они	2	6
64	так как	1	6
65	мы можем	1	6
66	с другой	3	6
67	вместе с	1	6
68	отличается от	1	6
69	у них	1	6
70	между двумя	1	5
71	от культуры	1	5
72	столь же	4	5
73	как к	1	5
74	но в	3	5
75	в которой	1	5
76	в целом	8	5
77	в себе	7	5
78	тому же	2	5
79	не только	24	5
80	и если	1	5
81	но все	1	5
82	и с	1	5
83	лишь в	4	5
84	его в	3	5
85	между собою	1	5
86	так называемого	2	5
87	в то	5	5
88	как будто	2	5
89	что при	1	5
90	в пользу	1	5
91	в его	7	5
92	потому что	3	5
93	у него	3	5
94	именно в	1	5
95	далеко не	3	5
96	другой стороны	1	5
97	и от	1	5
98	к этому	1	5
99	одним из	5	4
100	и то	2	4
101	то же	5	4
102	та же	2	4
103	из того	2	4
104	что его	3	4
105	отношение к	1	4
106	он не	1	4
107	в одну	1	4
108	из них	4	4
109	должно быть	1	4
110	иначе говоря	1	4
111	и культуры	2	4
112	в их	3	4
113	тем не	2	4
114	том же	3	4
115	поэтому что	1	4
116	из которых	1	4
117	есть культура	1	4
118	связи с	6	4
119	в дальнейшем	1	4
120	никогда не	4	4
121	и т.д	1	4
122	на вопрос	1	4
123	и у	1	4
124	если мы	1	4
125	не есть	2	4
126	в виде	1	4
127	не так	1	4
128	а потому	2	4
129	в конце	4	4
130	в области	3	4
131	а с	1	4
132	как сказано	2	4
133	самого себя	3	4
134	культуре и	2	4
135	в состоянии	1	4
136	хотя бы	2	4
137	состоит из	1	4
138	совершенно не	1	4
139	как известно	1	3
140	же как	1	3
141	с более	1	3
142	вопрос о	1	3
143	но по	1	3
144	но даже	1	3
145	во имя	2	3
146	в данном	5	3
147	очевидно что	1	3
148	культуре в	1	3
149	целый ряд	1	3
150	на нас	1	3
151	так или	8	3
152	в нашем	1	3
153	к которой	1	3
154	в нем	2	3
155	и по	1	3
156	это не	4	3
157	на почве	2	3
158	в жизни	6	3
159	с тем	1	3
160	и того	2	3
161	одного и	1	3
162	в этих	1	3
163	даже в	2	3
164	освободиться от	2	3
165	для нас	1	3
166	уже и	1	3
167	ничего общего	1	3
168	то ни	1	3
