N	3gram	Propp_Russ_1	Stilisti
1	с точки зрения	3	5
2	с тем у	1	5
3	в свою очередь	2	4
4	на самом деле	1	3
5	в этом случае	5	3
6	не только в	1	3
7	но все же	2	3
8	как мы уже	1	3
9	как мы видели	1	3
10	что было в	1	2
11	тех случаях когда	1	2
12	и не только	1	2
13	вместе с тем	6	2
14	как мы увидим	5	2
15	в этом отношении	1	2
16	только потому что	1	2
17	одни и те	1	2
18	в тех случаях	1	2
19	и как бы	1	2
20	не что иное	2	2
21	о том что	4	2
22	и те же	1	2
23	что иное как	2	2
24	можно сказать что	1	2
25	с тем и	2	2
26	в связи с	4	2
27	к тому что	4	2
28	мы видим что	1	2
29	и того же	1	1
30	еще до того	1	1
31	мы должны будем	1	1
32	по отношению к	1	1
33	так как в	1	1
34	для наших целей	2	1
35	не совсем так	1	1
36	из них в	1	1
37	по мере их	1	1
38	вопросов и ответов	1	1
39	и та же	1	1
40	независимо от того	1	1
41	в собственном смысле	1	1
42	в себе и	1	1
43	при этом не	1	1
44	можно было бы	1	1
45	магический обряд который	1	1
46	в нашем сознании	1	1
47	на этот вопрос	1	1
48	одном и том	1	1
49	в одном и	1	1
50	в большинстве случаев	2	1
51	мы наблюдаем в	1	1
52	и том же	1	1
53	и в этом	1	1
54	тем не менее	3	1
55	как это ни	1	1
56	который мы наблюдаем	1	1
57	иметь в виду	1	1
58	но вместе с	1	1
59	в виду что	1	1
60	одна и та	1	1
61	но иногда и	1	1
62	это не совсем	1	1
63	бросается в глаза	1	1
64	были связаны с	1	1
65	мы не можем	3	1
66	только одна из	1	1
67	мы увидим ниже	2	1
68	об этом мы	1	1
69	эту точку зрения	1	1
70	вопрос о том	1	1
71	не только на	2	1
72	до того как	2	1
73	только тогда когда	1	1
74	как мы видим	1	1
75	одного и того	1	1
76	не можем считать	1	1
77	мы уже знаем	1	1
78	в том что	15	1
79	как и в	1	1
80	мы увидим что	1	1
