N	3gram	Tiupa_Narr_1	Stilisti
1	в то же	3	9
2	то же время	3	7
3	того или иного	2	5
4	с точки зрения	2	5
5	то же самое	1	4
6	той или иной	4	4
7	прежде всего в	1	4
8	ту или иную	2	4
9	в свою очередь	3	4
10	и тем самым	3	3
11	на самом деле	1	3
12	не только в	2	3
13	то или иное	2	3
14	но все же	4	3
15	как мы видели	1	3
16	как мы уже	1	3
17	о том что	6	2
18	или хотя бы	1	2
19	и в то	1	2
20	что иное как	2	2
21	мы не имеем	1	2
22	можно сказать что	4	2
23	тех или иных	1	2
24	может показаться что	1	2
25	тот или иной	1	2
26	и как бы	1	2
27	на первый взгляд	2	2
28	и т.д на	1	2
29	все то что	1	2
30	в значительной степени	2	2
31	не что иное	2	2
32	в связи с	2	2
33	есть не что	1	2
34	только потому что	1	2
35	в этом отношении	3	2
36	как мы увидим	1	2
37	не может быть	5	2
38	в качестве одного	1	1
39	до наших дней	1	1
40	и не было	1	1
41	на наш взгляд	1	1
42	содержит в себе	1	1
43	не только одним	1	1
44	одна из многочисленных	1	1
45	в хх веке	1	1
46	и при этом	1	1
47	с другой стороны	4	1
48	не смог бы	1	1
49	иметь в виду	1	1
50	по себе не	1	1
51	жизни однако в	1	1
52	и в особенности	1	1
53	один из этих	1	1
54	и того же	1	1
55	в этой ситуации	1	1
56	является как бы	1	1
57	в том что	8	1
58	в силу которого	1	1
59	несмотря на свою	1	1
60	независимо от того	1	1
61	внешний облик героя	1	1
62	и ответ на	1	1
63	ответ на него	1	1
64	само по себе	1	1
65	можно было бы	2	1
66	мысль о том	1	1
67	по отношению к	6	1
68	и тем более	1	1
69	из них в	1	1
70	же самое происходит	1	1
71	более или менее	2	1
72	одного и того	1	1
73	в русской литературе	1	1
74	точку зрения на	1	1
75	с точкой зрения	2	1
76	в конечном счете	2	1
77	вовсе и не	1	1
78	так и от	1	1
79	на ту или	1	1
80	это дает нам	1	1
81	то есть к	1	1
82	и т.д в	1	1
83	он почувствовал что	1	1
84	ни единого слова	1	1
85	в самом деле	1	1
86	не может не	2	1
87	не только о	2	1
88	тем самым мы	1	1
89	хотя бы одной	1	1
90	тем не менее	3	1
91	как и в	1	1
92	точки зрения и	1	1
93	только благодаря этому	1	1
94	перед нами не	2	1
95	до сих пор	1	1
96	в иной ситуации	1	1
97	самое происходит и	1	1
98	по крайней мере	1	1
