N	3gram	Vinokur_St_2	formyVre
1	то же время	1	9
2	и т п	3	8
3	в то же	1	6
4	в связи с	1	5
5	для того чтобы	5	5
6	как раз в	2	4
7	в том числе	1	4
8	по отношению к	1	3
9	до сих пор	5	3
10	в этом отношении	9	3
11	одно и то	1	3
12	не могло быть	1	3
13	в то время	1	3
14	и то же	1	3
15	но все же	2	2
16	дело в том	4	2
17	и в особенности	1	2
18	с точки зрения	2	2
19	здесь не место	1	2
20	в отличие от	2	2
21	и др в	1	2
22	вместе с тем	5	2
23	так же как	3	2
24	по сравнению с	1	2
25	конечно и речи	1	2
26	друг к другу	1	2
27	с самого начала	3	2
28	в том что	16	2
29	к тому же	2	2
30	быть конечно и	1	2
31	к тому времени	2	1
32	но кроме того	1	1
33	в другом месте	2	1
34	да и в	1	1
35	том что в	2	1
36	случилось так что	1	1
37	в виду что	1	1
38	себя прежде всего	1	1
39	в самом деле	2	1
40	и по существу	1	1
41	не было этого	1	1
42	не похож на	1	1
43	в том же	2	1
44	но все это	2	1
45	известно например что	1	1
46	они их не	1	1
47	в зависимости от	1	1
48	сами по себе	2	1
49	в исторический роман	1	1
50	в той же	1	1
51	точка зрения на	1	1
52	ту же ночь	1	1
53	но он не	1	1
54	с тем что	2	1
55	их и не	1	1
56	совершенно так же	2	1
57	большую роль в	1	1
58	значение но в	1	1
59	говорит о том	1	1
60	почти ничего не	1	1
61	в это время	2	1
62	в значительной степени	2	1
63	на этой почве	1	1
64	в ту же	1	1
65	в данном случае	1	1
66	тот факт что	4	1
67	в определенном направлении	1	1
68	так и в	2	1
69	и в этом	2	1
70	но вместе с	1	1
71	и в трагедии	1	1
72	во всяком случае	3	1
73	и речи о	1	1
74	в том самом	1	1
75	и в том	1	1
76	совершенно независимо от	1	1
77	и тот факт	1	1
78	из того же	1	1
79	имел в виду	1	1
80	быть еще и	1	1
81	в свою очередь	1	1
82	в этом случае	1	1
83	о том что	11	1
84	к выводу что	1	1
85	и в котором	1	1
86	не оставляет никаких	1	1
87	как своего рода	2	1
88	но в отношении	1	1
89	этот вопрос в	1	1
90	в высшей степени	1	1
91	нравов и обычаев	1	1
