N	2gram	Propp_Isto_4	IolandNe
1	и с	5	3
2	и не	9	2
3	в этом	7	2
4	он не	7	2
5	что в	14	2
6	ничего не	5	2
7	же это	2	1
8	себя в	2	1
9	нет есть	1	1
10	все это	2	1
11	и др	5	1
12	и тот	2	1
13	и в	26	1
14	только что	3	1
15	то и	1	1
16	них не	1	1
17	а по	4	1
18	бы в	1	1
19	с другой	4	1
20	а в	8	1
21	вплоть до	1	1
22	доказать что	1	1
23	того что	2	1
24	не дает	2	1
25	в руки	3	1
26	цель и	1	1
27	все тех	1	1
28	на котором	3	1
29	а с	1	1
30	другой стороны	4	1
31	с героем	1	1
32	а также	3	1
33	в основе	1	1
34	что при	1	1
35	могло бы	2	1
36	как отец	1	1
37	есть только	3	1
38	так и	10	1
39	дает и	1	1
40	не случайно	2	1
41	никогда не	2	1
42	к отцу	1	1
43	жизни и	1	1
44	и очень	1	1
45	тех же	2	1
46	тем что	5	1
47	в целом	2	1
48	по поводу	1	1
49	очевидно что	1	1
50	в них	1	1
51	все эти	3	1
52	по существу	3	1
53	и и	3	1
54	если бы	2	1
