N	3gram	Savitsky_E_1	Komedia
1	к тому же	1	10
2	в том что	6	5
3	на этот раз	1	4
4	для того чтобы	5	4
5	в том числе	1	3
6	в связи с	1	3
7	то же время	14	3
8	в то время	1	3
9	в то же	15	3
10	в силу этого	1	2
11	чуть ли не	1	2
12	не говоря уже	2	2
13	в этом смысле	3	2
14	в частности в	2	2
15	в одной из	1	2
16	говоря уже о	1	2
17	в отличие от	1	2
18	бы то ни	4	2
19	не более чем	2	2
20	то время как	1	2
21	то ни было	4	2
22	с одной стороны	8	2
23	во всяком случае	3	2
24	независимо от того	1	2
25	к тому что	1	2
26	можно было бы	3	2
27	друг с другом	3	2
28	речь идет о	1	2
29	не означает что	1	1
30	к участию в	1	1
31	иначе обстоит дело	2	1
32	как это имело	1	1
33	в соответствии с	1	1
34	в том же	1	1
35	что само по	1	1
36	с точки зрения	16	1
37	только в том	2	1
38	том случае если	1	1
39	и в то	8	1
40	тому же все	1	1
41	но и в	1	1
42	и та же	1	1
43	то что в	2	1
44	том числе и	1	1
45	в том случае	1	1
46	как бы то	1	1
47	представление о том	1	1
48	той или иной	4	1
49	в качестве примера	1	1
50	бы столь же	1	1
51	по сравнению с	2	1
52	многие из них	1	1
53	само по себе	4	1
54	одна и та	1	1
55	с другой стороны	2	1
56	в полной мере	1	1
57	вместо того чтобы	1	1
58	не может быть	2	1
59	так и для	1	1
60	того или иного	4	1
61	более или менее	1	1
62	в тех случаях	1	1
63	в начале xx	1	1
64	так и в	2	1
65	в свою очередь	2	1
66	которое занимают в	1	1
67	связи с этим	1	1
68	мы можем сказать	2	1
69	то окажется что	2	1
70	хотя бы в	2	1
71	не имеет значения	1	1
72	не только в	4	1
73	во второй половине	2	1
74	друг от друга	2	1
75	тех случаях когда	1	1
76	в большинстве случаев	2	1
77	и не имеет	2	1
78	во всех случаях	3	1
79	более чем на	1	1
80	в пределах одного	1	1
81	это имело место	1	1
82	можем сказать что	1	1
83	как мы видели	2	1
