N	2gram	Medvedev_V_1	RusskieA
1	и в	26	29
2	т е	18	24
3	том что	8	22
4	в том	15	22
5	что в	10	22
6	как бы	5	18
7	и другие	1	14
8	может быть	22	13
9	во время	3	12
10	п в	3	12
11	в этом	26	11
12	как и	7	11
13	одна из	4	11
14	не только	25	10
15	е в	2	10
16	все это	10	10
17	о том	10	9
18	а в	3	9
19	его в	3	8
20	показывает что	1	8
21	сообщает что	1	8
22	но и	10	8
23	ее в	4	8
24	как в	1	7
25	данном случае	1	7
26	мы видели	3	7
27	или в	3	7
28	мы имеем	3	6
29	еще не	2	6
30	таким образом	31	6
31	того чтобы	3	6
32	для нас	1	6
33	для того	3	6
34	с тем	3	6
35	вместе с	7	6
36	в данном	1	6
37	же в	6	6
38	и т	23	5
39	но не	2	5
40	следующим образом	3	5
41	но в	2	5
42	это не	7	5
43	т д	14	5
44	не может	17	5
45	потому что	1	5
46	для этого	1	5
47	и что	1	5
48	будто бы	2	5
49	то что	6	5
50	к этому	9	5
51	же как	2	4
52	то же	10	4
53	вопрос о	1	4
54	видели что	3	4
55	не все	1	4
56	что по	1	4
57	уже не	1	4
58	это представление	1	4
59	их в	6	4
60	том же	6	4
61	а затем	2	4
62	в них	4	4
63	далеко не	2	4
64	в которых	3	4
65	не в	6	4
66	тогда когда	2	4
67	у нас	2	4
68	а также	1	4
69	в виде	1	4
70	из них	9	4
71	именно в	2	4
72	а не	7	4
73	о чем	2	4
74	так же	3	4
75	как это	12	4
76	эта теория	2	4
77	по существу	3	4
78	и все	1	4
79	или вообще	1	4
80	в таком	1	4
81	и через	2	3
82	в году	6	3
83	или ее	1	3
84	в ее	4	3
85	только тогда	1	3
86	что ее	1	3
87	все эти	6	3
88	в этой	4	3
89	что она	2	3
90	главным образом	7	3
91	подобно тому	2	3
92	и по	3	3
93	на этом	1	3
94	и других	1	3
95	с другими	2	3
96	не всегда	1	3
97	в этих	1	3
98	пишет что	1	3
99	в котором	3	3
100	но он	1	3
101	она не	3	3
102	в таких	1	3
103	не имеет	1	3
104	как мы	1	3
105	под именем	1	3
106	во всех	6	3
107	в свете	1	3
108	а именно	1	3
109	того что	3	3
110	как например	2	3
111	между тем	5	3
112	в качестве	11	3
113	или даже	1	3
114	друг друга	1	3
115	связаны с	1	3
116	тем что	1	3
117	что для	3	3
118	а наоборот	1	3
119	или с	1	3
120	пишет в	3	3
121	тому как	2	3
122	и от	3	3
123	было бы	7	3
124	а н	1	3
125	вряд ли	1	2
126	также что	2	2
127	прав когда	1	2
128	одним из	5	2
129	и то	1	2
130	н ф	2	2
131	в стороне	1	2
132	это и	6	2
133	но она	1	2
134	на себя	1	2
135	это показание	1	2
136	это время	1	2
137	между собой	1	2
138	не был	1	2
139	это имеет	1	2
140	с одной	2	2
141	очевидно что	7	2
142	с этим	3	2
143	все же	5	2
144	уже указывалось	1	2
145	а и	1	2
146	и как	3	2
147	не было	7	2
148	в которой	2	2
149	под ним	1	2
150	из этих	7	2
151	если он	1	2
152	как оно	1	2
153	после этого	2	2
154	представления об	2	2
155	том чтобы	2	2
156	в образе	2	2
157	об этом	9	2
158	что один	1	2
159	смерть и	1	2
160	для них	1	2
161	должно быть	2	2
162	и еще	1	2
163	в своей	4	2
164	в их	5	2
165	не столько	2	2
166	не менее	2	2
167	а иногда	1	2
168	как можно	1	2
169	в то	6	2
170	дело не	1	2
171	того как	1	2
172	никогда не	4	2
173	к ней	1	2
174	связи с	4	2
175	кроме того	1	2
176	что на	1	2
177	к таким	1	2
178	все то	1	2
179	начиная с	2	2
180	что при	2	2
181	говорит о	7	2
182	должен быть	4	2
183	в виду	4	2
184	и многие	1	2
185	то время	1	2
186	мнение что	1	2
187	можно было	2	2
188	еще в	1	2
189	жизнь и	1	2
190	не имели	1	2
191	образом в	3	2
192	а к	1	2
193	из основных	1	2
194	в глаза	1	2
195	после того	1	2
196	с другой	11	2
197	у них	2	2
198	этому поводу	7	2
199	что и	3	2
200	в форме	3	2
201	в него	1	2
202	бросается в	1	2
203	один из	5	2
204	этот вопрос	3	2
205	и ее	4	2
206	по этому	9	2
207	есть в	1	2
208	на эту	1	2
209	моментов в	3	2
210	связано с	1	2
211	каждый из	1	2
212	заметить что	1	2
213	в целях	2	2
214	человека а	1	2
215	или под	1	2
216	прежде всего	13	2
217	одной стороны	2	2
218	из наиболее	1	2
219	тем это	1	2
220	совершенно очевидно	1	2
221	другие в	1	2
222	совершенно не	1	2
223	нет никаких	2	2
224	сказки о	1	2
225	из которых	2	2
226	в течение	2	2
227	могут быть	5	2
228	с этой	1	2
229	этом и	2	2
230	пока еще	2	2
231	и для	2	2
232	ее и	1	2
233	у некоторых	2	2
234	такая форма	1	2
235	и при	5	2
236	в своих	2	2
237	это в	1	2
238	гоголь в	4	1
239	а между	1	1
240	ту же	2	1
241	отношение к	1	1
242	человека и	3	1
243	внимание состоит	1	1
244	к этой	1	1
245	относятся к	1	1
246	и есть	5	1
247	можно говорить	1	1
248	что эти	1	1
249	очень много	1	1
250	применении к	1	1
251	например в	3	1
252	этому же	1	1
253	что совокупность	1	1
254	что если	1	1
255	говорить о	2	1
256	как комплекс	1	1
257	как орудие	1	1
258	из того	1	1
259	мы и	1	1
260	то это	2	1
261	полное и	1	1
262	так называемые	1	1
263	них по	1	1
264	в ней	2	1
265	вещь в	1	1
266	что его	2	1
267	в различных	2	1
268	только два	1	1
269	этом говорит	1	1
270	же на	1	1
271	явлений и	3	1
272	если в	2	1
273	ответ на	1	1
274	состоял в	1	1
275	он пишет	7	1
276	воплощенной в	1	1
277	нет и	3	1
278	что они	3	1
279	сказывается влияние	1	1
280	были у	1	1
281	к сожалению	2	1
282	относится к	2	1
283	описывает его	1	1
284	отнюдь не	3	1
285	это самое	1	1
286	за эти	2	1
287	стороны и	2	1
288	в своем	8	1
289	в противном	2	1
290	перед нами	4	1
291	этом же	2	1
292	хотя и	2	1
293	когда он	3	1
294	и наконец	2	1
295	от других	1	1
296	не являются	1	1
297	что этим	1	1
298	более или	6	1
299	в самом	4	1
300	к необходимости	1	1
301	эта стадия	2	1
302	уже в	1	1
303	русских народных	1	1
304	он в	1	1
305	сообщает в	1	1
306	ни одна	2	1
307	рассказ о	1	1
308	тому же	1	1
309	ее как	2	1
310	лица и	2	1
311	как он	2	1
312	на то	1	1
313	но на	1	1
314	е из	1	1
315	же но	1	1
316	и если	1	1
317	что без	2	1
318	не следует	8	1
319	в нем	6	1
320	в статье	4	1
321	момента когда	1	1
322	так сказать	2	1
323	образом на	1	1
324	всех этих	2	1
325	отрицает ее	1	1
326	необходимо для	1	1
327	не представляет	1	1
328	только в	7	1
329	по аналогии	1	1
330	именно это	1	1
331	по его	2	1
332	а вместе	1	1
333	однако все	1	1
334	что все	3	1
335	почти каждый	1	1
336	в другом	2	1
337	связанных с	1	1
338	из себя	2	1
339	воскресения и	1	1
340	xvi в	1	1
341	а как	2	1
342	знает что	1	1
343	входит в	1	1
344	того или	2	1
345	те или	1	1
346	эту же	2	1
347	и отдельные	2	1
348	и дает	1	1
349	в новое	1	1
350	на основании	8	1
351	поле для	1	1
352	и значения	1	1
353	или из	1	1
354	в научной	1	1
355	их на	1	1
356	или менее	6	1
357	или точнее	1	1
358	это только	4	1
359	в которые	1	1
360	его мнению	1	1
361	на свою	1	1
362	это подтверждается	1	1
363	только для	1	1
364	ряда других	1	1
365	так называемое	1	1
366	как от	2	1
367	что этот	1	1
368	что есть	1	1
369	того момента	1	1
370	ее нужно	1	1
371	что эта	1	1
372	с которой	1	1
373	виду что	1	1
374	как о	2	1
375	эти формы	1	1
376	в науке	2	1
377	на него	1	1
378	в основе	1	1
379	в сад	1	1
380	наблюдения и	3	1
381	учения о	1	1
382	сущность его	1	1
383	и его	6	1
384	так например	2	1
385	которое не	1	1
386	как будто	1	1
387	этом отношении	13	1
388	не является	5	1
389	в духе	1	1
390	для его	4	1
391	ничего общего	1	1
392	в применении	1	1
393	и это	1	1
394	иметь в	2	1
395	и которая	1	1
396	себе в	1	1
397	свою очередь	1	1
398	здесь не	1	1
399	говорит и	8	1
400	на основе	5	1
401	в в	1	1
402	более высокой	1	1
403	затем его	1	1
404	в особенности	2	1
405	в пределах	5	1
406	приводит к	5	1
407	это для	1	1
408	то как	1	1
409	что у	2	1
410	так и	5	1
411	же говорит	4	1
412	шел в	2	1
413	это настолько	1	1
414	характер этих	1	1
415	том как	3	1
416	но у	1	1
417	он был	1	1
418	без всякой	1	1
419	если бы	3	1
420	это обычно	1	1
421	с ним	1	1
422	сводится к	3	1
423	однако такая	1	1
424	другом месте	2	1
425	и поэтому	1	1
426	утверждает что	3	1
427	с того	1	1
428	можно сказать	4	1
429	может не	2	1
430	аналогии с	1	1
431	затем в	1	1
432	и во	1	1
433	места и	1	1
434	по наблюдениям	1	1
435	ему же	1	1
436	в его	14	1
437	во всей	2	1
438	в ту	1	1
439	если это	1	1
440	значительно увеличить	2	1
441	полагая что	1	1
442	в другую	2	1
443	и мир	3	1
444	дело так	1	1
445	быть и	1	1
446	показывают что	3	1
447	но с	2	1
448	в основном	5	1
449	с ними	4	1
450	что он	4	1
451	в какой	1	1
452	но ни	1	1
453	и так	1	1
454	верно и	1	1
455	который в	1	1
456	они могут	1	1
457	но ее	1	1
458	от них	2	1
459	описывает этот	1	1
460	указывает что	1	1
461	же и	2	1
462	с нею	2	1
463	только на	1	1
464	ее а	1	1
465	значение и	1	1
466	е не	1	1
467	при помощи	3	1
468	в данной	1	1
469	в борьбу	1	1
470	это обстоятельство	1	1
471	который как	1	1
472	для него	8	1
473	всяком случае	1	1
474	могло бы	2	1
475	в одном	4	1
476	в конце	3	1
477	в состоянии	1	1
478	себя от	1	1
479	к ним	1	1
480	не составляет	1	1
481	приведем только	1	1
482	как раз	3	1
483	на некоторые	1	1
484	встречаемся с	1	1
485	не противоречит	1	1
486	из своих	2	1
487	время как	1	1
488	и даже	2	1
489	даже не	2	1
490	и связывание	1	1
491	как у	2	1
492	быть принято	1	1
493	и др	9	1
494	не существуют	1	1
495	силу но	1	1
496	близко к	1	1
497	этот вид	1	1
498	смысла и	1	1
499	целым рядом	1	1
500	зависит от	2	1
501	понимать как	2	1
502	быть принята	1	1
503	ответ с	1	1
504	а по	1	1
505	есть одно	1	1
506	может иметь	1	1
507	это на	1	1
508	или другого	1	1
509	природе и	1	1
510	и потому	2	1
511	некоторые из	3	1
512	по своему	1	1
513	он может	2	1
514	и основной	1	1
515	изучение этих	1	1
516	исходя из	1	1
517	бы значительно	1	1
518	и не	19	1
519	представляется как	1	1
520	но это	1	1
521	при всем	3	1
522	он придает	1	1
523	поводу с	1	1
524	так будто	1	1
525	место для	1	1
526	так постепенно	1	1
527	представление что	1	1
528	от него	1	1
529	только что	4	1
530	которые в	2	1
531	этих элементов	1	1
532	к ее	1	1
533	несмотря на	1	1
534	он же	5	1
535	только с	2	1
536	о своем	2	1
537	в свою	1	1
538	месте в	1	1
539	сказать что	5	1
540	другой стороны	8	1
541	сообщает о	1	1
