N	3gram	Losev_Prob_1	Otkroven
1	в записках из	1	3
2	для того чтобы	8	3
3	записках из подполья	1	3
4	и в этом	2	2
5	а не в	1	2
6	это было бы	1	2
7	не может быть	2	2
8	ли сказать что	2	2
9	можно ли сказать	2	2
10	не могут быть	1	2
11	с тем что	2	2
12	и не быть	1	1
13	от человека к	1	1
14	уже сам по	1	1
15	как будто бы	1	1
16	хотя и не	2	1
17	иван карамазов есть	1	1
18	а вовсе не	1	1
19	ни к каким	1	1
20	в самом деле	2	1
21	есть не только	1	1
22	и в том	1	1
23	о том как	2	1
24	преступление и наказание	1	1
25	не было и	1	1
26	во всяком случае	3	1
27	него всегда есть	1	1
28	сам по себе	7	1
29	действующих лиц в	1	1
30	даже и в	1	1
31	о том что	5	1
32	в этом отношении	1	1
33	то что в	3	1
34	есть одно из	1	1
35	и в самом	2	1
36	в вечном муже	1	1
37	вовсе не так	1	1
38	в том что	5	1
39	на то что	8	1
40	и то что	2	1
41	в братьях карамазовых	1	1
42	в самом начале	1	1
43	или лучше сказать	1	1
44	а не только	2	1
45	хотя бы даже	1	1
46	как и в	1	1
47	и в его	1	1
48	не есть просто	1	1
