N	3gram	Berdyaev_M_1	KulturaY
1	и т п	1	18
2	для того чтобы	2	15
3	в том что	1	15
4	по отношению к	2	8
5	в самом деле	1	7
6	о том что	1	5
7	в зависимости от	1	5
8	во всяком случае	1	5
9	до сих пор	2	4
10	не в том	1	4
11	можно было бы	1	3
12	вместе с тем	5	3
13	не может быть	17	3
14	все это не	1	3
15	потому что не	1	2
16	в иных случаях	1	2
17	трудно было бы	1	2
18	хотя бы и	2	2
19	и в самом	3	2
20	мы увидим что	3	2
21	на том что	1	1
22	что иное как	1	1
23	потому что он	1	1
24	он должен быть	1	1
25	в ней все	1	1
26	и в смысле	1	1
27	не есть уже	2	1
28	был бы уже	1	1
29	так и не	1	1
30	начале xix века	1	1
31	но не менее	1	1
32	том случае если	1	1
33	может уже быть	1	1
34	в отличие от	1	1
35	в себе и	1	1
36	в наше время	1	1
37	к тому чтобы	2	1
38	и ничего не	1	1
39	в том случае	1	1
40	у самого себя	1	1
41	шаг вперед в	1	1
42	до конца и	1	1
43	не только в	2	1
44	не может уже	1	1
45	в начале xix	1	1
46	на том основании	2	1
47	и вместе с	4	1
48	во всех этих	1	1
49	но в нем	1	1
50	имеем в виду	1	1
51	это не значит	2	1
52	в том смысле	2	1
53	она все же	1	1
54	а вовсе не	1	1
55	но и с	1	1
56	когда мы говорим	1	1
57	это потому что	1	1
58	как и всякая	1	1
59	между тем как	1	1
60	том основании что	2	1
61	от того что	1	1
62	том смысле что	1	1
63	лишь в том	1	1
64	с тем что	3	1
65	одно из самых	2	1
66	мы имеем в	1	1
67	в дневнике писателя	2	1
68	к которому он	1	1
69	свои силы в	1	1
70	в братьях карамазовых	3	1
71	не что иное	1	1
72	по сравнению со	1	1
73	или нет в	1	1
74	и мы увидим	1	1
75	в них не	1	1
76	что и в	1	1
77	я и хочу	1	1
