N	3gram	Vygotskiy__3	Psycholo
1	в том что	17	9
2	не может быть	2	8
3	с таким образом	1	8
4	на то что	3	8
5	в том чтобы	1	7
6	о том что	3	7
7	во всяком случае	4	6
8	заключается в том	7	6
9	в зависимости от	5	5
10	то время как	4	5
11	в то время	4	5
12	само по себе	2	5
13	этой точки зрения	2	5
14	подобно тому как	1	5
15	с другой стороны	3	5
16	с одной стороны	5	5
17	для того чтобы	7	5
18	мы никогда не	2	4
19	с этой точки	2	4
20	так же как	6	4
21	как и в	2	4
22	том что она	1	3
23	не в состоянии	1	3
24	и той же	2	3
25	только в том	2	3
26	до сих пор	1	3
27	в отличие от	6	3
28	в собственном смысле	6	3
29	к тому чтобы	1	3
30	точно так же	1	3
31	указывает на то	1	3
32	ни в какой	4	3
33	сказать что в	1	3
34	одной и той	2	3
35	так же точно	3	3
36	в конце концов	1	3
37	состоит в том	3	2
38	показывает что в	1	2
39	более или менее	1	2
40	в этом смысле	2	2
41	то же самое	1	2
42	в силу того	2	2
43	мы не можем	1	2
44	с точки зрения	1	2
45	имеет в виду	1	2
46	совершенно совпадает с	1	2
47	в этом отношении	3	2
48	ту же мысль	1	2
49	со всеми остальными	1	2
50	вместе с тем	10	2
51	в применении к	1	2
52	что мы не	1	2
53	есть в сущности	1	2
54	из которых каждая	1	2
55	так как они	1	2
56	в последнее время	3	2
57	собственном смысле слова	2	2
58	мы увидим что	1	2
59	заключается только в	1	2
60	может быть совершенно	1	2
61	силу того что	2	2
62	всяком случае в	1	2
63	так и в	2	2
64	и что следовательно	1	2
65	и в самом	1	2
66	смысле этого слова	4	2
67	по этому поводу	1	2
68	сама по себе	1	2
69	тем не менее	5	2
70	что и в	5	2
71	по себе а	1	2
72	мы видели что	3	2
73	и того же	4	1
74	и том же	1	1
75	друг к другу	1	1
76	и тому же	1	1
77	дело обстоит совершенно	1	1
78	точки зрения на	2	1
79	обоих этих моментов	1	1
80	совершенно другим законам	1	1
81	и в результате	1	1
82	одном и том	1	1
83	если бы мы	1	1
84	теми или иными	2	1
85	одним и тем	1	1
86	что в самом	1	1
87	так точно и	1	1
88	с достаточной ясностью	1	1
89	так как в	1	1
90	в том числе	1	1
91	во многих случаях	1	1
92	чтобы прийти к	1	1
93	мы должны будем	1	1
94	же как и	4	1
95	при помощи которых	1	1
96	между собой с	1	1
97	по сравнению с	3	1
98	принять во внимание	1	1
99	но и у	1	1
100	выходит за пределы	1	1
101	что мы имеем	1	1
102	отношении друг к	1	1
103	сами по себе	3	1
104	все это говорит	1	1
105	независимо от того	3	1
106	то что в	2	1
107	а вместе с	1	1
108	и только после	2	1
109	три различные формы	1	1
110	совершенно так же	2	1
111	в связи со	1	1
112	заключает в себе	2	1
113	том или ином	1	1
114	бы если бы	1	1
115	бы сказать что	3	1
116	того чтобы подойти	1	1
117	которых мы не	2	1
118	того что они	3	1
119	и то что	2	1
120	отнюдь не является	1	1
121	ту или иную	1	1
122	так как она	2	1
123	во внимание что	1	1
124	в процессе развития	1	1
125	в этой области	1	1
126	чтобы подойти к	1	1
127	не потому что	1	1
128	и тем же	1	1
129	между тем как	1	1
130	из которых складывается	1	1
131	не только в	1	1
132	приходится иметь дело	1	1
133	мы не знаем	1	1
134	в приложении к	1	1
135	элементы могут быть	1	1
136	склонен думать что	1	1
137	так как это	1	1
138	потому что оно	2	1
139	мы скажем что	1	1
140	в известном смысле	2	1
141	и в этом	2	1
142	на этот раз	1	1
143	не могут быть	1	1
144	в какой степени	1	1
145	лишь случайно с	1	1
146	того что она	1	1
147	это имеет место	1	1
148	на деле не	1	1
149	разница только в	1	1
150	совпадают с теми	1	1
151	приводит к тому	1	1
152	той и другой	1	1
153	в связи с	5	1
154	столь же мало	2	1
155	приводит нас к	1	1
156	все что мы	2	1
157	том чтобы понять	1	1
158	в совершенно ином	1	1
159	и во всяком	2	1
160	результатах к которым	1	1
161	как и всякая	1	1
162	ни в каком	1	1
163	тогда когда они	1	1
164	того и другого	2	1
165	этой области как	1	1
166	то мы увидим	1	1
167	в процессе восприятия	1	1
168	и это мы	1	1
169	свидетельствовать о том	1	1
170	и вместе с	2	1
171	в свою очередь	2	1
172	та или иная	3	1
173	в совершенно разных	1	1
174	мы очень часто	1	1
175	вслед за этим	1	1
176	к которым приводит	1	1
177	к выводу что	2	1
178	с самого начала	6	1
179	мы знаем о	2	1
180	если мы скажем	1	1
181	к одному и	1	1
182	что иное как	1	1
183	быть определены как	1	1
184	включает в себя	2	1
185	одного и того	4	1
186	в готовом виде	2	1
187	сделать на основании	1	1
188	со всеми другими	1	1
189	именно в силу	1	1
190	не что иное	1	1
191	в своих исследованиях	1	1
192	что вместе с	1	1
193	и в том	1	1
194	если принять во	1	1
195	в результате этого	1	1
196	не только у	1	1
197	всегда и непременно	1	1
198	одному и тому	1	1
199	том числе и	1	1
