N	3gram	Savitsky_P_1	Vladivir
1	в том что	4	10
2	с точки зрения	3	6
3	вместе с тем	1	6
4	не может быть	1	6
5	более или менее	1	5
6	и в этом	1	5
7	и то что	1	4
8	том что в	1	3
9	в настоящее время	1	3
10	в этом смысле	1	3
11	хотя бы и	1	3
12	во всяком случае	1	3
13	с одной стороны	3	3
14	в то же	7	3
15	в отличие от	1	3
16	само по себе	1	3
17	что в этом	1	2
18	есть прежде всего	1	2
19	одной стороны и	2	2
20	для тех кто	1	2
21	и в то	2	2
22	так же как	1	2
23	только в виде	1	2
24	с другой стороны	1	2
25	то же время	7	2
26	в сравнении с	3	2
27	а с тем	1	1
28	половины xix века	1	1
29	да и не	1	1
30	и не только	2	1
31	и с этим	1	1
32	эта не только	1	1
33	мы не будем	1	1
34	что все существующее	1	1
35	должна относиться к	1	1
36	было в то	1	1
37	в последние годы	1	1
38	можно думать что	1	1
39	если бы мы	1	1
40	не только в	4	1
41	хотя и без	1	1
42	в известном смысле	1	1
43	что из всех	1	1
44	в каком смысле	1	1
45	с тем чтобы	1	1
46	начал со стороны	1	1
47	тем и другим	1	1
48	мы должны в	1	1
49	мы знаем что	1	1
50	заключается в том	2	1
51	в том числе	2	1
52	для того чтобы	1	1
53	тех кто не	1	1
54	на наш взгляд	1	1
