N	2gram	Propp_Russ_2	Russkaja
1	не может	5	22
2	и не	1	19
3	в том	22	17
4	в этом	11	17
5	и в	29	14
6	то что	5	13
7	то же	4	11
8	таким образом	6	11
9	в то	2	10
10	но и	8	10
11	не только	10	9
12	том что	22	9
13	может быть	13	9
14	церкви и	2	9
15	во всяком	1	9
16	того чтобы	6	8
17	прежде всего	2	8
18	как на	1	8
19	отнюдь не	1	7
20	и если	1	7
21	и с	10	7
22	в данном	6	7
23	не будет	1	7
24	о том	9	7
25	мы должны	1	7
26	если в	1	6
27	в своем	1	6
28	с тем	6	6
29	в своих	2	6
30	и при	2	6
31	если бы	1	6
32	все это	10	6
33	и для	2	6
34	для того	6	6
35	что он	1	6
36	всяком случае	1	6
37	для него	1	6
38	на самом	2	6
39	а между	1	5
40	вопрос о	4	5
41	и на	6	5
42	между собой	2	5
43	во всех	3	5
44	на то	1	5
45	в нем	1	5
46	при этом	6	5
47	он должен	1	5
48	было бы	3	5
49	в своей	2	5
50	никогда не	2	5
51	потому что	5	5
52	между тем	3	5
53	только в	1	5
54	из которых	2	5
55	по существу	4	5
56	а в	9	5
57	жизни в	2	5
58	и то	2	4
59	но не	5	4
60	все же	2	4
61	более или	1	4
62	не в	4	4
63	в этой	3	4
64	на земле	5	4
65	его в	8	4
66	как и	11	4
67	или менее	1	4
68	в их	2	4
69	тогда когда	4	4
70	во всем	2	4
71	когда они	2	4
72	приводит к	1	4
73	идет речь	1	4
74	можно было	2	4
75	в его	1	4
76	так как	13	4
77	вместе с	6	4
78	как бы	18	4
79	что в	22	4
80	к этой	1	4
81	все что	1	4
82	вряд ли	2	3
83	и т	5	3
84	так чтобы	2	3
85	говорить о	1	3
86	еще не	6	3
87	самих себя	1	3
88	из этих	2	3
89	что они	1	3
90	во что	1	3
91	в самом	1	3
92	что это	3	3
93	ни одна	1	3
94	главным образом	3	3
95	и по	3	3
96	в другом	1	3
97	для них	2	3
98	несмотря на	1	3
99	должно быть	2	3
100	всех этих	1	3
101	но если	3	3
102	таким же	1	3
103	том чтобы	2	3
104	быть признан	1	3
105	одна из	11	3
106	связи с	2	3
107	то это	1	3
108	что все	1	3
109	данном случае	7	3
110	собой и	1	3
111	для этого	5	3
112	сводится к	1	3
113	может не	1	3
114	и во	1	3
115	что и	2	3
116	того что	3	3
117	в качестве	3	3
118	с нею	1	3
119	в большинстве	1	3
120	в виде	4	3
121	из них	4	3
122	в конце	1	3
123	себя от	1	3
124	друг друга	3	3
125	тем что	3	3
126	именно в	4	3
127	что для	3	3
128	не было	2	3
129	и потому	1	3
130	этом случае	6	3
131	она может	1	3
132	или в	7	3
133	и как	2	3
134	из этого	2	3
135	и есть	1	2
136	к церкви	1	2
137	но она	2	2
138	на себя	2	2
139	полное и	1	2
140	в ней	1	2
141	в таком	4	2
142	смотрят на	1	2
143	там и	2	2
144	тогда как	2	2
145	не просто	1	2
146	с этим	2	2
147	и наконец	1	2
148	но в	5	2
149	не можем	2	2
150	все эти	3	2
151	во многих	9	2
152	состоит в	15	2
153	не к	2	2
154	использовать в	2	2
155	мы уже	1	2
156	на этой	1	2
157	того или	1	2
158	на основании	1	2
159	и тогда	1	2
160	в этих	3	2
161	во время	12	2
162	в котором	3	2
163	место в	1	2
164	и более	1	2
165	их в	4	2
166	том же	4	2
167	она не	3	2
168	только для	1	2
169	в таких	3	2
170	что с	2	2
171	принадлежат к	2	2
172	для нас	6	2
173	следовательно и	1	2
174	людей и	2	2
175	и является	1	2
176	на которой	1	2
177	как будто	1	2
178	к себе	1	2
179	и о	3	2
180	это только	1	2
181	даже не	1	2
182	настоящее время	1	2
183	и что	5	2
184	от него	1	2
185	к нему	4	2
186	это в	2	2
187	вся эта	2	2
188	быть и	1	2
189	сделать это	1	2
190	этот вопрос	2	2
191	совершенно не	2	2
192	их не	1	2
193	по этому	2	2
194	так что	4	2
195	уже не	4	2
196	только на	1	2
197	не так	1	2
198	чтобы она	1	2
199	только с	1	2
200	она будет	1	2
201	в других	15	2
202	и даже	1	2
203	а с	2	2
204	не существуют	1	2
205	в некоторых	9	2
206	зависит от	1	2
207	а не	4	2
208	на эту	2	2
209	совершенно очевидно	2	2
210	так же	4	2
211	в течение	2	2
212	если человек	1	2
213	есть и	1	2
214	но это	1	2
215	этом и	2	2
216	остается в	1	2
217	и от	3	2
218	всем этим	1	2
219	в настоящее	1	2
220	с ним	1	2
221	и состоит	1	2
222	ее в	8	2
223	в силе	1	1
224	из церкви	1	1
225	и действительно	1	1
226	должен быть	2	1
227	он может	1	1
228	это и	2	1
229	показать что	1	1
230	в среду	1	1
231	ту же	1	1
232	что эти	1	1
233	с таким	1	1
234	и за	1	1
235	не удастся	1	1
236	своих целях	1	1
237	мы не	6	1
238	же как	4	1
239	не во	1	1
240	нас важно	1	1
241	на место	1	1
242	к новой	1	1
243	не была	1	1
244	в полной	1	1
245	как орудие	1	1
246	которое в	2	1
247	без всякого	1	1
248	земле что	1	1
249	чем больше	1	1
250	он был	1	1
251	на них	4	1
252	не был	2	1
253	что его	1	1
254	ее к	2	1
255	в область	1	1
256	к этому	5	1
257	значение и	1	1
258	только тогда	3	1
259	должны были	2	1
260	очевидно что	2	1
261	первый взгляд	1	1
262	в одной	1	1
263	что ее	3	1
264	что касается	1	1
265	в противном	1	1
266	перед нами	1	1
267	когда он	1	1
268	что по	4	1
269	по пути	1	1
270	себе на	1	1
271	не являются	1	1
272	этой цели	2	1
273	от этого	1	1
274	еще на	1	1
275	в которой	2	1
276	себя к	1	1
277	и усилению	1	1
278	что так	1	1
279	выражение в	1	1
280	что к	1	1
281	то и	4	1
282	только один	1	1
283	тому же	1	1
284	если он	2	1
285	но на	1	1
286	то этим	1	1
287	вообще не	1	1
288	чем сильнее	1	1
289	как оно	2	1
290	не могла	1	1
291	не следует	1	1
292	силу и	2	1
293	тем не	2	1
294	о которой	1	1
295	остальное время	1	1
296	чтобы они	2	1
297	есть та	1	1
298	мало того	1	1
299	ставит ее	1	1
300	так например	1	1
301	но все	1	1
302	это конечно	1	1
303	в одну	1	1
304	здесь мы	2	1
305	могла бы	1	1
306	сестер в	1	1
307	об этом	2	1
308	а по	1	1
309	или даже	3	1
310	в данной	1	1
311	входит в	1	1
312	те или	1	1
313	с другими	3	1
314	это не	5	1
315	уже знаем	1	1
316	обе стороны	2	1
317	никакой роли	1	1
318	чаще всего	1	1
319	остановиться на	1	1
320	из нее	2	1
321	этого слова	1	1
322	церковь и	3	1
323	не всегда	3	1
324	для чего	1	1
325	нет и	1	1
326	сильнее чем	1	1
327	такой же	1	1
328	в царстве	1	1
329	на первый	3	1
330	нас не	2	1
331	в такой	1	1
332	в советской	2	1
333	бы к	1	1
334	и народ	1	1
335	наиболее полное	1	1
336	не столько	2	1
337	на свою	1	1
338	представление о	5	1
339	сделано в	1	1
340	в которых	4	1
341	нельзя отрицать	1	1
342	как другие	1	1
343	ко всему	1	1
344	некоторых русских	1	1
345	человеку не	1	1
346	не менее	2	1
347	к такой	1	1
348	что эта	1	1
349	земле не	1	1
350	которой идет	1	1
351	дело в	1	1
352	или другие	1	1
353	ее с	1	1
354	на него	1	1
355	приносится в	1	1
356	в основе	1	1
357	борьбы между	1	1
358	народа к	1	1
359	не вызывает	1	1
360	образом в	2	1
361	говорить что	2	1
362	иметь в	1	1
363	россии еще	1	1
364	найти в	1	1
365	не всякий	1	1
366	вся его	1	1
367	именно с	1	1
368	с одним	1	1
369	к ней	2	1
370	более что	1	1
371	особое значение	1	1
372	этом отношении	1	1
373	что на	2	1
374	стороны и	1	1
375	него на	1	1
376	в духе	1	1
377	могут быть	2	1
378	чтобы сделать	1	1
379	как только	1	1
380	разницей что	1	1
381	что при	2	1
382	быть назван	1	1
383	в применении	1	1
384	и это	1	1
385	из всего	1	1
386	как мы	3	1
387	новой и	1	1
388	свою очередь	1	1
389	на нем	1	1
390	и многие	2	1
391	в ее	3	1
392	ряду с	1	1
393	это для	1	1
394	на шее	1	1
395	некоторых других	1	1
396	до самого	1	1
397	и когда	1	1
398	что у	1	1
399	так и	1	1
400	мог бы	1	1
401	отрицать что	1	1
402	из одного	1	1
403	иное как	2	1
404	в состав	2	1
405	другом месте	1	1
406	это название	1	1
407	то они	1	1
408	которых нет	1	1
409	можно сказать	1	1
410	в различных	1	1
411	с другой	2	1
412	в какой-нибудь	1	1
413	должно было	3	1
414	под именем	3	1
415	от них	1	1
416	для христианства	1	1
417	чем и	1	1
418	к стремлению	1	1
419	представления о	2	1
420	если эта	1	1
421	может иметь	1	1
422	он есть	2	1
423	дело так	1	1
424	по своей	1	1
425	один из	2	1
426	с себя	1	1
427	это делалось	4	1
428	и дело	2	1
429	народ был	1	1
430	с ними	1	1
431	на другие	1	1
432	в разные	2	1
433	они могут	1	1
434	будут действовать	1	1
435	а после	1	1
436	же он	1	1
437	человека с	1	1
438	же и	1	1
439	сомнений в	1	1
440	вопроса о	1	1
441	или не	1	1
442	же но	1	1
443	а это	1	1
444	и обратно	1	1
445	и других	3	1
446	тем сильнее	1	1
447	за ним	3	1
448	это обстоятельство	1	1
449	могло бы	1	1
450	ее не	1	1
451	к ним	1	1
452	случае не	1	1
453	связано с	2	1
454	превращается в	1	1
455	следует признать	1	1
456	само собой	1	1
457	где есть	3	1
458	природы и	2	1
459	которые как	1	1
460	из среды	1	1
461	влияние на	2	1
462	связаны с	3	1
463	по своим	1	1
464	человека а	2	1
465	без особых	1	1
466	а на	9	1
467	был в	1	1
468	а наоборот	3	1
469	а за	4	1
470	на которых	1	1
471	до конца	3	1
472	не на	1	1
473	в свете	3	1
474	в одно	1	1
475	которые будут	1	1
476	в руках	2	1
477	всем народам	1	1
478	связь с	3	1
479	свою судьбу	1	1
480	как это	4	1
481	в европе	2	1
482	многих случаях	2	1
483	этих случаях	4	1
484	по своему	1	1
485	всегда бывают	1	1
486	той и	1	1
487	смысле этого	1	1
488	применении к	1	1
489	когда же	1	1
490	на некотором	2	1
491	человек с	1	1
492	на ней	1	1
493	в состоянии	1	1
494	как средства	1	1
495	быть не	1	1
496	в церкви	2	1
497	с этой	2	1
498	сил которые	1	1
499	и таким	1	1
500	по образцу	1	1
501	с элементами	2	1
502	не является	1	1
503	на все	1	1
504	решить вопрос	2	1
505	человек или	1	1
506	тот кто	1	1
507	ее и	2	1
508	у некоторых	2	1
509	тем более	1	1
510	его жизнь	1	1
511	и все	4	1
512	к ее	1	1
513	вместе и	1	1
514	от религии	1	1
515	в свою	1	1
516	с ней	5	1
517	понимать как	1	1
518	но можно	2	1
519	всех других	1	1
520	через них	7	1
521	в остальное	1	1
522	силы на	2	1
