N	2gram	Tiupa_Narr_1	Hudozhes
1	том что	14	16
2	и в	19	14
3	так и	9	13
4	у чехова	1	13
5	при этом	9	12
6	в том	18	12
7	о том	6	12
8	а не	12	12
9	не только	32	12
10	анекдота и	2	11
11	в себе	8	11
12	прежде всего	4	11
13	в рассказе	4	11
14	в этом	17	11
15	для него	2	10
16	чеховской прозы	1	9
17	как и	7	9
18	то же	4	9
19	в качестве	21	9
20	у него	4	9
21	что он	6	9
22	же время	4	8
23	отношению к	6	8
24	с собачкой	1	8
25	между тем	3	8
26	то что	11	8
27	в его	9	8
28	по отношению	7	8
29	в то	3	8
30	ничего не	2	8
31	в этой	5	8
32	как в	7	8
33	еще не	7	7
34	тогда как	12	7
35	не в	14	7
36	к тому	7	7
37	это не	2	7
38	уже не	5	7
39	не может	10	7
40	именно в	6	7
41	а в	11	7
42	не случайно	2	7
43	личности в	2	7
44	своего рода	12	7
45	как бы	4	7
46	быть может	2	7
47	как правило	4	6
48	читателя в	2	6
49	что в	3	6
50	рассказа в	1	6
51	жизни в	3	6
52	никогда не	3	6
53	в глазах	1	6
54	было бы	4	6
55	человека в	2	6
56	жизни и	3	5
57	не менее	3	5
58	точки зрения	10	5
59	в аспекте	2	5
60	об этом	1	5
61	и он	3	5
62	человеческих отношений	1	5
63	ни в	3	5
64	к жизни	1	5
65	потому что	1	5
66	но и	23	5
67	к себе	5	5
68	и его	5	5
69	перед нами	4	5
70	во второй	2	5
71	только в	4	5
72	с его	6	5
73	но в	6	5
74	в частности	14	5
75	самом деле	2	5
76	может быть	25	5
77	героя и	4	5
78	можно было	2	5
79	и с	4	4
80	можно сказать	5	4
81	мы узнаем	1	4
82	связи с	4	4
83	не было	2	4
84	и все	2	4
85	человеческой жизни	1	4
86	с ним	1	4
87	как раз	2	4
88	картина мира	5	4
89	в конце	1	4
90	та же	2	4
91	то в	6	4
92	по своей	3	4
93	тем не	3	4
94	того что	1	4
95	и к	1	4
96	и от	1	4
97	картины мира	5	4
98	один из	3	4
99	и быть	1	4
100	в анекдоте	2	4
101	мы уже	1	4
102	к другому	2	4
103	в самом	1	4
104	всего лишь	2	4
105	она не	2	4
106	он не	3	4
107	в действительности	1	4
108	несмотря на	2	4
109	столь же	3	4
110	анекдот и	1	4
111	себя в	5	4
112	в ней	3	4
113	бытия и	1	4
114	как будто	3	4
115	из них	3	4
116	он уже	2	4
117	в русской	1	4
118	в своем	2	4
119	все эти	2	3
120	приводит к	2	3
121	все же	7	3
122	в связи	2	3
123	но одновременно	1	3
124	говорить о	2	3
125	но он	1	3
126	в литературе	2	3
127	финале рассказа	1	3
128	может и	1	3
129	и для	2	3
130	для себя	1	3
131	в равной	1	3
132	видит в	1	3
133	в нем	4	3
134	даже в	2	3
135	на этом	1	3
136	то и	1	3
137	от него	1	3
138	в ходе	1	3
139	с гуровым	1	3
140	его в	2	3
141	но не	5	3
142	ничем не	1	3
143	и на	3	3
144	в ее	3	3
145	в тексте	16	3
146	в таком	2	3
147	в следующей	1	3
148	в финале	1	3
149	и даже	3	3
150	чехова как	1	3
151	себе самому	1	3
152	с точки	2	3
153	анекдотическое слово	1	3
154	идет о	2	3
155	рассказа о	2	3
156	как мы	3	3
157	отнюдь не	5	3
158	что у	2	3
159	лишь в	1	3
160	однако и	1	3
161	несет в	1	3
162	такого рода	7	3
163	тем что	3	3
164	как к	2	3
165	и когда	2	3
166	едва ли	1	3
167	со стороны	9	3
168	по своему	1	3
169	будто бы	3	3
170	этом отношении	3	3
171	в мире	9	3
172	картину мира	2	3
173	в чеховском	1	3
174	же в	4	3
175	а также	7	3
176	русской литературе	1	3
177	речь идет	4	3
178	человеческого бытия	1	3
179	в пределах	2	3
180	о нем	4	3
181	если бы	1	3
182	чеховский рассказ	2	3
183	и по	1	3
184	произведения не	1	2
185	и не	20	2
186	в первую	1	2
187	по-видимому не	1	2
188	в значительной	2	2
189	на его	1	2
190	не знает	1	2
191	наш взгляд	1	2
192	в форме	5	2
193	матери и	4	2
194	как кажется	2	2
195	по выражению	2	2
196	в другом	1	2
197	в него	1	2
198	о котором	1	2
199	одной из	4	2
200	на том	3	2
201	концовке рассказа	1	2
202	тех кто	1	2
203	с позиции	1	2
204	для всего	1	2
205	здесь не	4	2
206	уже говорилось	1	2
207	все равно	1	2
208	а то	1	2
209	но еще	1	2
210	действующие лица	1	2
