N	2gram	Berdyaev_N_1	Vladivir
1	и в	16	31
2	не только	5	24
3	а к	1	22
4	но и	3	19
5	то что	4	18
6	и не	11	17
7	и даже	2	15
8	у него	2	15
9	в этом	7	14
10	том что	2	14
11	и с	2	14
12	что в	9	14
13	но в	2	12
14	в его	1	12
15	что он	1	12
16	с его	6	11
17	о том	4	11
18	в том	8	11
19	философии и	1	11
20	потому что	4	11
21	он не	8	10
22	никогда не	6	9
23	в конце	1	9
24	только в	1	9
25	а в	2	9
26	в то	2	8
27	так как	1	8
28	мы уже	1	7
29	как это	2	7
30	и его	1	7
31	в эти	1	7
32	уже в	1	7
33	сказать что	3	7
34	того же	1	6
35	то он	1	6
36	и к	5	6
37	это было	3	6
38	он и	1	6
39	в котором	1	6
40	у нас	1	6
41	так и	2	6
42	и что	2	6
43	можно сказать	1	6
44	может быть	7	6
45	и потому	4	6
46	не может	16	6
47	не был	1	5
48	не в	6	5
49	но он	1	5
50	не было	4	5
51	все это	5	5
52	и от	2	5
53	а также	1	5
54	с ним	1	5
55	в период	1	5
56	жизни и	8	5
57	я не	2	4
58	что его	1	4
59	совсем не	12	4
60	в этой	1	4
61	в истории	3	4
62	в своем	1	4
63	хотя и	2	4
64	говорит что	1	4
65	в этот	1	4
66	в которой	1	4
67	в себе	2	4
68	в нем	5	4
69	в россии	3	4
70	этом смысле	2	4
71	как и	7	4
72	еще в	1	4
73	в своей	3	4
74	мысли и	2	4
75	к ней	1	4
76	во всем	1	4
77	к нему	1	4
78	по своей	1	4
79	себя в	2	4
80	и у	1	4
81	и все	4	4
82	и особенно	1	4
83	такого рода	2	4
84	и через	1	3
85	но она	2	3
86	на себя	1	3
87	это время	1	3
88	и на	2	3
89	но не	2	3
90	за пределы	3	3
91	как в	3	3
92	он в	1	3
93	все эти	2	3
94	это конечно	1	3
95	всю жизнь	1	3
96	во время	1	3
97	но это	6	3
98	что этот	1	3
99	и очень	1	3
100	вот что	1	3
101	к тому	3	3
102	в жизни	5	3
103	свидетельствует о	1	3
104	это была	1	3
105	уже не	2	3
