N	4gram	Savitsky_E_1	Russkaja
1	в то же время	14	10
2	в том случае если	1	3
3	только в том случае	1	2
4	и по сие время	1	1
5	котором мы говорили в	1	1
6	и с точки зрения	1	1
7	одного и того же	1	1
8	дело в том что	1	1
9	и то и другое	1	1
10	в том числе и	1	1
11	существующих на земном шаре	1	1
12	и прежде всего в	1	1
13	то же время в	1	1
14	бы то ни было	4	1
15	во всех этих случаях	1	1
16	но как бы ни	1	1
17	одну и ту же	1	1
18	как бы то ни	1	1
19	заключается в том что	2	1
20	но в то же	2	1
21	о котором мы говорили	1	1
22	с точки зрения этих	1	1
23	несмотря на то что	1	1
24	том случае если будет	1	1
25	что во многих случаях	1	1
