N	2gram	Voloshinov_1	Komedia
1	и в	19	22
2	том что	3	12
3	в том	6	11
4	но и	8	11
5	в то	3	10
6	не только	8	10
7	из них	3	10
8	как и	12	9
9	может быть	26	9
10	таким образом	17	8
11	в одном	1	8
12	должны были	1	8
13	и не	26	8
14	и его	19	8
15	о том	2	8
16	в этой	1	7
17	и других	2	7
18	в которой	3	6
19	в конце	5	6
20	а в	4	6
21	не в	5	6
22	в отношении	4	6
23	что в	4	6
24	то же	7	6
25	к тому	2	6
26	ни в	2	6
27	такого рода	1	6
28	что он	2	6
29	одного из	3	6
30	и по	1	6
31	так и	11	5
32	потому что	1	5
33	в истории	3	5
34	между тем	3	5
35	и даже	2	5
36	в его	6	5
37	прежде всего	13	5
38	нового времени	2	5
39	другой стороны	6	5
40	при этом	8	5
41	с другой	5	5
42	все это	3	5
43	уже в	1	5
44	как в	4	5
45	во время	1	5
46	еще в	1	5
47	и вот	1	4
48	же время	3	4
49	в другом	2	4
50	конце концов	3	4
51	по которым	2	4
52	точки зрения	34	4
53	в нем	10	4
54	ли не	1	4
55	к этому	5	4
56	на него	1	4
57	но в	7	4
58	как мы	13	4
59	в качестве	2	4
60	тем что	2	4
61	в котором	3	4
62	ясно что	5	4
63	именно в	5	4
64	что и	2	4
65	мы можем	2	4
66	в результате	9	4
67	и особенно	1	4
68	так как	2	4
69	главным образом	1	3
70	все же	8	3
71	и с	2	3
72	их к	1	3
73	вопрос о	4	3
74	хотя и	1	3
75	место в	3	3
76	одной из	3	3
77	так же	7	3
78	в более	1	3
79	к этим	3	3
80	отношению к	2	3
81	и ее	3	3
82	не менее	4	3
83	и все	5	3
84	всего в	1	3
85	в сознании	2	3
86	как раз	2	3
87	мы не	6	3
88	как это	1	3
89	отношение к	1	3
90	могут быть	2	3
91	первое место	1	3
92	его в	3	3
93	в образе	1	3
94	здесь мы	4	3
95	здесь в	3	3
96	в начале	5	3
97	по отношению	3	3
98	идет о	1	3
99	в этом	16	3
100	у нас	2	3
101	можно сделать	1	3
102	тот же	4	3
103	в чем	2	3
104	ничего не	6	3
105	только в	9	3
106	новое время	1	3
107	одной стороны	1	3
108	в целом	1	3
109	же как	2	3
110	того как	1	3
111	с одной	1	3
112	этом отношении	3	3
113	и на	4	3
114	он не	3	3
115	в частности	2	3
116	все более	1	3
117	все остальные	2	3
