N	4gram	Vinokur_Vv_1	Myslijsy
1	в то же время	5	3
2	не что иное как	4	2
3	до тех пор пока	1	2
4	мы имеем дело с	1	1
5	только в том что	1	1
6	о том что можно	1	1
7	не в том только	1	1
8	по отношению к нему	1	1
9	на этот вопрос мы	1	1
10	вопрос о том что	3	1
11	о том что такое	4	1
12	можно сказать что в	1	1
13	только после того как	2	1
14	само по себе должно	1	1
15	то же самое что	2	1
16	ответить на этот вопрос	1	1
17	дело в том что	2	1
18	одного и того же	2	1
19	тем не менее не	1	1
20	одной и той же	2	1
21	в том виде в	1	1
22	заключается в том что	2	1
23	том виде в каком	1	1
24	для того чтобы определить	1	1
25	есть не что иное	2	1
