N	2gram	Medvedev_V_1	Problema
1	и в	2	32
2	и не	1	31
3	в этом	1	19
4	потому что	1	16
5	том что	2	12
6	так как	1	11
7	то же	1	10
8	в том	2	9
9	но это	1	8
10	все это	1	7
11	только в	1	7
12	в конце	2	6
13	в самом	1	6
14	самом деле	1	6
15	и то	1	6
16	а только	1	5
17	далеко не	1	5
18	тем более	1	5
19	конце концов	2	4
20	именно в	1	4
21	в их	1	4
22	и только	1	4
23	по поводу	1	4
24	чем больше	1	4
25	в теории	1	3
26	хотя бы	1	3
27	дело в	1	3
28	и его	1	3
29	да и	1	3
30	ясно что	1	3
31	в которых	1	3
32	теории литературы	1	3
33	как же	1	3
34	все время	1	2
35	для них	1	2
36	крайней мере	1	2
37	гораздо более	1	2
38	значит и	1	2
39	на одном	1	2
40	ведь это	1	2
41	по крайней	1	2
42	от других	1	2
43	по существу	1	2
44	не будем	1	2
45	и заключается	1	2
46	одно и	1	1
47	в другом	1	1
48	стоит на	1	1
49	даже не	1	1
50	что имеется	1	1
51	но разве	1	1
52	ничуть не	1	1
53	тут ни	1	1
54	сводится к	1	1
55	к этому	1	1
56	или без	1	1
57	достаточно но	1	1
58	поэтический акт	1	1
59	вещь и	1	1
60	и мало	1	1
61	под влиянием	1	1
62	том же	1	1
63	же все	1	1
64	я не	1	1
65	с большой	1	1
66	все дело	1	1
67	впрочем не	1	1
68	и почти	1	1
69	имеется в	1	1
70	ни к	1	1
