N	3gram	Potebnia_M_3	Komedia
1	до сих пор	3	9
2	в том что	16	9
3	в самом деле	1	6
4	для того чтобы	3	6
5	в свою очередь	3	6
6	в то же	5	4
7	о том что	1	4
8	то же время	5	4
9	к тому же	1	4
10	по отношению к	5	3
11	и т п	2	3
12	вместе с тем	4	3
13	любовь к ней	1	3
14	до тех пор	1	3
15	и в самом	2	3
16	с одной стороны	3	3
17	тем не менее	3	3
18	то же самое	1	3
19	так или иначе	1	2
20	что он не	3	2
21	в этом отношении	2	2
22	вместе с ним	1	2
23	то время как	1	2
24	с другой стороны	4	2
25	в то время	4	2
26	что и в	3	2
27	именно потому что	1	2
28	том что она	1	1
29	тем же словом	3	1
30	потому что он	3	1
31	что ни одно	1	1
32	более или менее	3	1
33	равно как и	1	1
34	не говоря уже	1	1
35	потому что по	1	1
36	подобно тому как	2	1
37	во-вторых потому что	1	1
38	одной стороны и	1	1
39	сих пор еще	1	1
40	однако она не	1	1
41	говоря уже о	1	1
42	к этому что	1	1
43	и если бы	1	1
44	за то что	1	1
45	на то что	1	1
46	может быть только	3	1
47	по крайней мере	5	1
48	из этих слов	2	1
49	так как все	1	1
50	не без основания	1	1
51	еще не знает	1	1
52	же что и	1	1
53	потому что с	1	1
54	что мы не	2	1
55	и не дает	1	1
56	другой стороны нет	1	1
57	его отношение к	1	1
58	в том чтобы	2	1
59	далеко не всегда	1	1
60	в первом случае	2	1
61	по самой своей	1	1
62	таким образом и	1	1
63	только один из	1	1
64	мысли что на	1	1
65	из них не	1	1
66	то по крайней	1	1
67	но вместе с	2	1
68	здесь не только	1	1
69	в других случаях	1	1
70	в себе самом	1	1
71	но столь же	1	1
72	и о том	1	1
73	так и в	2	1
74	можно сказать что	2	1
75	он был бы	1	1
76	ничего общего с	1	1
77	свою очередь получает	1	1
78	из себя и	1	1
79	тому как мы	1	1
80	по тому что	1	1
81	принадлежат к одному	1	1
82	после того как	1	1
83	самой своей природе	1	1
84	по этому поводу	1	1
85	таким образом что	1	1
86	к тому что	2	1
87	друг от друга	1	1
88	друг с другом	1	1
89	или вовсе не	1	1
90	в том же	2	1
91	и т д	3	1
92	в свое время	1	1
