N	4gram	Trubetskoy_1	Vvedenie
1	в то же время	2	6
2	но в то же	1	3
3	состоит в том что	1	2
4	в одном и том	1	1
5	во всяком случае не	3	1
6	одном и том же	1	1
7	и потому что даже	1	1
8	можно сказать что в	1	1
9	в том виде в	2	1
10	с этой точки зрения	2	1
11	котором здесь идет речь	1	1
12	мы имеем в виду	1	1
13	и для того чтобы	2	1
14	тем не менее совершенно	1	1
15	невозможно но все же	1	1
16	в том или ином	1	1
17	с течением времени в	1	1
18	о котором здесь идет	1	1
19	том виде в каком	1	1
20	в широком смысле этого	1	1
21	виде в каком он	1	1
22	еще и потому что	1	1
23	и в этом отношении	1	1
24	с тем что в	1	1
25	точно так же как	2	1
26	бы то ни было	2	1
27	одного и того же	1	1
28	но вместе с тем	2	1
