N	3gram	Tiupa_Disk_1	Dialekti
1	с точки зрения	1	9
2	в том что	13	9
3	по крайней мере	2	7
4	не может быть	3	6
5	то же время	4	6
6	в то же	3	6
7	в этом смысле	1	4
8	не в том	3	4
9	это и есть	1	4
10	подобно тому как	2	4
11	и тем более	1	4
12	не говоря уже	2	3
13	говоря уже о	2	3
14	на то что	1	3
15	тем более не	1	3
16	же время и	1	2
17	о том как	1	2
18	как и все	1	2
19	и в то	1	2
20	хотя бы и	1	2
21	сам по себе	1	2
22	ту или иную	1	2
23	в свою очередь	3	2
24	отношения к этому	1	2
25	тем не менее	1	2
26	далеко еще не	3	1
27	не претендует на	2	1
28	только потому что	1	1
29	мы имеем дело	2	1
30	прежде всего в	1	1
31	дело в том	1	1
32	а не в	2	1
33	не только о	1	1
34	в нем только	1	1
35	прежде всего это	1	1
36	и даже не	1	1
37	в себе не	1	1
38	он не может	1	1
39	и не только	2	1
40	не было и	1	1
41	не могли быть	1	1
42	из них в	1	1
43	в отличие от	4	1
44	можно сказать что	2	1
45	в основе своей	2	1
46	события а не	1	1
47	и что это	1	1
48	это понятие как	1	1
49	в том случае	1	1
50	исходя из того	1	1
51	еще не знает	1	1
52	что не есть	1	1
53	должны быть отнесены	1	1
54	а не только	2	1
55	содержит в себе	1	1
56	в данном случае	2	1
57	она еще не	1	1
58	не только в	2	1
59	и есть само	1	1
60	что с ними	1	1
61	не только его	1	1
62	и как бы	3	1
63	по природе своей	5	1
64	как и вообще	1	1
65	в связи с	1	1
66	а не как	1	1
67	хотя бы на	1	1
68	было и не	1	1
69	как таковой в	1	1
70	по себе не	2	1
71	как в мифе	1	1
72	одной из сторон	1	1
73	с той или	1	1
74	в нем нет	1	1
75	в этом случае	1	1
76	о том что	5	1
77	которое может быть	1	1
78	легко заметить что	1	1
79	и не может	1	1
80	и прежде всего	1	1
81	речь идет о	1	1
82	то чего не	1	1
83	но все же	1	1
84	с другой стороны	3	1
85	может и не	1	1
86	как учение о	1	1
87	тех или иных	1	1
88	перед нами не	1	1
89	может быть в	1	1
90	из того что	1	1
91	том случае если	1	1
92	той или иной	3	1
