N	2gram	Nazirov_Tr_1	Problema
1	то что	4	42
2	то есть	3	33
3	и в	18	32
4	и не	7	31
5	не есть	1	29
6	не просто	2	23
7	в этом	9	19
8	не менее	1	19
9	тем не	1	18
10	не только	8	17
11	потому что	2	16
12	в себе	4	15
13	по себе	1	15
14	в виде	2	15
15	а не	1	15
16	но в	6	14
17	указывает на	1	14
18	может быть	7	14
19	как бы	7	14
20	в нем	4	13
21	том что	4	12
22	что в	4	12
23	так и	5	12
24	и т	1	11
25	о том	2	11
26	и даже	4	11
27	то же	5	10
28	отнюдь не	3	10
29	в этой	4	10
30	об этом	4	10
31	ничего не	2	10
32	прежде всего	4	10
33	еще не	4	9
34	но не	1	9
35	раз и	2	9
36	того чтобы	1	9
37	и это	2	9
38	и что	4	9
39	но и	4	9
40	в данном	2	9
41	в том	2	9
42	так же	4	9
43	в таком	2	9
44	и о	1	8
45	и ее	2	8
46	и на	7	8
47	все эти	3	8
48	он и	2	8
49	в своей	1	8
50	на нечто	1	8
51	данном случае	2	8
52	как нечто	1	8
53	не может	5	8
54	но это	4	8
55	сам по	1	7
56	во всех	1	7
57	содержит в	1	7
58	ни в	2	7
59	в них	1	7
60	как мы	1	7
61	никогда не	2	7
62	того что	1	7
63	что он	6	7
64	только в	1	7
65	тем что	2	7
66	все это	4	7
67	и все	4	7
68	во всяком	1	7
69	и то	2	6
70	самом деле	1	6
71	и есть	1	6
72	но как	1	6
73	за пределы	1	6
74	и как	3	6
75	в самом	2	6
76	и если	1	6
77	при этом	3	6
78	его в	2	6
79	это не	5	6
80	в то	5	6
81	таким образом	1	6
82	в виду	1	6
83	и здесь	2	6
84	в его	3	6
85	так что	2	6
86	то и	2	6
87	в конце	3	6
88	о чем	3	6
89	как это	3	6
90	совершенно не	1	6
91	в своем	3	5
92	перед нами	2	5
93	то в	1	5
94	что она	2	5
95	но уже	1	5
96	с тем	2	5
97	в котором	1	5
98	связи с	1	5
99	для нас	1	5
100	есть в	1	5
101	не знал	1	5
102	не является	1	5
103	литературы и	1	4
104	в истории	1	4
105	как в	3	4
106	как он	1	4
107	что тут	1	4
108	он есть	1	4
109	не в	2	4
110	тому что	1	4
111	тем самым	3	4
112	и притом	1	4
113	точно так	2	4
114	в дальнейшем	5	4
115	а также	1	4
116	в литературе	1	4
117	один из	3	4
118	даже если	2	4
119	только на	1	4
120	именно в	1	4
121	не было	1	4
122	в связи	1	4
123	конце концов	1	4
124	по поводу	2	4
125	он всегда	4	3
126	в чем	1	3
127	в ее	2	3
128	что это	5	3
129	но он	1	3
130	он не	2	3
131	и еще	1	3
132	и чисто	1	3
133	но все	2	3
134	что все	2	3
135	как и	5	3
136	несмотря на	5	3
137	на этот	1	3
138	того как	1	3
139	что вы	3	3
140	только не	1	3
141	в самой	1	3
142	или как	1	3
143	и его	6	3
144	как будто	3	3
145	к тому	2	3
146	что оно	1	3
147	можно было	1	3
148	о нем	1	3
149	к нему	3	3
150	именно на	1	3
151	уже не	2	3
152	уже в	3	3
153	свидетельствует о	1	3
154	говорит о	2	3
155	всяком случае	1	3
156	как же	2	3
157	что не	1	3
158	самой действительности	1	3
159	сколько угодно	1	3
160	от всего	2	3
161	хотя бы	1	3
162	с ним	3	3
163	есть и	1	3
164	этого романа	2	2
165	я и	1	2
166	например в	1	2
167	и потому	1	2
168	в первом	2	2
169	и до	2	2
170	из подполья	1	2
171	на себя	1	2
172	было до	1	2
173	он сам	7	2
174	с его	2	2
175	чем же	1	2
176	этой идеи	1	2
177	в которой	1	2
178	он в	1	2
179	вообще не	1	2
180	не значит	1	2
181	он вдруг	5	2
182	а это	1	2
183	с такими	1	2
184	я вам	1	2
185	конечно в	1	2
186	и с	7	2
187	и чтобы	1	2
188	это было	1	2
189	для чего	1	2
190	должно быть	3	2
191	но если	1	2
192	и при	1	2
193	не как	1	2
194	что этот	2	2
195	она не	1	2
196	не имеет	2	2
197	но только	1	2
198	это мы	1	2
199	в области	1	2
200	но все-таки	1	2
201	xx века	1	2
202	не могут	2	2
203	могут быть	1	2
204	в окончательном	1	2
205	говорили что	1	2
206	с собой	1	2
207	и всегда	1	2
208	ничего подобного	1	2
209	часто и	1	2
210	хоть на	1	2
211	и должно	1	2
212	и который	1	2
213	между тем	1	2
214	и эту	1	2
215	все время	1	2
216	мы видим	1	2
217	мировой революции	1	2
218	одно из	1	2
219	для него	3	2
220	не для	1	2
221	с этими	1	2
222	как его	1	2
223	естественно что	1	2
224	его как	1	2
225	вместе с	1	2
226	и особенно	1	2
227	в это	2	2
228	этом случае	1	2
229	о его	2	2
230	цветов и	1	2
231	известной степени	1	2
232	тем и	1	2
233	в результате	1	2
234	тот кто	1	2
235	есть такая	1	2
236	но еще	1	2
237	или вообще	1	2
238	только что	1	2
239	гораздо больше	1	2
240	а между	1	1
241	скажет что	1	1
242	ту же	1	1
243	не думает	1	1
244	одним из	1	1
245	чтобы не	1	1
246	от самой	1	1
247	идея в	1	1
248	роль играет	1	1
249	ивана карамазова	2	1
250	из самых	2	1
251	проникает в	1	1
252	что эти	2	1
253	сам автор	1	1
254	в году	9	1
255	той же	1	1
256	смотреть на	1	1
257	не встречает	1	1
258	отказывается от	2	1
259	я не	4	1
260	самой природе	1	1
261	и высокое	1	1
262	подобного нет	1	1
263	быть в	1	1
264	за свое	1	1
265	в общем	1	1
266	тут же	2	1
267	и я	2	1
268	место где	1	1
269	что ее	1	1
270	все же	5	1
271	голядкина в	1	1
272	говорит что	2	1
273	к числу	1	1
274	образа петра	1	1
275	идеи но	1	1
276	чего же	1	1
277	сливается с	1	1
278	именно эта	1	1
279	себе гораздо	1	1
280	что хочет	1	1
281	бы и	2	1
282	бы не	1	1
283	если он	1	1
284	в братьях	1	1
285	позы и	1	1
286	в какой-то	1	1
287	его чересчур	1	1
288	должна быть	1	1
289	пушкина и	1	1
290	не к	1	1
291	теперь еще	1	1
292	на этом	1	1
293	факт что	1	1
294	говорил что	1	1
295	а по	1	1
296	лишь в	1	1
297	заключается в	1	1
298	известно что	1	1
299	мог бы	3	1
300	на свои	1	1
301	нет в	2	1
302	и внутренним	1	1
303	тот самый	1	1
304	со своими	1	1
305	человека мы	1	1
306	и ко	1	1
307	связаны между	1	1
308	не так	2	1
309	в такой	1	1
310	наших дней	1	1
311	я опять	1	1
312	представление о	1	1
313	в известной	2	1
314	миф о	1	1
315	вопрос о	2	1
316	знал и	1	1
317	сам достоевский	3	1
318	т п	1	1
319	что сам	1	1
320	вместе со	2	1
321	что эта	1	1
322	петр степанович	26	1
323	самого этого	1	1
324	вплоть до	1	1
325	не раз	1	1
326	что ему	1	1
327	на котором	1	1
328	на путях	1	1
329	самое большее	1	1
330	а поскольку	1	1
331	одна из	2	1
332	к ней	1	1
333	х годов	1	1
334	мы бы	1	1
335	что на	1	1
336	это могло	1	1
337	иван карамазов	1	1
338	в момент	1	1
339	какой она	1	1
340	относится то	1	1
341	что наш	1	1
342	а что	2	1
343	его с	1	1
344	утверждать что	1	1
345	время он	1	1
346	где он	1	1
347	самом общем	1	1
348	вещами и	1	1
349	у себя	1	1
350	с ее	3	1
351	и образ	1	1
352	на другой	1	1
353	он вообще	2	1
354	мысль о	1	1
355	человека с	1	1
356	да неужто	1	1
357	и сам	3	1
358	к окончательному	1	1
359	в условиях	1	1
360	на нее	1	1
361	отождествляется с	1	1
362	начала и	1	1
363	здесь дана	1	1
364	известной мере	1	1
365	она тоже	1	1
366	он был	2	1
367	собою но	1	1
368	за этот	1	1
369	это происходит	1	1
370	в другом	1	1
371	любви ко	1	1
372	образ имеет	1	1
373	кто он	1	1
374	доходит до	1	1
375	это в	1	1
376	опять к	1	1
377	которое уже	1	1
