N	4gram	Bakhtin_Pr_3	Problema
1	и т д и	1	4
2	может быть даже и	1	2
3	одного и того же	1	2
4	в этом смысле нет	1	1
5	но в конце концов	1	1
6	на самом же деле	1	1
7	для того чтобы она	1	1
8	и это вовсе не	1	1
9	одно и то же	1	1
10	имел в виду и	1	1
11	а вовсе не для	1	1
12	но в то же	3	1
13	а может быть даже	2	1
14	том и в другом	1	1
15	не чем иным как	1	1
16	и в том и	1	1
17	и к тому же	2	1
18	не говоря ни слова	1	1
19	в том и в	1	1
20	и в самом деле	1	1
21	и в то же	5	1
22	в записках из подполья	2	1
23	и так до бесконечности	1	1
