N	3gram	Losev_Prob_1	VrazhdaK
1	в то же	4	4
2	в связи с	4	3
3	имел в виду	2	3
4	с точки зрения	3	2
5	и что в	2	2
6	как раз в	1	2
7	но в то	1	2
8	не может быть	2	2
9	и о том	3	2
10	в том что	5	2
11	то же только	1	1
12	а между тем	1	1
13	есть еще один	1	1
14	а следовательно и	1	1
15	это то что	1	1
16	мыслей и чувств	1	1
17	в этом смысле	6	1
18	бы его в	1	1
19	в том же	1	1
20	на первый план	1	1
21	до сих пор	3	1
22	не было бы	1	1
23	в этом отношении	1	1
24	и это было	1	1
25	всего то что	1	1
26	что в нем	3	1
27	в литературе и	4	1
28	точно так же	4	1
29	по крайней мере	2	1
30	чтобы он стал	1	1
31	и то что	2	1
32	записках из подполья	1	1
33	может быть и	3	1
34	и в то	1	1
35	одно и то	1	1
36	в это время	1	1
37	о том как	2	1
38	в этой сцене	1	1
39	так же как	2	1
40	в полтаве пушкина	1	1
41	тем что он	1	1
42	и что он	1	1
43	на первый взгляд	1	1
44	в конце концов	4	1
45	и то же	1	1
46	в известном смысле	1	1
47	и в этом	2	1
48	факт остается фактом	1	1
49	чуть было не	1	1
50	или по крайней	1	1
51	во всяком случае	3	1
52	с другой стороны	3	1
53	связи с этим	1	1
54	тем не менее	18	1
55	преступление и наказание	1	1
56	что в этой	1	1
57	заключается в том	1	1
58	в то время	1	1
59	о том что	5	1
60	и в самом	2	1
61	не только не	3	1
62	на этот раз	2	1
63	на то что	8	1
64	это не просто	1	1
65	не только от	1	1
