N	3gram	Tiupa_Narr_2	VrazhdaK
1	и все же	2	5
2	то же время	3	4
3	в то же	3	4
4	в связи с	1	3
5	с точки зрения	2	2
6	и что в	1	2
7	как раз в	1	2
8	не может быть	2	2
9	в том что	8	2
10	а между тем	1	1
11	самим собой в	1	1
12	в е годы	1	1
13	то что я	1	1
14	в этом смысле	1	1
15	в ответ на	2	1
16	в соответствии с	3	1
17	что это за	1	1
18	уже говорилось выше	2	1
19	это за человек	1	1
20	тем более что	1	1
21	а тем более	1	1
22	до сих пор	1	1
23	и не может	2	1
24	к центральному эпизоду	1	1
25	а также в	1	1
26	в этом отношении	3	1
27	точно так же	2	1
28	и в то	1	1
29	едва ли не	1	1
30	следует рассматривать в	1	1
31	так же как	2	1
32	но в целом	1	1
33	на первый взгляд	1	1
34	но при этом	3	1
35	в известном смысле	3	1
36	котором уже говорилось	1	1
37	а с другой	1	1
38	во всяком случае	1	1
39	что у него	1	1
40	как бы в	2	1
41	в мире а	1	1
42	тем не менее	4	1
43	о котором уже	1	1
44	в то время	1	1
45	что в ней	1	1
46	о том что	4	1
47	ни тот ни	1	1
48	не только не	2	1
49	во второй раз	1	1
50	и о которой	1	1
51	в конце жизни	1	1
52	тот ни другой	1	1
53	и все что	1	1
54	бы в ответ	1	1
