N	3gram	Vygotskiy__3	Myslijsy
1	более или менее	1	8
2	во всяком случае	2	7
3	в том что	11	7
4	в свою очередь	2	6
5	а между тем	1	4
6	подобно тому как	1	4
7	до сих пор	5	4
8	не было бы	1	4
9	то и другое	3	4
10	в то время	2	4
11	заключает в себе	1	4
12	в том смысле	2	4
13	на то что	12	3
14	то время как	2	3
15	с одной стороны	5	3
16	смысле этого слова	2	3
17	может быть не	2	3
18	мы не можем	2	3
19	и т п	5	3
20	и т д	4	3
21	то все же	1	2
22	и может быть	1	2
23	на самом деле	2	2
24	нам кажется что	1	2
25	и во всех	2	2
26	то что в	2	2
27	том смысле как	1	2
28	одно и то	2	2
29	не в том	2	2
30	может быть названо	1	2
31	с другой стороны	5	2
32	для того чтобы	8	2
33	с таким образом	1	2
34	не может быть	1	2
35	с самого начала	6	2
36	и то же	2	2
37	что если бы	1	2
38	один и тот	1	1
39	что по мере	1	1
40	не можем не	2	1
41	указание на то	1	1
42	состоит в том	1	1
43	потому что в	1	1
44	что то же	1	1
45	и той же	1	1
46	имеет место в	2	1
47	это было бы	1	1
48	в таком виде	2	1
49	том что оно	1	1
50	о том как	2	1
51	в обратном отношении	1	1
52	только в том	2	1
53	и то и	3	1
54	том случае если	1	1
55	в отличие от	1	1
56	с тем что	1	1
57	души и что	1	1
58	обратить внимание на	1	1
59	та и другая	1	1
60	на каждом шагу	1	1
61	как в басне	1	1
62	с этой точки	1	1
63	вместе с тем	2	1
64	только для того	1	1
65	не то что	2	1
66	в том случае	1	1
67	чем перейти к	1	1
68	в одном и	1	1
69	потому что тогда	1	1
70	не имеем в	1	1
71	указывает нам на	1	1
72	которых мы говорим	1	1
73	в обширном смысле	1	1
74	в применении к	1	1
75	по сравнению с	1	1
76	между тем в	2	1
77	то что он	2	1
78	к которому мы	1	1
79	во всех отношениях	1	1
80	очевидно что и	1	1
81	мере в какой	1	1
82	и тот же	1	1
83	о которых мы	5	1
84	в зависимость от	1	1
85	что с одной	1	1
86	она могла бы	1	1
87	а в том	1	1
88	имеет для нас	1	1
89	в наше время	2	1
90	и как бы	2	1
91	что не только	1	1
92	не потому что	1	1
93	том смысле что	1	1
94	в том чтобы	1	1
95	о том что	3	1
96	мы можем сказать	1	1
97	что и то	1	1
98	что у него	2	1
99	и в самом	10	1
100	потому что только	1	1
101	в том виде	1	1
102	но все же	1	1
103	мы знаем что	1	1
104	вместе с собою	1	1
105	одной и той	1	1
106	и в этом	3	1
107	того как мы	1	1
108	со всеми остальными	1	1
109	в басне за	1	1
110	мы видели что	2	1
111	до такой степени	3	1
