N	4gram	Savitsky_E_1	Myslijsy
1	в то же время	14	3
2	один и тот же	1	2
3	и во многих других	1	1
4	с другой стороны в	1	1
5	одна и та же	1	1
6	чтобы ответить на этот	1	1
7	и та и другая	1	1
8	на этот вопрос мы	1	1
9	можно сказать что в	2	1
10	в том случае если	1	1
11	так как мы не	1	1
12	в том смысле что	1	1
13	рано или поздно не	1	1
14	не заключает в себе	1	1
15	ответить на этот вопрос	1	1
16	дело в том что	1	1
17	одного и того же	1	1
18	и то и другое	1	1
19	в том числе и	1	1
20	но и эта последняя	1	1
21	одну и ту же	1	1
22	заключается в том что	2	1
23	только в том смысле	1	1
