N	2gram	Bakhtin_Pr_1	Narrotol
1	не только	9	31
2	но и	9	27
3	и не	42	23
4	при этом	5	19
5	может быть	26	15
6	в частности	2	14
7	как и	7	13
8	а не	5	13
9	а в	6	13
10	в этом	15	12
11	только в	13	12
12	и в	38	11
13	в данном	4	11
14	и его	16	10
15	то есть	46	9
16	то что	8	9
17	то же	5	8
18	не может	27	8
19	данном случае	4	8
20	в том	8	8
21	уже не	1	8
22	но в	4	7
23	том что	3	7
24	если бы	3	7
25	на протяжении	1	7
26	и он	2	6
27	в самом	7	6
28	не в	7	6
29	в этой	1	6
30	в себе	4	6
31	к тому	1	6
32	во втором	1	6
33	в его	43	6
34	как бы	22	6
35	или в	2	6
36	а также	1	6
37	жизни и	1	6
38	и на	3	5
39	той или	2	5
40	так и	5	5
41	точки зрения	8	5
42	в своей	7	5
43	тем самым	4	5
44	событие в	2	5
45	можно сказать	2	5
46	точка зрения	3	5
47	столь же	2	5
48	то в	1	4
49	в первом	1	4
50	на себя	1	4
51	еще не	7	4
52	с его	2	4
53	но не	12	4
54	как в	4	4
55	все же	6	4
56	хотя и	3	4
57	в нем	15	4
58	в принципе	1	4
59	в мире	3	4
60	из них	1	4
61	по себе	1	4
62	и тем	3	4
63	в одном	1	4
64	вплоть до	1	4
65	в то	4	4
66	одна из	2	4
67	того чтобы	2	4
68	никогда не	5	4
69	в сознании	1	4
70	к себе	2	4
71	в ней	4	4
72	что у	1	4
73	о том	4	4
74	же время	3	4
75	к нему	10	4
76	того что	2	4
77	для него	1	4
78	событие и	3	4
79	слова в	7	4
80	или иной	2	4
81	прежде всего	13	4
82	о чем	1	4
83	имеет место	5	4
84	также и	3	3
85	самом деле	6	3
86	идет о	1	3
87	едва ли	3	3
88	мы имеем	2	3
89	но как	2	3
90	в противовес	1	3
91	в своем	5	3
92	и как	8	3
93	к чему	2	3
94	в целом	3	3
95	в нашем	4	3
96	но именно	1	3
97	он не	3	3
98	для того	2	3
99	подобно тому	1	3
100	и с	17	3
101	в глазах	1	3
102	это не	5	3
103	в слове	3	3
104	не всегда	6	3
105	в современной	2	3
106	и конец	2	3
107	и ее	2	3
108	тем не	3	3
109	однако в	1	3
110	не менее	4	3
111	но они	4	3
112	этом отношении	2	3
113	у нас	2	3
114	и о	5	3
115	о ней	1	3
116	лишь в	2	3
117	в конечном	4	3
118	между тем	7	3
119	что он	2	3
120	по отношению	21	3
121	может служить	1	3
122	именно в	1	3
123	начало и	3	3
124	не было	2	3
125	как это	2	3
126	тому как	1	3
127	быть не	1	3
128	в начале	2	3
129	но для	1	3
130	это уже	1	3
131	не является	3	3
132	в следующей	1	3
133	не существует	1	3
134	и все	3	3
135	жизни а	1	3
136	первом случае	1	3
137	отношению к	19	3
138	что в	7	3
139	а о	1	2
140	в сфере	1	2
141	именно эта	1	2
142	иным как	1	2
143	всех его	4	2
144	язык как	1	2
145	и для	11	2
146	высказывания в	1	2
147	не вполне	2	2
148	жизни как	1	2
149	меньшей степени	1	2
150	и самого	1	2
151	в чем	2	2
152	события в	1	2
153	для обозначения	1	2
154	если в	1	2
155	отличие от	5	2
156	в едином	2	2
157	отнюдь не	19	2
158	в той	1	2
159	в событие	2	2
160	лица и	2	2
161	на то	2	2
162	не могла	1	2
163	и вот	1	2
164	человека в	2	2
165	назвать и	1	2
166	входит в	8	2
167	это было	1	2
168	я в	1	2
169	и иных	1	2
