N	3gram	Ircho_Kome_2	Istorich
1	до сих пор	2	5
2	точно так же	1	5
3	с другой стороны	1	4
4	не может быть	1	4
5	но все же	1	4
6	по сравнению с	1	3
7	как мы видели	1	3
8	о том что	4	2
9	так как он	1	2
10	не только в	1	2
11	на задний план	1	2
12	то что он	2	2
13	в тех случаях	1	2
14	так и в	1	2
15	тех случаях когда	1	2
16	после того как	2	2
17	в связи с	3	2
18	с собой в	1	2
19	тем не менее	1	2
20	по содержанию и	1	1
21	между небом и	1	1
22	особого внимания заслуживает	1	1
23	возможно что в	1	1
24	в том числе	3	1
25	имеется в виду	1	1
26	отцом и сыном	1	1
27	небом и землей	1	1
28	можно полагать что	1	1
29	что он не	1	1
30	но и в	1	1
31	независимо от того	2	1
32	одна из них	1	1
33	за то что	4	1
34	и не всегда	1	1
35	может привести к	1	1
36	лет тому назад	1	1
37	в этой связи	1	1
38	то время как	2	1
39	а по его	1	1
40	таким образом и	1	1
41	до нас в	1	1
42	и с этой	2	1
43	при жизни так	1	1
44	таким же образом	1	1
45	только после того	1	1
46	что у него	2	1
47	три года до	1	1
48	вместе с тем	4	1
49	в плен в	1	1
50	берет на себя	2	1
51	о чем говорилось	1	1
52	как будто бы	1	1
53	но уже в	1	1
54	в то время	3	1
55	тем более что	1	1
56	даже в тех	1	1
57	в большинстве случаев	1	1
58	иначе чем это	1	1
59	на пути к	2	1
60	к тому что	2	1
61	о том чтобы	1	1
62	легко представить себе	1	1
63	что и в	2	1
