N	3gram	Vinokur_Vv_1	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	2	3
4	имел в виду	1	3
5	с точки зрения	2	2
6	как раз в	1	2
7	но в то	3	2
8	не может быть	8	2
9	в том что	12	2
10	а между тем	1	1
11	в своих собственных	1	1
12	в этом смысле	10	1
13	в соответствии с	2	1
14	но в известном	1	1
15	в том же	1	1
16	до сих пор	5	1
17	в этом отношении	3	1
18	всего то что	2	1
19	что в нем	2	1
20	именно в связи	1	1
21	все же в	1	1
22	точно так же	2	1
23	уже в начале	1	1
24	как он сам	1	1
25	но и как	1	1
26	по крайней мере	4	1
27	и то что	2	1
28	может быть и	2	1
29	одно и то	1	1
30	так же как	1	1
31	в конце концов	2	1
32	и то же	1	1
33	быть и речи	1	1
34	в известном смысле	3	1
35	и в этом	3	1
36	не только как	3	1
37	во всяком случае	3	1
38	с другой стороны	5	1
39	связи с этим	1	1
40	тем не менее	8	1
41	у него в	1	1
42	о котором уже	1	1
43	заключается в том	3	1
44	его отношение к	1	1
45	в свою очередь	1	1
46	что в ней	1	1
47	о том что	12	1
48	и никогда не	1	1
49	и в самом	3	1
50	но в этом	1	1
51	это сказалось в	2	1
52	это не просто	1	1
53	имеется в виду	1	1
54	и о которой	1	1
55	важнее всего то	1	1
