N	3gram	Savitsky_E_1	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	в том что	6	6
4	в той или	3	5
5	той или иной	4	5
6	большей или меньшей	1	4
7	в отличие от	1	4
8	или меньшей степени	1	4
9	в большей или	1	4
10	то есть в	1	4
11	с точки зрения	16	3
12	в этом отношении	3	3
13	в применении к	3	3
14	выходит за пределы	1	3
15	и прежде всего	3	3
16	дело в том	1	2
17	но и в	1	2
18	на этот вопрос	1	2
19	мира то есть	1	2
20	в значительной мере	1	2
21	и в частности	2	2
22	с одной стороны	8	2
23	во всех этих	1	2
24	этот вопрос мы	1	2
25	вовсе не в	1	2
26	в значительной степени	1	2
27	так и в	2	2
28	как бы ни	3	2
29	во второй половине	2	2
30	в большинстве случаев	2	2
31	можно сказать что	3	1
32	культуры вовсе не	1	1
33	или хотя бы	2	1
34	еще далеко не	1	1
35	только в пределах	1	1
36	культуры и в	1	1
37	чуть ли не	1	1
38	и не только	1	1
39	в эту эпоху	1	1
40	мира и человеческой	1	1
41	и до настоящего	1	1
42	к тому чтобы	2	1
43	несмотря на его	1	1
44	и человеческой жизни	1	1
45	но как бы	1	1
46	или иной степени	1	1
47	для нас в	1	1
48	но от этого	1	1
49	то или иное	1	1
50	сказать что в	2	1
51	из всех великих	1	1
52	тех или иных	1	1
53	но в то	2	1
54	вовлекает в свой	1	1
55	по нашему мнению	2	1
56	в известном смысле	3	1
57	между тем в	3	1
58	и связанной с	1	1
59	не могут быть	1	1
60	так и с	1	1
61	в последнее время	1	1
62	в связи с	1	1
63	во всяком случае	3	1
64	до настоящего времени	1	1
65	большей степени чем	1	1
66	с другой стороны	2	1
67	но не только	2	1
68	не может быть	2	1
69	в своем развитии	1	1
70	как и всякая	1	1
71	то же время	14	1
72	в одном из	2	1
73	как нам кажется	5	1
74	именно потому что	1	1
75	для того чтобы	5	1
76	друг от друга	2	1
77	на то или	1	1
78	главным образом к	1	1
79	в то же	15	1
80	в отношении к	12	1
81	друг с другом	3	1
82	точки зрения этих	1	1
83	не только в	4	1
84	во многих отношениях	1	1
85	к тому же	1	1
