N	3gram	Bakhtin_Pr_1	VeschiIm
1	и т д	1	20
2	не может быть	11	18
3	бы то ни	3	9
4	то ни было	2	9
5	не что иное	1	8
6	что иное как	1	8
7	в том что	3	6
8	не есть ни	1	6
9	на то что	1	6
10	может быть только	3	6
11	есть не что	1	5
12	тем не менее	3	5
13	в свою очередь	1	5
14	то что является	1	4
15	не только в	2	4
16	в то же	3	4
17	то же время	3	4
18	с точки зрения	6	4
19	подобно тому как	1	3
20	и в то	2	3
21	не есть вещь	1	3
22	вбирает в себя	1	3
23	можно было бы	3	3
24	в самом деле	3	3
25	то что не	1	2
26	о том как	1	2
27	и в частности	2	2
28	вещи но что	1	2
29	можно сказать что	2	2
30	с самим собою	1	2
31	к тому что	1	2
32	в первом случае	1	2
33	не есть ли	1	2
34	должно быть понято	1	2
35	ни от чего	1	2
36	принципиально не может	1	2
37	в основе своей	3	2
38	она не может	1	2
39	в нем нет	1	2
40	дело в том	1	2
41	то есть и	1	2
42	в данном случае	4	2
43	а в том	1	1
44	это и есть	1	1
45	том смысле что	1	1
46	но совершенно не	2	1
47	в этом смысле	3	1
48	резко отличается от	1	1
49	вопрос о том	1	1
50	не может и	2	1
51	с одной стороны	3	1
52	не входя в	1	1
53	в одном и	1	1
54	и во всех	2	1
55	и не в	1	1
56	бы вбирает в	1	1
57	смысле этого слова	1	1
58	или хотя бы	1	1
59	в истории философии	1	1
60	оно может быть	1	1
61	но в то	1	1
62	о которых идет	1	1
63	на этом основании	1	1
64	она может и	1	1
65	что бы то	1	1
66	с другой стороны	4	1
67	может быть и	1	1
68	чего бы то	1	1
69	до сих пор	1	1
70	и ничего не	1	1
71	на первый план	2	1
72	есть ли это	1	1
73	и в этом	1	1
74	первом случае мы	1	1
75	хотя бы и	1	1
76	мы еще не	1	1
77	и прежде всего	5	1
78	точка зрения на	1	1
79	решения вопроса о	1	1
80	как бы вбирает	1	1
81	и как бы	1	1
82	является как таковая	1	1
83	в то время	1	1
84	вообще в более	1	1
85	и может быть	1	1
86	и в нем	3	1
87	данном случае со	1	1
88	в том смысле	1	1
89	на том основании	1	1
90	какие бы то	1	1
91	и тем не	1	1
92	она не могла	1	1
93	сами по себе	1	1
94	в применении к	3	1
95	одной стороны и	1	1
96	не больше как	1	1
97	ни в какой	1	1
98	не могла бы	1	1
99	как вещи но	1	1
100	и не может	2	1
101	далеко не все	1	1
102	которых идет речь	1	1
103	имеет дело с	4	1
104	то время как	1	1
105	для того чтобы	2	1
106	имеют в виду	1	1
107	не в том	1	1
108	таким образом и	1	1
109	прежде всего оно	1	1
110	хотя бы в	1	1
111	имеется в виду	1	1
