N	3gram	Savitsky_E_1	Dialekti
1	и т д	1	19
2	с точки зрения	16	12
3	это значит что	1	9
4	в том что	6	7
5	само по себе	4	5
6	по себе не	2	5
7	в то же	15	4
8	т е прежде	1	4
9	е прежде всего	1	4
10	то же время	14	4
11	с другой стороны	2	4
12	можно было бы	3	4
13	на то что	2	4
14	в этом смысле	3	3
15	и в этом	4	3
16	можно сказать что	3	3
17	может быть и	1	3
18	более или менее	1	3
19	та или иная	1	3
20	той или иной	4	3
21	не может быть	2	3
22	мы можем сказать	2	2
23	с одной стороны	8	2
24	можем сказать что	1	2
25	и в частности	2	2
26	по сравнению с	2	2
27	или хотя бы	2	2
28	значит ли это	1	2
29	и в то	8	2
30	ли это что	1	2
31	к тому что	1	2
32	друг к другу	1	2
33	как это мы	1	2
34	и та же	1	2
35	и то и	1	2
36	во всяком случае	3	2
37	в этом отношении	3	2
38	одной стороны и	6	2
39	одна и та	1	2
40	то или иное	1	2
41	несмотря на то	1	2
42	в качестве примера	1	2
43	то и другое	1	2
44	же время совершенно	1	1
45	уже и сейчас	1	1
46	во власти этого	1	1
47	по большей части	1	1
48	связи с этим	1	1
49	вопрос можно ли	1	1
50	друг от друга	2	1
51	друг с другом	3	1
52	было бы совершенно	1	1
53	и не в	1	1
54	из того что	2	1
55	но в то	2	1
56	т е не	1	1
57	при известных условиях	1	1
58	а именно в	1	1
59	тех или иных	1	1
60	сказать что в	2	1
61	быть уверенным что	1	1
62	но от этого	1	1
63	она никогда не	1	1
64	в то время	1	1
65	в последнем случае	1	1
66	к тому же	1	1
67	есть то что	1	1
68	по самой природе	1	1
69	и в отношении	1	1
70	он сам в	1	1
71	только в том	2	1
72	имеет место в	2	1
73	если бы они	1	1
74	между тем в	3	1
75	нужно понимать буквально	1	1
76	в связи с	1	1
77	в полной мере	1	1
78	можно быть уверенным	1	1
79	но также и	1	1
80	тех и других	1	1
81	в той или	3	1
82	это мы видим	1	1
83	другой стороны в	1	1
84	дело в том	1	1
85	то время как	1	1
86	для того чтобы	5	1
87	в каком смысле	1	1
88	что же касается	1	1
89	во всех этих	1	1
90	но так как	1	1
91	не является ли	3	1
92	в отношении к	12	1
93	хотя бы в	2	1
94	хотя и не	1	1
95	можно представить себе	1	1
