N	3gram	Medvedev_F_2	RusskieA
1	в том что	2	18
2	в этом случае	1	6
3	в данном случае	1	6
4	для того чтобы	3	6
5	т е в	1	5
6	и т д	5	5
7	вместе с тем	4	4
8	и в других	1	4
9	в отличие от	2	3
10	не может быть	10	3
11	тем не менее	1	2
12	и в некоторых	1	2
13	что иное как	1	2
14	и многие другие	1	2
15	не что иное	1	2
16	в том чтобы	1	2
17	мы не можем	1	2
18	в таком виде	1	2
19	по этому поводу	1	2
20	с одной стороны	1	2
21	как например в	1	1
22	что каждый из	1	1
23	не могла быть	1	1
24	прежде всего как	1	1
25	иметь в виду	1	1
26	в виду что	1	1
27	более или менее	1	1
28	в настоящее время	1	1
29	т е что	1	1
30	и то и	2	1
31	но и в	3	1
32	как мы увидим	1	1
33	в этом отношении	7	1
34	таким образом в	1	1
35	по аналогии с	1	1
36	из того что	1	1
37	такой же степени	1	1
38	может быть и	3	1
39	в применении к	2	1
40	что в первый	1	1
41	во всяком случае	5	1
42	на русской почве	1	1
43	смысле этого слова	1	1
44	не входит в	2	1
45	и в этом	5	1
46	главным образом на	1	1
47	во всех этих	1	1
48	в такой же	1	1
49	с другой стороны	3	1
50	т е как	2	1
51	то увидим что	1	1
52	он был бы	1	1
53	в свою очередь	1	1
54	может быть признана	1	1
55	из этих элементов	1	1
56	с тем и	2	1
57	или во всяком	1	1
58	совершенно очевидно что	1	1
59	каждый из этих	1	1
60	поэтому мы не	1	1
61	как и в	1	1
62	это и есть	1	1
63	как мы видели	4	1
