N	2gram	Medvedev_F_3	Analitik
1	литературного произведения	4	41
2	в качестве	1	31
3	может быть	25	29
4	в том	7	27
5	не может	24	22
6	и не	30	21
7	в частности	1	19
8	и в	27	18
9	но и	10	17
10	а не	17	17
11	отнюдь не	8	15
12	не только	9	15
13	не в	12	14
14	художественной реальности	1	14
15	в этом	18	13
16	как и	14	13
17	в его	7	13
18	при этом	8	12
19	том что	4	12
20	литературное произведение	3	12
21	в себе	3	11
22	произведения в	6	11
23	но не	5	10
24	то же	15	9
25	в то	7	9
26	а в	1	9
27	есть не	1	8
28	в принципе	1	8
29	в мире	1	8
30	но в	6	8
31	художественная реальность	2	8
32	нуждается в	3	8
33	в той	3	8
34	не есть	4	8
35	произведения как	6	7
36	тем самым	1	7
37	к тому	4	7
38	художественного восприятия	2	7
39	этого слова	2	7
40	я и	1	6
41	мы имеем	1	6
42	в сущности	2	6
43	по отношению	3	6
44	отличие от	2	6
45	в самом	11	6
46	это не	3	6
47	точки зрения	16	6
48	в своей	6	6
49	в отличие	2	6
50	в основе	3	6
51	эстетический объект	1	6
52	той или	1	6
53	должен быть	2	6
54	в себя	1	6
55	же время	7	6
56	только в	8	6
57	себя в	1	6
58	то что	8	6
59	или иной	2	6
60	прежде всего	4	6
61	художественного произведения	7	5
62	в их	1	5
63	и на	3	5
64	и как	4	5
65	в произведении	3	5
66	в целом	4	5
67	в этой	2	5
68	внутренней речи	2	5
69	лишь в	9	5
70	и его	19	5
71	имеет место	3	5
72	о том	4	5
73	сводится к	5	5
74	и того	1	5
75	между тем	7	5
76	как бы	8	5
77	художественное произведение	11	5
78	отношению к	3	5
79	что в	8	5
80	того же	3	4
81	из того	1	4
82	столь же	3	4
83	все же	6	4
84	сознания в	1	4
85	смысла но	2	4
86	не следует	3	4
87	с другими	1	4
88	с точки	14	4
89	и более	3	4
90	по себе	4	4
91	в области	2	4
92	ни в	8	4
93	могут быть	4	4
94	так и	21	4
95	не с	1	4
96	с ним	1	4
97	с другой	6	4
98	искусства в	3	4
99	того что	3	4
100	дело с	3	4
101	уже не	3	4
102	для того	4	4
103	с другим	1	4
104	именно в	1	4
105	во времени	1	4
106	вместе с	6	4
107	в литературе	6	4
108	исходя из	1	4
109	истории литературы	6	4
110	ни было	5	4
111	как известно	1	3
112	и т	11	3
113	одним из	3	3
114	таком случае	1	3
115	мере в	1	3
116	для науки	1	3
117	между двумя	1	3
118	место в	10	3
119	в полной	2	3
120	бы то	4	3
121	в художественном	5	3
122	что как	1	3
